SAMPLES,Baya.C,Baya.C.GEBV,Baya.H,Baya.H.GEBV,Baya.L,Baya.L.GEBV,PriBrote.C,PriBrote.C.GEBV,PriBrote.H,PriBrote.H.GEBV,PriBrote.L,PriBrote.L.GEBV,PriFlor.C,PriFlor.C.GEBV,PriFlor.H,PriFlor.H.GEBV,PriFlor.L,PriFlor.L.GEBV,PriTuber.C,PriTuber.C.GEBV,PriTuber.H,PriTuber.H.GEBV,PriTuber.L,PriTuber.L.GEBV,Pulpa.C,Pulpa.C.GEBV,Pulpa.H,Pulpa.H.GEBV,Pulpa.L,Pulpa.L.GEBV,SecBrote.C,SecBrote.C.GEBV,SecBrote.H,SecBrote.H.GEBV,SecBrote.L,SecBrote.L.GEBV,SecTuber.C,SecTuber.C.GEBV,SecTuber.H,SecTuber.H.GEBV,SecTuber.L,SecTuber.L.GEBV,Tallo.C,Tallo.C.GEBV,Tallo.H,Tallo.H.GEBV,Tallo.L,Tallo.L.GEBV
15061623,44.263,48,114.892,118,60.87266,66,27.814,20,309.918,307,28.541,26,43.597,40,311.77,308,56.764,38,36.876,32,69.605,25,52.514,42,17.787,6,88.074,71,84.751,92,6.254,7,197.721,318,94.879,96,34.765,42,89.723,96,60.427,80,41.7,44,117.254,117,53.739,54
15061405,44.263,28,116.076,115,55.97958,50,37.046,20,318.921,307,34.49,26,51.313,45,320.189,310,45.274,58,27.812,36,159.957,346,45.156,42,8.542,6,72.927,71,89.868,92,5.908,4,264.02,41,97.304,94,31.59,35,105.299,17,73.717,75,41.338,44,120.389,117,52.741,54
15061299,44.263,44,116.076,117,55.95668,54,37.046,40,318.921,309,34.49,43,50.598,43,319.545,319,45.796,61,27.812,33,159.957,10,45.156,43,8.076,6,72.927,71,90.561,92,5.908,7,260.985,318,97.304,96,31.59,26,105.299,80,73.046,82,41.338,44,120.389,117,52.741,54
15061578,46.013,44,118.973,117,59.9045,54,24.46,55,309.148,329,33.458,36,47.87,43,318.29,319,41.21,61,10.974,16,272.817,3,30.224,30,21.382,6,85.259,71,84.489,92,6.035,4,146.55,41,94.607,94,37.804,36,118.606,83,76.671,79,34.263,16,189.401,359,46.065,28
15061476,44.263,50,117.44,115,59.8037,71,23.786,26,319.124,314,37.709,33,41.689,42,317.743,312,49.393,49,25.44,22,123.684,344,40.413,27,6.909,6,91.648,71,89.339,92,8.147,4,206.724,41,92.993,94,33.808,42,93.418,96,76.485,80,30.531,16,231.289,359,44.524,28
15061765,46.574,48,116.295,118,60.71054,66,24.976,20,308.432,307,28.817,26,16.547,6,124.373,71,76.676,92,21.579,11,169.196,318,45.703,28,18.878,18,88.846,90,86.961,84,8.928,4,239.539,41,95.381,94,34.162,42,137.39,86,60.298,84,33.758,44,150.319,117,49.665,54
15062111,46.013,38,117.056,132,58.88157,53,30.118,20,317.799,307,37.599,26,51.106,58,324.703,322,47.486,43,26.34,33,65.178,349,39.693,62,24.881,26,83.519,94,83.59,84,9.972,7,245.483,318,88.826,96,33.48,36,82.007,86,71.901,43,35.117,16,164.887,359,48.185,28
15061397,44.263,38,116.519,132,58.56229,53,23.874,42,309.926,304,27.296,58,52.136,6,320.716,71,44.773,92,16.928,26,192.522,342,33.693,50,6.881,26,74.865,94,90.296,84,4.859,7,162.619,318,96.778,96,37.132,37,98.891,74,76.584,74,20.866,44,296.127,117,34.068,54
15061713,44.263,28,114.892,115,60.79044,50,27.814,20,309.918,307,28.782,26,43.597,36,311.77,309,56.764,66,36.876,47,76.016,85,52.514,76,17.787,24,88.074,85,84.751,84,6.254,4,184.816,41,94.879,94,35.633,22,81.942,83,60.427,30,41.7,44,117.254,117,53.739,54
15061584,40.763,48,117.108,118,59.39509,66,44.345,57,316.908,327,45.368,45,39.787,58,306.2,322,53.912,43,32.817,39,120.232,21,58.591,48,19.569,6,85.631,71,88.666,92,6.107,4,127.434,41,95.29,94,33.754,41,139.13,86,67.71,80,35.395,44,178.818,117,50.375,54
15061912,45.386,44,118.744,117,57.33292,54,33.258,53,320.907,341,43.159,44,47.422,46,297.721,323,46.225,57,33.82,41,131.933,86,51.91,80,23.093,26,89.322,94,85.813,84,7.818,7,276.543,318,95.252,95,30.493,25,178.965,28,63.73,45,38.523,44,139.783,117,45.329,54
15061260,44.263,45,114.892,128,60.82473,58,26.608,20,310.596,307,28.935,26,43.597,46,311.77,323,56.764,57,34.709,11,85.845,328,52.514,30,17.787,6,88.074,71,84.751,92,6.254,4,184.816,41,94.879,94,35.633,35,85.535,83,60.427,75,41.7,44,117.254,117,53.739,54
15062099,44.263,44,118.686,117,58.72285,54,33.052,40,309.178,308,28.293,38,50.663,57,318.82,327,50.396,45,34.78,22,236.448,344,53.81,27,9.121,26,71.554,94,88.477,84,6.491,4,175.778,41,96.405,94,34.409,24,142.526,85,75.062,80,39.618,44,169.181,117,49.285,54
15061350,44.263,45,117.807,128,58.20082,58,48.282,58,314.381,336,39.284,48,48.915,40,316.403,326,52.505,63,37.631,37,36.613,18,40.669,42,20.628,35,83.849,93,84.95,82,6.972,4,65.242,41,95.198,94,36.299,35,108.442,83,72.889,75,41.582,44,162.69,117,49.54,54
15060933,48.259,48,116.262,118,62.10129,66,55,59,306.367,350,46.701,47,43.873,58,280.043,312,54.613,43,33.377,39,67.61,17,45.809,43,5.714,5,92.085,52,90.637,94,7.757,7,331.901,318,95.231,96,33.337,32,80.6,84,77.683,81,40.383,44,162.325,117,49.812,54
15061548,44.263,44,116.356,117,61.3086,54,41.898,57,307.274,327,30.643,45,36.852,55,308.2,329,65.974,36,31.335,29,142.767,7,52.859,30,11.174,26,83.385,94,88.644,84,7.004,7,165.158,318,89.323,96,34.067,42,119.107,74,50.117,80,43.641,44,130.949,117,53.406,54
15061348,46.013,45,116.28,128,58.27493,58,25.076,20,309.934,307,25.991,26,48.961,58,320.657,322,42.275,43,25.154,29,87.093,7,37.363,30,18.145,18,88.079,90,85.951,84,6.001,7,188.877,318,94.713,96,35,37,123.063,41,71.143,84,34.88,44,168.323,117,47.532,54
15061560,40.763,48,117.527,118,57.43792,66,30.763,26,312.476,314,33.623,33,44.009,43,311.637,319,68.974,61,34.275,35,40.287,16,48.269,40,17.78,18,90.953,90,85.2,84,5.799,7,193.293,318,94.008,96,36.658,32,35.758,41,73.355,54,42.255,44,101.985,117,54.518,54
15061544,44.263,28,116.29,115,57.75534,50,24.41,26,308.709,314,25.698,33,50.322,36,321.691,324,46.738,66,15.364,19,149.131,5,34.432,27,5.213,3,76.875,32,90.956,92,4.461,4,186.701,41,96.95,94,37.238,47,117.413,85,66.552,76,23.252,16,277.351,359,36.535,28
15061449,45.386,48,117.47,117,56.34341,66,27.455,20,319.706,307,31.706,26,47.657,45,307.557,310,49.09,58,16.218,43,197.442,355,33.321,51,11.824,18,81.279,90,86.595,84,7.231,7,201.086,318,93.355,96,40.238,42,40.398,96,75.222,80,35.771,44,181.977,117,47.116,54
15062348,46.013,44,116.066,117,62.2749,54,54.036,43,336.621,320,44.302,53,51.521,49,322.513,320,47.712,54,34.951,29,44.949,17,47.436,35,18.88,26,92.041,94,84.289,84,5.164,4,242.191,41,93.551,94,37.69,47,102.539,85,70.48,76,40.737,44,130.06,117,51.659,54
15061916,46.013,32,116.464,112,58.93757,58,24.818,20,309.934,307,25.991,26,48.961,39,320.657,321,42.275,36,25.154,19,77.511,5,37.363,27,17.236,18,88.079,90,85.951,84,6.001,7,188.877,318,94.713,96,35,35,123.063,83,71.143,75,34.46,44,176.167,117,46.876,54
15062138,44.263,59,116.498,106,59.39747,69,24.003,28,309.198,306,28.631,27,49.498,58,320.716,322,46.109,43,17.909,8,148.971,313,34.713,29,10.377,3,75.546,32,89.148,92,5.863,4,213.145,41,95.87,94,36.422,35,98.891,83,72.89,75,22.809,16,272.335,359,36.838,28
15061946,41.886,44,117.464,117,58.43837,54,20.812,20,310.271,307,28.538,26,50.906,40,316.017,314,40.806,48,28.513,22,90.169,344,36.183,27,18.717,6,89.691,71,85.164,92,6.518,7,259.214,318,96.025,96,37.847,36,87.135,83,77.102,79,22.588,16,286.234,359,35.202,28
15061676,46.013,45,116.615,128,58.25141,58,25.076,26,309.934,314,25.991,33,48.961,42,320.657,316,42.275,41,25.154,32,87.093,14,37.363,38,18.145,18,88.079,90,85.951,84,6.001,7,188.877,318,94.713,96,35,36,123.063,83,71.143,79,33.385,44,181.046,117,46.253,54
15060536,43.636,44,114.629,117,60.75953,54,37.238,59,308.863,350,32.228,47,54.705,36,320.898,319,42.272,67,39.501,32,208.001,84,55.212,81,8.158,18,72.913,90,89.456,84,6.922,7,259.094,318,93.406,95,32.293,36,120.111,96,74.81,29,28.38,44,227.758,117,40.777,54
15061391,46.013,44,117.605,117,59.00315,54,31.51,4,311.08,41,35.4,94,52.529,55,324.089,329,45.065,36,19.166,16,214.646,359,40.529,28,17.151,18,88.087,90,86.598,84,11.691,34,170.749,316,85.978,33,35.642,41,61.831,86,70.382,80,27.367,16,245.976,359,39.908,28
15061662,45.386,38,117.47,115,56.38497,50,26.91,26,319.706,314,31.706,33,47.657,42,307.557,312,49.09,49,16.218,16,197.442,359,33.321,28,11.824,3,81.279,32,86.595,92,6.757,4,194.425,41,93.355,94,40.238,42,40.398,96,75.222,80,35.771,16,180.28,359,47.116,28
15061228,42.513,45,116.579,128,56.07547,58,27.598,20,308.316,307,25.705,26,45.599,58,296.966,312,48.052,43,19.535,11,169.496,328,35.052,30,17.116,18,84.039,90,86.789,84,4.007,7,173.003,318,96.593,95,35.067,35,73.939,93,78.884,82,28.783,16,248.314,359,41.88,28
15061356,40.763,44,119.051,117,58.24464,54,36.287,49,318.065,320,31.698,54,48.649,43,323.54,319,53.182,61,31.465,35,162.7,53,56.731,60,6.878,6,72.91,88,90.033,92,6.522,7,174.9,318,93.56,96,35.246,26,82.509,342,67.298,50,38.372,44,125.234,117,52.714,54
15061963,46.013,45,117.605,128,59.06814,58,29.92,38,311.08,334,35.519,43,52.529,58,324.089,322,45.065,43,14.317,11,221.67,318,40.529,28,17.151,6,88.087,71,86.598,92,11.691,4,170.749,41,85.978,94,35.642,41,65.424,86,70.382,80,27.367,44,245.976,117,39.908,54
15061338,44.263,48,116.519,118,58.63182,66,23.874,20,311.744,307,27.296,26,52.136,49,320.716,320,44.773,54,16.928,8,192.522,313,33.693,29,6.881,6,73.674,71,90.296,92,4.859,7,162.619,318,96.778,96,37.132,35,98.891,83,76.584,75,20.866,16,296.127,359,34.068,28
15062331,40.763,8,119.513,70,58.29801,77,35.352,58,318.065,322,30.789,43,48.225,57,323.54,327,53.182,45,30.597,26,188.008,342,54.046,50,6.022,6,72.598,71,89.987,92,6.522,5,174.9,344,93.56,95,35.246,37,82.985,74,67.298,74,38.372,44,139.288,117,51.643,54
15062098,46.013,48,116.066,118,62.24436,66,54.036,58,336.621,336,44.302,48,51.521,49,322.513,320,47.712,54,34.951,28,44.949,22,47.436,39,18.88,18,92.041,90,84.289,84,5.164,4,242.191,41,93.551,94,37.69,47,102.539,85,70.48,76,40.737,44,130.06,117,51.659,54
15062114,46.013,50,115.208,115,60.55707,71,35.816,39,308.375,308,36.706,54,52.217,58,320.636,322,45.835,43,35.775,47,129.867,85,57.118,76,9.313,18,80.884,90,86.511,84,7.192,7,179.665,318,93.999,96,28.738,8,165.147,313,46.19,29,26.478,16,263.498,359,38.075,28
15062046,45.386,44,118.744,117,57.32745,54,33.103,53,320.907,341,41.505,44,47.422,57,297.721,327,46.225,45,33.753,41,152.067,86,51.91,80,23.093,26,89.145,94,85.813,84,6.895,7,271.918,318,95.252,95,30.493,41,182.558,6,63.73,49,38.525,44,134.431,117,45.798,54
15062370,46.013,44,119.306,117,59.86753,54,24.301,20,309.148,307,33.458,26,48.542,58,318.222,312,41.21,43,10.974,8,260.495,313,30.249,29,21.382,26,85.259,94,84.489,84,6.035,4,146.55,41,94.607,94,37.804,35,118.606,83,76.671,75,34.263,44,189.401,117,46.065,54
15061685,46.013,50,117.997,115,60.65381,71,20.046,28,309.172,306,24.591,27,47.408,49,314.857,320,45.215,54,35.88,32,49.173,14,37.018,38,18.88,26,91.922,94,84.305,84,6.517,7,197.229,318,96.827,96,35.346,40,102.148,18,78.915,82,23.748,21,217.335,132,41.113,49
15061540,46.013,45,114.583,115,61.15742,72,22.828,20,306.702,307,29.185,26,50.08,58,321.559,322,46.618,43,37.446,41,86.412,86,62.062,80,20.516,18,88.079,90,85.535,84,6.229,58,254.946,353,95.204,48,35.503,32,57.206,25,47.887,42,44.519,44,112.58,117,54.966,54
15061721,44.824,59,115.981,106,59.43567,69,50.65,43,315.137,331,41.638,37,56,57,328.002,327,41.958,45,33.77,28,53.668,22,44.02,39,11.031,18,85.16,90,88.433,84,7.671,7,280.977,318,96.009,96,34.063,41,123.598,86,68.835,80,28.016,24,254.738,136,38.519,54
15062074,46.013,44,115.461,117,62.40779,54,21.218,20,316.515,307,26.945,26,44.519,31,313.266,304,45.739,70,28.436,41,78.339,86,48.76,80,7.232,3,81.587,32,88.835,92,8.8,4,196.895,41,86.237,94,33.986,26,84.8,342,65.562,50,43.396,44,119.343,117,54.116,54
15062362,46.013,44,116.613,117,58.75536,54,24.818,40,309.934,309,25.991,43,48.961,42,320.657,316,42.275,41,25.154,47,87.093,85,37.363,76,16.591,18,88.079,90,85.951,84,6.001,4,188.877,41,94.713,94,35,31,123.063,10,71.143,38,34.88,44,168.323,117,47.532,54
15061689,46.013,59,117.605,106,58.99454,69,31.51,47,311.08,352,35.4,36,52.529,55,324.089,329,45.065,36,19.166,11,214.646,318,40.529,28,17.151,18,88.087,90,86.598,84,11.691,7,170.749,318,85.978,96,35.642,36,61.831,83,70.382,79,27.367,44,245.976,117,39.908,54
15061357,46.013,44,118.973,117,59.94113,54,24.301,20,309.148,307,33.458,26,48.542,58,318.222,322,41.21,43,10.974,8,272.817,313,30.224,29,21.382,18,85.259,90,84.489,84,6.035,4,146.55,41,94.926,94,37.804,35,118.606,83,76.671,75,34.263,16,189.401,359,46.065,28
15061376,46.013,44,116.066,117,62.20471,54,54.036,58,336.621,336,44.302,48,51.521,55,322.513,329,47.712,36,34.951,32,55.37,14,47.436,38,18.88,26,92.041,94,84.289,84,5.164,7,229.286,318,93.551,96,38.242,35,94.758,83,70.48,75,40.737,44,130.06,117,51.659,54
15061308,46.013,44,117.605,117,58.96262,54,31.51,28,311.08,306,35.4,27,52.529,46,324.089,323,45.065,57,19.166,8,207.443,313,40.529,29,17.151,35,88.087,93,86.598,82,11.691,7,170.749,318,86.15,95,35.642,47,61.831,18,70.382,75,27.367,44,245.976,117,39.908,54
