SAMPLES,Baya.C,Baya.C.GEBV,Baya.H,Baya.H.GEBV,Baya.L,Baya.L.GEBV,PriBrote.C,PriBrote.C.GEBV,PriBrote.H,PriBrote.H.GEBV,PriBrote.L,PriBrote.L.GEBV,PriFlor.C,PriFlor.C.GEBV,PriFlor.H,PriFlor.H.GEBV,PriFlor.L,PriFlor.L.GEBV,PriTuber.C,PriTuber.C.GEBV,PriTuber.H,PriTuber.H.GEBV,PriTuber.L,PriTuber.L.GEBV,Pulpa.C,Pulpa.C.GEBV,Pulpa.H,Pulpa.H.GEBV,Pulpa.L,Pulpa.L.GEBV,SecBrote.C,SecBrote.C.GEBV,SecBrote.H,SecBrote.H.GEBV,SecBrote.L,SecBrote.L.GEBV,SecTuber.C,SecTuber.C.GEBV,SecTuber.H,SecTuber.H.GEBV,SecTuber.L,SecTuber.L.GEBV,Tallo.C,Tallo.C.GEBV,Tallo.H,Tallo.H.GEBV,Tallo.L,Tallo.L.GEBV
15061522,40.763,48,116.895,118,56.42678,66,36.969,20,301.421,307,39.124,26,56.338,58,321.803,322,45.159,43,28.931,47,49.503,85,38.251,76,14.75,6,87.072,71,86.277,92,7.374,4,149.556,344,91.896,94,39.639,32,98.199,14,74.636,38,27.755,16,255.173,359,38.297,28
15060081,44.263,32,115.993,112,58.32434,58,32.039,20,305.104,307,36.926,26,42.859,45,315.879,305,62.59,52,33.135,41,75.944,86,54.694,80,16.202,5,84.469,52,85.576,94,7.315,5,209.096,344,93.653,95,34.653,29,97.221,7,59.875,30,43.651,44,107.299,117,54.672,54
15061656,43.075,45,117.185,128,59.93063,58,32.506,42,321.163,316,36.199,41,51.251,36,312.324,309,49.138,66,36.372,36,111.845,346,51.556,42,5.241,6,92.869,71,86.328,92,3.607,5,194.731,344,96.587,95,34.385,26,96.992,80,63.212,82,43.125,38,92.434,132,54.364,53
15061759,44.824,59,117.198,106,61.24573,69,33.838,40,308.471,308,28.338,38,43.131,58,317.067,312,38,33,43.713,45,103.835,83,61.139,77,12.91,26,85.773,94,87.654,84,6.255,7,247.348,318,92.862,96,31.713,16,189.153,3,40.263,30,41.918,44,138.269,117,51.822,54
15061928,42.513,44,116.493,117,58.37581,54,29.304,35,313.937,303,42.387,65,55.049,57,325.321,327,43.4,45,29.544,11,93.176,328,43.36,30,17.117,6,83.925,71,86.668,92,6.232,7,281.719,318,94.17,96,35.244,41,109.586,86,73.992,80,37.974,16,155.781,359,47.308,28
15061454,45.386,44,117.47,117,56.47301,54,26.91,40,319.706,308,31.706,38,47.657,58,307.557,312,49.09,43,16.218,19,197.442,5,33.321,27,11.824,18,81.279,90,86.595,84,7.231,4,201.086,41,93.355,94,40.238,42,40.398,96,75.222,80,35.771,44,180.28,117,47.116,54
15061605,44.263,48,118.476,118,56.69807,66,32.785,49,330.334,320,49.207,54,45.275,43,320.316,319,56.635,61,35.909,42,63.053,96,50.347,80,9.027,8,80.815,95,87.022,89,7.049,7,181.301,318,92.73,96,33.183,43,82.61,355,57.272,51,37.523,44,137.786,117,48.809,54
15060087,44.263,28,116.519,115,58.6249,50,23.874,20,312.602,307,27.296,26,52.136,60,320.716,332,44.773,41,16.928,11,192.522,328,33.693,30,6.881,4,74.865,41,90.296,94,4.859,5,162.619,344,96.778,95,37.132,32,98.891,84,76.584,81,20.866,16,296.127,359,34.068,28
15061619,46.013,38,117.605,132,59.0071,53,29.92,53,311.08,346,35.519,39,52.529,58,324.089,322,45.065,43,14.317,11,221.67,318,40.529,28,17.151,18,88.087,90,86.598,84,11.691,7,170.749,318,85.978,96,35.642,41,65.424,86,70.382,80,27.367,16,245.976,359,39.908,28
15060090,40.763,48,119.385,118,58.25851,66,36.287,20,318.065,307,31.698,26,48.649,60,324.015,332,53.182,41,31.465,36,162.7,346,56.731,42,6.878,5,72.91,52,90.033,94,6.522,7,174.9,318,93.56,95,35.246,32,82.509,84,67.298,81,38.372,44,125.234,117,52.714,54
