Prefix,HCL_component,Traits,Models,Predictive_ability
Baya,C,Baya.LCH.C,BA,0.319
Baya,C,Baya.LCH.C,BA,0.272
Baya,C,Baya.LCH.C,BA,0.211
Baya,C,Baya.LCH.C,BA,0.271
Baya,C,Baya.LCH.C,BA,0.143
Baya,C,Baya.LCH.C,BA,0.367
Baya,C,Baya.LCH.C,BB,0.176
Baya,C,Baya.LCH.C,BB,0.261
Baya,C,Baya.LCH.C,BB,0.268
Baya,C,Baya.LCH.C,BB,0.293
Baya,C,Baya.LCH.C,BB,0.272
Baya,C,Baya.LCH.C,BB,0.252
Baya,C,Baya.LCH.C,BC,0.179
Baya,C,Baya.LCH.C,BC,0.292
Baya,C,Baya.LCH.C,BC,0.281
Baya,C,Baya.LCH.C,BC,0.246
Baya,C,Baya.LCH.C,BC,0.108
Baya,C,Baya.LCH.C,BC,0.301
Baya,C,Baya.LCH.C,BL,0.237
Baya,C,Baya.LCH.C,BL,0.306
Baya,C,Baya.LCH.C,BL,0.332
Baya,C,Baya.LCH.C,BL,0.19
Baya,C,Baya.LCH.C,BL,0.25
Baya,C,Baya.LCH.C,BL,0.329
Baya,C,Baya.LCH.C,BRR,0.2
Baya,C,Baya.LCH.C,BRR,0.378
Baya,C,Baya.LCH.C,BRR,0.258
Baya,C,Baya.LCH.C,BRR,0.264
Baya,C,Baya.LCH.C,BRR,0.204
Baya,C,Baya.LCH.C,BRR,0.292
Baya,C,Baya.LCH.C,GBLUP,0.333
Baya,C,Baya.LCH.C,GBLUP,0.246
Baya,C,Baya.LCH.C,GBLUP,0.26
Baya,C,Baya.LCH.C,GBLUP,0.257
Baya,C,Baya.LCH.C,GBLUP,0.328
Baya,C,Baya.LCH.C,GBLUP,0.251
Baya,C,Baya.LCH.C,EGBLUP,0.232
Baya,C,Baya.LCH.C,EGBLUP,0.234
Baya,C,Baya.LCH.C,EGBLUP,0.221
Baya,C,Baya.LCH.C,EGBLUP,0.171
Baya,C,Baya.LCH.C,EGBLUP,0.232
Baya,C,Baya.LCH.C,EGBLUP,0.348
Baya,C,Baya.LCH.C,RKHS,0.162
Baya,C,Baya.LCH.C,RKHS,0.176
Baya,C,Baya.LCH.C,RKHS,0.189
Baya,C,Baya.LCH.C,RKHS,0.229
Baya,C,Baya.LCH.C,RKHS,0.197
Baya,C,Baya.LCH.C,RKHS,0.307
Baya,H,Baya.LCH.H,BA,0.332
Baya,H,Baya.LCH.H,BA,0.29
Baya,H,Baya.LCH.H,BA,0.176
Baya,H,Baya.LCH.H,BA,0.347
Baya,H,Baya.LCH.H,BA,0.192
Baya,H,Baya.LCH.H,BA,0.224
Baya,H,Baya.LCH.H,BB,0.092
Baya,H,Baya.LCH.H,BB,0.334
Baya,H,Baya.LCH.H,BB,0.174
Baya,H,Baya.LCH.H,BB,0.158
Baya,H,Baya.LCH.H,BB,0.176
Baya,H,Baya.LCH.H,BB,0.256
Baya,H,Baya.LCH.H,BC,0.327
Baya,H,Baya.LCH.H,BC,0.115
Baya,H,Baya.LCH.H,BC,0.248
Baya,H,Baya.LCH.H,BC,0.235
Baya,H,Baya.LCH.H,BC,0.277
Baya,H,Baya.LCH.H,BC,0.231
Baya,H,Baya.LCH.H,BL,0.229
Baya,H,Baya.LCH.H,BL,0.31
Baya,H,Baya.LCH.H,BL,0.218
Baya,H,Baya.LCH.H,BL,0.305
Baya,H,Baya.LCH.H,BL,0.268
Baya,H,Baya.LCH.H,BL,0.209
Baya,H,Baya.LCH.H,BRR,0.217
Baya,H,Baya.LCH.H,BRR,0.288
Baya,H,Baya.LCH.H,BRR,0.336
Baya,H,Baya.LCH.H,BRR,0.237
Baya,H,Baya.LCH.H,BRR,0.13
Baya,H,Baya.LCH.H,BRR,0.293
Baya,H,Baya.LCH.H,GBLUP,0.198
Baya,H,Baya.LCH.H,GBLUP,0.166
Baya,H,Baya.LCH.H,GBLUP,0.294
Baya,H,Baya.LCH.H,GBLUP,0.259
Baya,H,Baya.LCH.H,GBLUP,0.137
Baya,H,Baya.LCH.H,GBLUP,0.207
Baya,H,Baya.LCH.H,EGBLUP,0.292
Baya,H,Baya.LCH.H,EGBLUP,0.202
Baya,H,Baya.LCH.H,EGBLUP,0.267
Baya,H,Baya.LCH.H,EGBLUP,0.106
Baya,H,Baya.LCH.H,EGBLUP,0.23
Baya,H,Baya.LCH.H,EGBLUP,0.21
Baya,H,Baya.LCH.H,RKHS,0.126
Baya,H,Baya.LCH.H,RKHS,0.335
Baya,H,Baya.LCH.H,RKHS,0.159
Baya,H,Baya.LCH.H,RKHS,0.115
Baya,H,Baya.LCH.H,RKHS,0.15
Baya,H,Baya.LCH.H,RKHS,0.33
Baya,L,Baya.LCH.L,BA,0.197
Baya,L,Baya.LCH.L,BA,0.185
Baya,L,Baya.LCH.L,BA,0.266
Baya,L,Baya.LCH.L,BA,0.321
Baya,L,Baya.LCH.L,BA,0.19
Baya,L,Baya.LCH.L,BA,0.203
Baya,L,Baya.LCH.L,BB,0.173
Baya,L,Baya.LCH.L,BB,0.161
Baya,L,Baya.LCH.L,BB,0.121
Baya,L,Baya.LCH.L,BB,0.148
Baya,L,Baya.LCH.L,BB,0.19
Baya,L,Baya.LCH.L,BB,0.142
Baya,L,Baya.LCH.L,BC,0.136
Baya,L,Baya.LCH.L,BC,0.136
Baya,L,Baya.LCH.L,BC,0.224
Baya,L,Baya.LCH.L,BC,0.057
Baya,L,Baya.LCH.L,BC,0.292
Baya,L,Baya.LCH.L,BC,0.212
Baya,L,Baya.LCH.L,BL,0.291
Baya,L,Baya.LCH.L,BL,0.219
Baya,L,Baya.LCH.L,BL,0.097
Baya,L,Baya.LCH.L,BL,0.137
Baya,L,Baya.LCH.L,BL,0.256
Baya,L,Baya.LCH.L,BL,0.183
Baya,L,Baya.LCH.L,BRR,0.144
Baya,L,Baya.LCH.L,BRR,0.148
Baya,L,Baya.LCH.L,BRR,0.317
Baya,L,Baya.LCH.L,BRR,0.293
Baya,L,Baya.LCH.L,BRR,0.183
Baya,L,Baya.LCH.L,BRR,0.207
Baya,L,Baya.LCH.L,GBLUP,0.229
Baya,L,Baya.LCH.L,GBLUP,0.217
Baya,L,Baya.LCH.L,GBLUP,0.261
Baya,L,Baya.LCH.L,GBLUP,0.274
Baya,L,Baya.LCH.L,GBLUP,0.123
Baya,L,Baya.LCH.L,GBLUP,0.312
Baya,L,Baya.LCH.L,EGBLUP,0.165
Baya,L,Baya.LCH.L,EGBLUP,0.251
Baya,L,Baya.LCH.L,EGBLUP,0.17
Baya,L,Baya.LCH.L,EGBLUP,0.163
Baya,L,Baya.LCH.L,EGBLUP,0.217
Baya,L,Baya.LCH.L,EGBLUP,0.093
Baya,L,Baya.LCH.L,RKHS,0.23
Baya,L,Baya.LCH.L,RKHS,0.153
Baya,L,Baya.LCH.L,RKHS,0.101
Baya,L,Baya.LCH.L,RKHS,0.229
Baya,L,Baya.LCH.L,RKHS,0.198
Baya,L,Baya.LCH.L,RKHS,0.287
PriBrote,C,PriBrote.LCH.C,BA,0.529
PriBrote,C,PriBrote.LCH.C,BA,0.415
PriBrote,C,PriBrote.LCH.C,BA,0.457
PriBrote,C,PriBrote.LCH.C,BA,0.466
PriBrote,C,PriBrote.LCH.C,BA,0.488
PriBrote,C,PriBrote.LCH.C,BA,0.46
PriBrote,C,PriBrote.LCH.C,BB,0.394
PriBrote,C,PriBrote.LCH.C,BB,0.46
PriBrote,C,PriBrote.LCH.C,BB,0.492
PriBrote,C,PriBrote.LCH.C,BB,0.474
PriBrote,C,PriBrote.LCH.C,BB,0.477
PriBrote,C,PriBrote.LCH.C,BB,0.416
PriBrote,C,PriBrote.LCH.C,BC,0.537
PriBrote,C,PriBrote.LCH.C,BC,0.478
PriBrote,C,PriBrote.LCH.C,BC,0.5
PriBrote,C,PriBrote.LCH.C,BC,0.426
PriBrote,C,PriBrote.LCH.C,BC,0.53
PriBrote,C,PriBrote.LCH.C,BC,0.435
PriBrote,C,PriBrote.LCH.C,BL,0.483
PriBrote,C,PriBrote.LCH.C,BL,0.385
PriBrote,C,PriBrote.LCH.C,BL,0.635
PriBrote,C,PriBrote.LCH.C,BL,0.54
PriBrote,C,PriBrote.LCH.C,BL,0.46
PriBrote,C,PriBrote.LCH.C,BL,0.452
PriBrote,C,PriBrote.LCH.C,BRR,0.52
PriBrote,C,PriBrote.LCH.C,BRR,0.38
PriBrote,C,PriBrote.LCH.C,BRR,0.59
PriBrote,C,PriBrote.LCH.C,BRR,0.501
PriBrote,C,PriBrote.LCH.C,BRR,0.529
PriBrote,C,PriBrote.LCH.C,BRR,0.389
PriBrote,C,PriBrote.LCH.C,GBLUP,0.383
PriBrote,C,PriBrote.LCH.C,GBLUP,0.49
PriBrote,C,PriBrote.LCH.C,GBLUP,0.463
PriBrote,C,PriBrote.LCH.C,GBLUP,0.369
PriBrote,C,PriBrote.LCH.C,GBLUP,0.5
PriBrote,C,PriBrote.LCH.C,GBLUP,0.45
PriBrote,C,PriBrote.LCH.C,EGBLUP,0.509
PriBrote,C,PriBrote.LCH.C,EGBLUP,0.538
PriBrote,C,PriBrote.LCH.C,EGBLUP,0.556
PriBrote,C,PriBrote.LCH.C,EGBLUP,0.583
PriBrote,C,PriBrote.LCH.C,EGBLUP,0.48
PriBrote,C,PriBrote.LCH.C,EGBLUP,0.591
PriBrote,C,PriBrote.LCH.C,RKHS,0.426
PriBrote,C,PriBrote.LCH.C,RKHS,0.662
PriBrote,C,PriBrote.LCH.C,RKHS,0.538
PriBrote,C,PriBrote.LCH.C,RKHS,0.57
PriBrote,C,PriBrote.LCH.C,RKHS,0.487
PriBrote,C,PriBrote.LCH.C,RKHS,0.574
PriBrote,H,PriBrote.LCH.H,BA,0.316
PriBrote,H,PriBrote.LCH.H,BA,0.202
PriBrote,H,PriBrote.LCH.H,BA,0.404
PriBrote,H,PriBrote.LCH.H,BA,0.36
PriBrote,H,PriBrote.LCH.H,BA,0.354
PriBrote,H,PriBrote.LCH.H,BA,0.335
PriBrote,H,PriBrote.LCH.H,BB,0.262
PriBrote,H,PriBrote.LCH.H,BB,0.256
PriBrote,H,PriBrote.LCH.H,BB,0.157
PriBrote,H,PriBrote.LCH.H,BB,0.2
PriBrote,H,PriBrote.LCH.H,BB,0.327
PriBrote,H,PriBrote.LCH.H,BB,0.221
PriBrote,H,PriBrote.LCH.H,BC,0.22
PriBrote,H,PriBrote.LCH.H,BC,0.317
PriBrote,H,PriBrote.LCH.H,BC,0.345
PriBrote,H,PriBrote.LCH.H,BC,0.243
PriBrote,H,PriBrote.LCH.H,BC,0.315
PriBrote,H,PriBrote.LCH.H,BC,0.431
PriBrote,H,PriBrote.LCH.H,BL,0.307
PriBrote,H,PriBrote.LCH.H,BL,0.247
PriBrote,H,PriBrote.LCH.H,BL,0.201
PriBrote,H,PriBrote.LCH.H,BL,0.308
PriBrote,H,PriBrote.LCH.H,BL,0.366
PriBrote,H,PriBrote.LCH.H,BL,0.188
PriBrote,H,PriBrote.LCH.H,BRR,0.257
PriBrote,H,PriBrote.LCH.H,BRR,0.342
PriBrote,H,PriBrote.LCH.H,BRR,0.224
PriBrote,H,PriBrote.LCH.H,BRR,0.257
PriBrote,H,PriBrote.LCH.H,BRR,0.315
PriBrote,H,PriBrote.LCH.H,BRR,0.24
PriBrote,H,PriBrote.LCH.H,GBLUP,0.362
PriBrote,H,PriBrote.LCH.H,GBLUP,0.225
PriBrote,H,PriBrote.LCH.H,GBLUP,0.355
PriBrote,H,PriBrote.LCH.H,GBLUP,0.288
PriBrote,H,PriBrote.LCH.H,GBLUP,0.254
PriBrote,H,PriBrote.LCH.H,GBLUP,0.333
PriBrote,H,PriBrote.LCH.H,EGBLUP,0.383
PriBrote,H,PriBrote.LCH.H,EGBLUP,0.331
PriBrote,H,PriBrote.LCH.H,EGBLUP,-0.125
PriBrote,H,PriBrote.LCH.H,EGBLUP,0.259
PriBrote,H,PriBrote.LCH.H,EGBLUP,0.298
PriBrote,H,PriBrote.LCH.H,EGBLUP,-0.173
PriBrote,H,PriBrote.LCH.H,RKHS,0.33
PriBrote,H,PriBrote.LCH.H,RKHS,0.471
PriBrote,H,PriBrote.LCH.H,RKHS,0.249
PriBrote,H,PriBrote.LCH.H,RKHS,0.299
PriBrote,H,PriBrote.LCH.H,RKHS,0.242
PriBrote,H,PriBrote.LCH.H,RKHS,0.505
PriBrote,L,PriBrote.LCH.L,BA,0.468
PriBrote,L,PriBrote.LCH.L,BA,0.372
PriBrote,L,PriBrote.LCH.L,BA,0.447
PriBrote,L,PriBrote.LCH.L,BA,0.463
PriBrote,L,PriBrote.LCH.L,BA,0.487
PriBrote,L,PriBrote.LCH.L,BA,0.372
PriBrote,L,PriBrote.LCH.L,BB,0.337
PriBrote,L,PriBrote.LCH.L,BB,0.352
PriBrote,L,PriBrote.LCH.L,BB,0.396
PriBrote,L,PriBrote.LCH.L,BB,0.453
PriBrote,L,PriBrote.LCH.L,BB,0.359
PriBrote,L,PriBrote.LCH.L,BB,0.408
PriBrote,L,PriBrote.LCH.L,BC,0.554
PriBrote,L,PriBrote.LCH.L,BC,0.346
PriBrote,L,PriBrote.LCH.L,BC,0.34
PriBrote,L,PriBrote.LCH.L,BC,0.416
PriBrote,L,PriBrote.LCH.L,BC,0.54
PriBrote,L,PriBrote.LCH.L,BC,0.307
PriBrote,L,PriBrote.LCH.L,BL,0.507
PriBrote,L,PriBrote.LCH.L,BL,0.3
PriBrote,L,PriBrote.LCH.L,BL,0.449
PriBrote,L,PriBrote.LCH.L,BL,0.404
PriBrote,L,PriBrote.LCH.L,BL,0.399
PriBrote,L,PriBrote.LCH.L,BL,0.423
PriBrote,L,PriBrote.LCH.L,BRR,0.495
PriBrote,L,PriBrote.LCH.L,BRR,0.411
PriBrote,L,PriBrote.LCH.L,BRR,0.41
PriBrote,L,PriBrote.LCH.L,BRR,0.402
PriBrote,L,PriBrote.LCH.L,BRR,0.469
PriBrote,L,PriBrote.LCH.L,BRR,0.409
PriBrote,L,PriBrote.LCH.L,GBLUP,0.424
PriBrote,L,PriBrote.LCH.L,GBLUP,0.298
PriBrote,L,PriBrote.LCH.L,GBLUP,0.473
PriBrote,L,PriBrote.LCH.L,GBLUP,0.374
PriBrote,L,PriBrote.LCH.L,GBLUP,0.422
PriBrote,L,PriBrote.LCH.L,GBLUP,0.425
PriBrote,L,PriBrote.LCH.L,EGBLUP,0.483
PriBrote,L,PriBrote.LCH.L,EGBLUP,0.414
PriBrote,L,PriBrote.LCH.L,EGBLUP,0.392
PriBrote,L,PriBrote.LCH.L,EGBLUP,0.392
PriBrote,L,PriBrote.LCH.L,EGBLUP,0.457
PriBrote,L,PriBrote.LCH.L,EGBLUP,0.369
PriBrote,L,PriBrote.LCH.L,RKHS,0.457
PriBrote,L,PriBrote.LCH.L,RKHS,0.376
PriBrote,L,PriBrote.LCH.L,RKHS,0.529
PriBrote,L,PriBrote.LCH.L,RKHS,0.545
PriBrote,L,PriBrote.LCH.L,RKHS,0.441
PriBrote,L,PriBrote.LCH.L,RKHS,0.394
PriFlor,C,PriFlor.LCH.C,BA,0.7
PriFlor,C,PriFlor.LCH.C,BA,0.547
PriFlor,C,PriFlor.LCH.C,BA,0.523
PriFlor,C,PriFlor.LCH.C,BA,0.646
PriFlor,C,PriFlor.LCH.C,BA,0.653
PriFlor,C,PriFlor.LCH.C,BA,0.495
PriFlor,C,PriFlor.LCH.C,BB,0.586
PriFlor,C,PriFlor.LCH.C,BB,0.648
PriFlor,C,PriFlor.LCH.C,BB,0.475
PriFlor,C,PriFlor.LCH.C,BB,0.654
PriFlor,C,PriFlor.LCH.C,BB,0.562
PriFlor,C,PriFlor.LCH.C,BB,0.512
PriFlor,C,PriFlor.LCH.C,BC,0.59
PriFlor,C,PriFlor.LCH.C,BC,0.511
PriFlor,C,PriFlor.LCH.C,BC,0.62
PriFlor,C,PriFlor.LCH.C,BC,0.608
PriFlor,C,PriFlor.LCH.C,BC,0.618
PriFlor,C,PriFlor.LCH.C,BC,0.502
PriFlor,C,PriFlor.LCH.C,BL,0.554
PriFlor,C,PriFlor.LCH.C,BL,0.581
PriFlor,C,PriFlor.LCH.C,BL,0.637
PriFlor,C,PriFlor.LCH.C,BL,0.555
PriFlor,C,PriFlor.LCH.C,BL,0.677
PriFlor,C,PriFlor.LCH.C,BL,0.53
