,PREDICTED,ACTUAL
15061769,10.083,6
15061771,17.557,18
15061772,16.99,18
15061773,14.741,18
15061777,21.979,26
15061778,32.405,42
15061784,21.053,18
15061785,10.535,6
15061788,8.068,6
15061790,12.826,6
15061795,34.164,35
15061797,20.896,18
15061798,6.726,6
15061800,9.556,6
15061801,7.072,6
15061808,8.139,10
15061811,17.878,18
15061813,15.056,18
15061815,11.318,18
15061826,5.504,3
15061905,17.583,18
15061906,10.863,6
15061908,23.553,24
15061909,13.729,18
15061910,5.761,6
15061911,13.689,18
15061912,24.379,26
15061915,12.693,18
15061917,20.828,18
15061918,5.798,6
15061926,4.805,3
15061927,9.626,6
15061928,10.603,6
15061929,15.106,6
15061930,6.438,3
15061933,21.98,26
15061934,23.12,26
15061935,9.083,6
15061937,9.154,3
15061939,22.525,26
15061941,16.239,18
15061942,20.588,18
15061944,10.048,6
15061945,21.673,18
15061946,11.39,6
15061948,16.514,18
15061949,13.728,6
15061951,20.927,18
15061952,20.429,18
15061953,5.331,6
15061958,16.501,18
15061960,14.683,18
15061961,5.956,6
15061962,9.548,6
15061963,10.944,6
15061965,17.304,18
15061966,16.543,18
15061967,7.357,6
15061968,19.555,18
15062036,8.661,6
15062038,23.906,26
15062039,21.183,26
15062046,24.717,26
15062050,16.529,18
15062051,24.637,26
15062067,7.026,6
15062069,18.339,26
15062071,19.78,18
15062080,16.484,18
15062092,11.599,6
15062094,4.089,3
15062097,17.66,18
15062099,19.838,26
15062100,8.406,6
15062101,18.98,18
15062102,9.437,6
15062103,22.321,26
15062105,4.632,3
15062106,17.854,18
15062107,4.35,3
15062108,15.67,6
15062109,21.355,18
15062111,24.656,26
15062112,4.668,3
15062114,18.051,18
15062117,19.238,18
15062118,19.982,18
15062122,7.693,6
15062124,16.242,18
15062126,15.537,18
15062130,7.467,6
15062136,27.491,35
15062137,9.933,6
15062138,5.595,3
15062139,7.851,6
15062142,10.536,6
15062145,17.715,18
15062146,33.479,35
15062149,13.728,18
15062150,9.313,6
15062151,16.875,18
15062152,11.342,6
15062153,11.23,6
15062331,5.734,6
15062332,6.864,6
15062333,7.183,6
15062334,7.582,6
15062335,21.294,18
15062337,20.761,18
15062338,22.908,26
15062346,22.327,26
15062347,15.318,18
15062348,23.219,26
15062349,20.075,18
15062350,19.146,26
15062351,17.928,18
15062353,16.617,18
15062354,24.637,26
15062356,31.667,26
15062357,4.269,3
15062358,15.813,18
15062360,6.851,6
15062361,24.729,26
15062363,16.434,18
15062366,5.525,3
15062367,18.829,18
15062368,24.821,26
15062369,13.892,18
15062370,22.203,26
