,PREDICTED,ACTUAL
15061771,12.206,11
15061772,12.154,8
15061776,45.797,47
15061777,20.203,19
15061778,11.835,11
15061784,11.833,8
15061788,14.798,16
15061789,42.207,41
15061790,26.74,35
15061797,12.817,35
15061798,29.206,28
15061799,27.944,34
15061800,40.794,42
15061801,30.206,29
15061808,33.909,32
15061811,31.631,16
15061813,43.207,42
15061815,29.203,28
15061826,27.794,29
15061905,29.208,28
15061907,40.794,42
15061908,28.757,29
15061909,12.207,11
15061910,27.542,26
15061911,39.795,41
15061912,39.794,41
15061915,40.813,47
15061917,32.168,29
15061918,27.203,26
15061927,9.212,8
15061928,12.201,11
15061929,33.794,35
15061932,40.791,42
15061933,24.178,16
15061934,31.29,41
15061935,38.204,37
15061939,15.472,42
15061941,43.998,35
15061942,44.793,46
15061944,40.789,42
15061945,33.793,35
15061946,24.237,22
15061948,26.199,56
15061949,9.205,8
15061951,35.794,37
15061952,29.205,28
15061953,14.797,16
15061954,35.586,35
15061957,33.208,32
15061960,9.2,8
15061961,15.291,19
15061962,36.823,35
15061963,12.205,11
15061965,34.793,36
15061967,20.205,19
15061968,23.322,19
15061969,39.794,41
15062036,27.206,26
15062038,31.479,28
15062039,30.058,30
15062046,39.796,41
15062050,34.013,35
15062051,34.578,35
15062052,34.915,39
15062053,33.795,35
15062063,25.368,19
15062069,11.476,11
15062071,30.795,32
15062080,45.793,47
15062081,20.205,19
15062092,25.332,29
15062094,9.735,8
15062097,33.936,28
15062098,33.369,28
15062099,32.131,22
15062100,40.795,42
15062101,35.794,37
15062102,34.796,36
15062103,45.797,47
15062104,11.544,36
15062105,14.793,16
15062106,12.204,11
15062107,27.205,26
15062108,11.746,8
15062109,31.496,28
15062111,28.78,33
15062112,13.89,42
15062114,44.031,47
15062115,43.039,42
15062117,33.205,32
15062118,33.968,32
15062119,9.207,8
15062124,12.204,11
15062126,12.204,11
15062130,36.201,35
15062137,14.794,16
15062138,9.203,8
15062139,30.206,29
15062142,39.797,41
15062143,33.204,32
15062144,13.87,16
15062145,21.044,11
15062150,12.211,11
15062151,40.795,42
15062152,12.206,11
15062153,14.022,32
15062331,27.204,26
15062332,34.792,36
15062333,14.795,16
15062334,32.626,32
15062335,34.518,35
15062337,34.769,35
15062338,33.188,37
15062344,27.792,29
15062348,32.541,29
15062349,10.905,11
15062351,23.208,22
15062353,45.557,47
15062354,33.861,35
15062357,14.793,16
15062359,45.794,47
15062360,39.546,41
15062361,28.476,29
15062363,29.207,28
15062366,26.794,28
15062367,37.249,35
15062370,9.204,8
15062371,33.997,35
15062372,17.206,16
