qqPrefix,HCL_component,Models,Traits,Heritability
CBaya,C,BA,CBaya.C,0.212627550446792
CBaya,C,BA,CBaya.C,0.203767370958754
CBaya,C,BA,CBaya.C,0.191815542274012
CBaya,C,BA,CBaya.C,0.159213830091587
CBaya,C,BA,CBaya.C,0.191158735396265
CBaya,C,BA,CBaya.C,0.181716282704969
CBaya,C,BA,CBaya.C,0.156611380477015
CBaya,C,BA,CBaya.C,0.168963713656357
CBaya,C,BA,CBaya.C,0.193700268880239
CBaya,C,BA,CBaya.C,0.19922620419213
CBaya,C,BA,CBaya.C,0.181179986027072
CBaya,C,BA,CBaya.C,0.213215407170538
CBaya,C,BA,CBaya.C,0.252439872279585
CBaya,C,BA,CBaya.C,0.231883525141742
CBaya,C,BA,CBaya.C,0.262708224013415
CBaya,C,BA,CBaya.C,0.201300988919385
CBaya,C,BA,CBaya.C,0.212889807194031
CBaya,C,BA,CBaya.C,0.193721833272634
CBaya,C,BA,CBaya.C,0.241982924526075
CBaya,C,BA,CBaya.C,0.212862926781739
CBaya,C,BA,CBaya.C,0.194076959266754
CBaya,C,BA,CBaya.C,0.23648533178141
CBaya,C,BA,CBaya.C,0.152663785771573
CBaya,C,BA,CBaya.C,0.141264420883175
CBaya,C,BA,CBaya.C,0.162710869925197
CBaya,C,BA,CBaya.C,0.171775644612802
CBaya,C,BA,CBaya.C,0.142602499832991
CBaya,C,BA,CBaya.C,0.121123274422412
CBaya,C,BA,CBaya.C,0.126601606026132
CBaya,C,BA,CBaya.C,0.17181245768837
CBaya,C,BA,CBaya.C,0.188593107855269
CBaya,C,BA,CBaya.C,0.173602302178166
CBaya,C,BA,CBaya.C,0.219694239268205
CBaya,C,BA,CBaya.C,0.177122127305341
CBaya,C,BA,CBaya.C,0.159199293997833
CBaya,C,BA,CBaya.C,0.183531101652052
CBaya,C,BA,CBaya.C,0.152460826027545
CBaya,C,BA,CBaya.C,0.195381945465776
CBaya,C,BA,CBaya.C,0.191214539795246
CBaya,C,BA,CBaya.C,0.212424915624129
CBaya,C,BA,CBaya.C,0.212517264986008
CBaya,C,BA,CBaya.C,0.226740879307304
CBaya,C,BA,CBaya.C,0.225268423215104
CBaya,C,BA,CBaya.C,0.186431610770706
CBaya,C,BA,CBaya.C,0.169374558338093
CBaya,C,BA,CBaya.C,0.147166271007441
CBaya,C,BA,CBaya.C,0.174106713855597
CBaya,C,BA,CBaya.C,0.153185154116031
CBaya,C,BA,CBaya.C,0.182246232789212
CBaya,C,BA,CBaya.C,0.132911320822706
CBaya,C,BA,CBaya.C,0.110424922183264
CBaya,C,BA,CBaya.C,0.12495430508361
CBaya,C,BA,CBaya.C,0.167593144500503
CBaya,C,BA,CBaya.C,0.195136800327288
CBaya,C,BA,CBaya.C,0.179301456363389
CBaya,C,BA,CBaya.C,0.179971964096634
CBaya,C,BA,CBaya.C,0.184720581524028
CBaya,C,BA,CBaya.C,0.175589568989491
CBaya,C,BA,CBaya.C,0.160437112452059
CBaya,C,BA,CBaya.C,0.147147585447936
CBaya,C,BA,CBaya.C,0.172445776412745
CBaya,C,BA,CBaya.C,0.174629034720094
CBaya,C,BA,CBaya.C,0.169797091423411
CBaya,C,BA,CBaya.C,0.158242249091311
CBaya,C,BA,CBaya.C,0.17750204460717
CBaya,C,BA,CBaya.C,0.162635750019279
CBaya,C,BA,CBaya.C,0.19698832907988
CBaya,C,BA,CBaya.C,0.190428476912125
CBaya,C,BA,CBaya.C,0.159368367825449
CBaya,C,BA,CBaya.C,0.141278446564693
CBaya,C,BA,CBaya.C,0.187428119283089
CBaya,C,BA,CBaya.C,0.198909461536176
CBaya,C,BA,CBaya.C,0.223566701245378
