,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15061795,21.511,22.19,21.715,21.385,21.522,21.384,21.67154,21.739,22.449,21.703,17.433,18.743
15061797,17.58,17.237,17.703,17.667,17.577,17.699,17.39851,17.141,17.837,17.978,14.568,14.051
15061798,42.425,42.592,42.47,42.791,42.687,43.452,42.59623,42.635,41.277,42.407,42.567,43.855
15061800,37.924,38.516,37.706,37.438,37.814,36.774,38.48754,37.618,36.281,36.903,42.564,39.179
15061801,40.696,41.886,40.73,40.785,40.658,40.974,42.08732,42.082,40.379,40.458,42.564,43.341
15061808,40.739,41.801,40.851,40.832,40.638,41.663,42.25682,42.115,40.379,40.708,42.59,43.737
15061811,41.241,40.804,41.304,41.516,41.49,41.673,41.53307,41.681,40.659,41.177,44.012,43.888
15061813,38.143,38.239,38.036,38.304,38.143,38.718,38.45457,39.058,37.571,38.52,42.565,40.165
15061815,39.793,40.683,39.637,39.944,39.701,39.613,39.6301,39.607,40.331,39.754,42.559,41.353
15061826,41.798,42.937,41.863,42.95,42.339,42.797,42.41053,42.654,41.741,42.01,42.901,43.789
15061905,43.446,42.528,43.048,43.418,43.201,42.827,43.61389,43.491,42.017,43.209,43.563,44.386
15061906,18.292,19.131,18.396,18.861,18.252,17.666,18.65586,18.689,18.82,19.559,14.559,15.328
15061908,28.542,28.359,28.616,28.573,28.571,28.636,27.76448,27.204,29.087,29.578,17.436,20.485
15061909,41.55,39.87,41.049,41.231,41.504,43.25,41.8179,41.235,39.386,41.226,42.564,42.057
15061910,40.052,40.286,39.922,40.045,39.926,39.58,39.96799,39.914,40.19,39.888,42.561,43.441
15061911,45.279,45.432,45.219,45.566,45.342,45.139,44.53951,44.136,45.522,45.08,42.565,43.853
15061912,41.811,41.843,41.13,41.301,41.753,40.427,41.67137,40.895,39.867,40.157,42.567,42.26
15061915,45.263,45.372,45.234,45.501,45.295,45.082,44.47857,44.111,45.522,44.956,42.582,43.944
15061917,43.32,43.291,43.233,43.324,43.394,43.608,43.42434,43.278,43.308,42.842,42.924,44
15061918,37.726,37.621,37.793,37.649,37.806,37.861,37.82282,38.172,37.478,37.887,45.434,43.304
15061926,39.891,39.936,39.734,39.984,39.881,38.665,39.84949,39.198,39.477,39.261,42.566,40.633
15061927,24.097,23.936,24.338,24.352,23.952,22.494,22.51658,24.233,24.749,24.677,17.429,23.186
15061928,23.075,24.55,23.58,23.151,23.071,20.324,22.59841,23.89,24.412,23.729,17.436,22.412
15061929,30.045,27.415,30.121,30.324,30.27,29.128,30.20698,29.356,26.913,29.439,35.422,34.042
15061930,37.125,37.336,37.114,37.196,37.129,37.034,36.78493,36.051,37.478,36.762,29.69,27.675
15061933,34.069,33.429,34.111,34.077,34.018,33.829,34.12466,34.019,33.322,33.824,42.567,40.542
15061934,17.299,16.494,17.49,17.193,17.217,17.6,17.33519,17.534,15.801,17.861,17.44,16.22
15061935,45.077,45.279,45.117,45.373,45.197,44.676,44.50013,43.997,45.522,44.632,42.567,43.898
15061937,41.753,43.628,41.645,41.917,41.622,41.311,41.67769,41.485,44.726,40.758,42.571,43.327
15061939,17.861,17.357,18.048,17.951,17.871,18.244,17.67125,17.437,17.839,18.228,17.669,33.346
15061941,40.734,41.071,40.672,40.877,40.845,41.727,41.07127,40.995,40.3,39.789,42.581,43.208
15061942,28.179,28.332,28.16,27.922,28.193,29.105,28.3208,28.801,29.362,27.97,29.168,31.216
15061944,37.142,33.767,36.68,36.786,37.17,35.966,38.23962,37.998,33.98,35.151,42.562,40.15
15061945,42.902,43.05,42.91,42.926,42.96,42.667,43.08315,43.109,42.787,42.525,42.851,44
15061946,22.048,22.891,22.136,22.343,22.166,21.216,21.72543,21.396,22.206,22.163,16.883,18.734
15061948,33.994,33.508,34.082,34.028,33.977,33.829,34.1025,33.951,33.322,33.813,42.504,42.689
15061949,39.654,40.21,39.371,39.428,40.035,42.018,39.55257,39.472,37.707,38.526,42.569,42.397
15061951,43.051,43.108,43.033,43.173,43.189,43.237,43.26806,43.118,42.787,42.671,42.689,44
15061952,16.704,15.992,16.806,16.596,16.653,16.302,16.83419,17.146,15.414,17.31,17.44,16.423
15061953,15.327,15.283,15.5,15.685,15.372,16.008,15.32665,14.885,16.258,16.078,12.154,10.4
15061958,33.054,34.613,33.199,33.529,33.683,31.533,34.79328,35.471,32.384,31.433,42.564,39.725
15061960,17.871,18.538,18.082,18.154,17.691,17.174,18.0853,18.123,18.14,19.026,7.43,12.527
15061961,15.316,15.334,15.471,15.559,15.494,15.563,15.41744,14.912,15.418,16.068,11.761,9.744
15061962,45.358,45.422,45.404,45.687,45.394,44.97,44.64656,44.11,45.522,45.041,42.566,43.862
15061963,17.487,16.985,17.555,17.489,17.405,17.67,17.31585,17.01,17.837,17.909,12.642,9.52
15061965,40.27,40.808,39.866,41.036,40.857,40.889,40.48722,41.01,38.592,40.747,42.567,41.462
15061966,20,21.45,20.652,20.669,20.052,24.348,19.91217,21.475,22.817,21.811,17.439,20.512
15061967,24.902,25.351,25.43,25.312,24.458,26.949,24.30509,23.936,25.092,26.604,17.437,18.763
15061968,27.352,26.999,27.431,27.576,27.578,27.493,27.26007,27.012,27.36,28.173,19.136,32.643
15062036,26.936,26.919,27.09,27.639,27.28,27.051,26.9365,26.829,25.547,27.038,31.121,33.085
15062038,43.415,43.874,43.255,43.486,43.466,43.335,43.46123,43.278,42.928,42.779,43.015,44
15062039,43.786,42.894,43.443,43.894,43.686,43.73,43.80222,43.598,42.017,43.532,43.256,44.013
15062046,42.342,41.852,41.606,41.702,42.042,41.217,42.04934,41.156,38.196,40.302,42.57,42.221
15062050,39.118,41.205,39.305,39.054,38.974,41.113,40.51628,41.579,40.672,39.949,42.568,40.214
15062051,42.975,43.017,42.972,42.826,42.952,42.966,43.09546,43.013,42.787,42.506,42.682,43.972
15062067,40.528,41.477,40.602,40.513,40.43,41.047,41.93407,41.656,40.379,40.026,42.563,43.738
15062069,24.312,22.943,24.395,23.908,23.887,25.857,24.00878,24.607,24.008,25.206,17.433,19.855
15062071,38.314,37.696,38.112,38.216,38.123,37.749,38.36598,38.032,37.23,37.893,42.567,39.937
15062080,33.684,36.219,33.714,33.666,33.657,34.112,34.66998,36.473,36.383,33.955,42.564,39.314
15062092,34.35,33.606,34.429,34.302,34.272,33.829,34.26986,34.092,33.322,34.016,42.568,39.908
15062094,15.201,15.317,15.353,15.434,15.258,15.289,15.2252,14.86,15.418,15.956,10.885,8.984
15062097,41.809,41.111,41.827,41.978,42.011,41.75,41.80802,41.579,40.659,41.419,42.56,42.548
15062099,40.641,41.061,40.638,40.781,40.879,42.086,41.64845,41.49,40.652,40.783,42.565,43.296
15062100,37.042,32.703,37.617,37.186,37.62,38.304,39.38808,39.573,35.093,38.083,42.566,39.616
15062101,26.539,26.36,27.022,26.605,26.623,25.845,26.85557,27.19,26.937,27.517,17.43,24.762
15062102,39.527,39.708,39.118,39.589,39.094,41.589,39.84314,40.084,41.046,40.146,42.564,39.798
15062103,26.665,29.396,25.611,26.456,26.487,27.709,28.66936,30.678,28.109,24.506,42.566,37.548
15062105,15.385,15.291,15.651,15.752,15.553,15.501,15.47731,15.113,15.72,16.209,14.561,14.155
15062106,17.059,16.635,17.194,17.108,17.076,17.099,17.03024,16.84,17.245,17.665,13.9,10.579
15062107,37.373,38.319,37.266,37.421,37.369,36.769,37.38555,37.442,39.24,36.292,42.57,43.529
15062108,17.492,17.169,17.566,17.627,17.517,17.602,17.39156,17.092,17.837,17.938,14.205,13.605
15062109,43.398,43.284,43.28,43.363,43.445,43.636,43.4366,43.348,42.789,42.867,43.125,44
15062111,29.391,29.324,29.556,29.603,29.647,30.182,28.99187,28.908,31.092,30.895,22.522,25.172
15062112,15.302,15.094,15.495,15.693,15.416,15.626,15.51062,15.07,15.418,16.215,14.56,14.428
15062114,15.81,16.734,16.016,16.005,15.91,16.399,16.30762,16.632,16.166,16.835,14.567,14.668
15062117,42.855,43.015,42.764,42.869,42.901,42.7,42.98918,43.051,42.787,42.525,42.887,44
15062118,43.027,43.101,42.951,43.066,43.106,42.815,43.17995,43.1,42.787,42.654,42.887,44
15062122,13.323,14.683,14.048,13.441,13.155,14.391,12.70569,14.414,14.884,16.049,7.435,9.889
15062124,38.943,38.613,38.907,39.024,39.051,37.67,39.20614,38.595,38.029,38.225,40.425,32.495
15062126,20.569,21.216,20.831,20.995,20.845,21.505,20.52649,19.836,20.735,20.961,17.431,18.277
15062130,38.802,39.241,38.375,38.447,38.493,37.033,39.27525,39.492,37.612,37.347,42.566,40.835
15062136,16.71,14.688,17.062,16.433,16.442,15.638,15.566,17.451,15.647,17.044,7.43,11.977
15062137,16.859,16.376,16.995,16.789,16.864,16.321,16.78325,16.764,17.245,17.511,10.333,8.798
15062138,19.97,19.875,19.876,19.439,19.554,17.961,19.40659,18.636,21.072,19.823,15.325,16.258
15062139,27.687,25.944,27.62,27.476,27.652,27.597,27.37762,27.508,27.053,27.521,20.125,32.522
15062142,43.264,44.343,43.118,43.274,43.194,43.943,43.51839,43.141,44.166,43.577,42.558,43.58
15062145,25.158,25.162,25.22,24.758,25.055,24.752,24.80935,24.779,24.81,26.135,17.439,22.774
