,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15062100,58.428,57.976,59.59,58.724,59.642,60.607,57.63611,59.019,52.808,56.411,49.899,52.344
15062101,71.063,69.354,70.583,71.002,70.523,69.575,69.91988,69.886,69.101,71.296,79.104,76.689
15062102,64.908,64.16,65.538,65.287,65.242,64.76,64.22885,63.333,61.563,63.467,61.892,60.334
15062103,53.491,58.808,54.978,53.674,55.261,56.177,55.30968,56.101,64.573,53.404,28.883,39.209
15062104,73.135,72.473,73.131,73.116,72.606,71.637,71.96105,71.282,71.584,73.087,73.723,73.846
15062105,74.253,73.625,73.851,74.231,73.84,73.446,74.11826,74.369,72.809,74.658,78.111,79.758
15062106,70.142,69.459,69.986,70.125,69.938,69.693,69.68654,69.537,69.39,69.914,78.104,78.679
15062107,71.404,71.053,71.385,71.475,71.32,70.492,71.08823,71.32,71.655,71.887,77.105,77.002
15062108,69.602,69.265,69.545,69.576,69.473,69.379,69.32357,69.321,69.39,69.459,77.969,78.683
15062109,72.229,72.222,72.005,72.2,71.89,72.368,71.75193,71.775,72.34,72.318,77.883,76.001
15062111,67.628,68.009,68.257,67.861,67.945,68.435,67.54633,67.543,68.456,67.713,76.129,64.805
15062112,73.997,73.507,73.538,73.896,73.545,73.586,73.90181,74.247,72.809,74.386,78.738,79.781
15062114,49.751,51.569,51.167,50.258,50.958,53.238,51.77142,51.93,52.741,49.857,30.895,34.047
15062115,49.694,51.52,51.119,50.236,50.891,53.249,51.73351,51.968,52.741,49.883,30.896,33.784
15062117,71.69,71.893,71.547,71.758,71.42,71.427,71.36556,71.484,71.609,71.721,78.336,80.093
15062118,71.956,72.021,71.746,71.946,71.59,71.771,71.41607,71.545,71.609,71.991,76.889,75.1
15062119,73.201,72.578,73.114,73.195,72.57,72.336,71.99778,71.377,72.365,73.294,74.008,74.9
15062124,61.227,61.417,61.502,61.374,61.634,61.886,61.31522,61.307,62.576,61.022,59,53.152
15062126,73.23,72.429,73.411,73.614,73.19,73.076,72.95073,73.712,73.777,73.826,77.112,77.421
15062130,65.596,64.79,65.555,65.026,64.991,64.443,66.42595,66.909,64.131,66.637,76.222,73.661
15062137,69.976,69.458,69.924,70.046,69.868,69.553,69.4628,69.463,69.39,69.779,78.102,79.123
15062138,72.413,72.548,72.095,72.397,72.231,71.265,71.72562,72.567,72.26,72.617,74.638,75.513
15062139,63.096,62.814,62.975,62.602,63.166,62.699,62.41319,62.666,64.217,63.337,73.771,61.726
15062142,55.171,57.265,55.995,55.487,56.46,55.244,54.1867,54.83,54.461,53.492,41.29,45.763
15062143,70.934,69.267,70.403,70.864,70.463,69.309,69.7459,69.788,68.132,70.865,77.11,74.322
15062144,74.357,73.688,73.926,74.284,73.924,73.571,73.98049,74.408,72.809,74.741,78.109,79.618
15062145,57.379,58.275,59.019,58.629,58.456,58.817,59.44271,58.98,55.368,57.227,68.676,60.981
15062150,71.677,72.965,70.873,71.128,70.787,71.927,70.64895,69.101,67.379,72.238,78.117,71.979
15062151,71.422,69.803,70.917,71.288,70.779,72.648,70.99496,70.335,70.281,72.066,74.11,71.086
15062152,69.844,69.419,69.73,69.86,69.726,69.329,69.47534,69.284,69.39,69.473,78.104,77.064
15062153,69.982,69.456,69.867,69.93,69.792,69.379,69.53083,69.492,69.39,69.646,78.229,78.811
15062331,68.682,68.328,68.796,68.666,68.656,68.376,68.8305,68.375,68.586,69.717,75.891,73.404
15062332,68.605,68.223,68.476,68.66,68.452,68.647,68.74929,68.224,68.429,69.191,78.104,77.024
15062333,52.999,57.339,54.329,53.725,54.429,56.566,55.74949,57.086,59.508,54.001,30.888,45.757
15062334,67.481,67.552,67.646,67.731,67.641,67.485,67.55159,67.403,68.429,67.595,66.666,52.726
15062335,70.648,68.372,69.539,70.065,69.319,67.3,70.85644,70.674,66.407,71.127,76.836,74.204
15062337,72.417,72.304,72.156,72.367,71.927,72.009,71.66603,71.687,71.609,72.256,78.106,79.591
15062338,72.117,72.126,71.897,72.092,71.801,72.114,71.73146,71.721,71.609,72.226,77.89,77.771
15062344,71.808,69.211,70.429,71.626,70.876,67.891,71.42431,69.868,68.275,73.041,78.108,74.727
15062348,71.548,71.835,71.381,71.61,71.288,71.593,71.21068,71.342,72.096,71.707,74.394,67.008
15062349,73.338,72.551,73.27,73.288,72.707,71.835,72.10425,71.35,71.584,73.2,74.107,75.089
15062351,66.65,66.142,66.479,66.702,66.213,66.918,68.0136,67.134,67.38,66.555,76.71,75.887
15062353,50.456,52.602,51.622,51.156,51.715,51.775,52.26726,52.481,51.552,50.015,42.139,41.872
