,BA,BB
15061671,37.995,37.484
15061673,43.181,42.201
15061677,43.54,43.27
15061678,43.495,43.24
15061679,35.771,35.15
15061680,43.889,44.362
15061682,29.694,31.859
15061683,32.329,32.254
15061684,37.281,42.824
15061686,32.322,32.19
15061687,32.721,33.754
15061688,32.215,32.187
15061689,43.421,43.245
15061704,29.727,31.757
15061706,47.246,47.315
15061709,40.399,39.397
15061712,31.647,32.596
15061713,29.786,31.853
15061714,38.741,37.827
15061717,31.47,34.541
15061718,31.659,32.62
15061720,40.554,38.352
15061723,38.789,39.938
15061724,42.091,42.817
15061725,38.753,37.832
15061726,43.641,41.151
15061729,42.67,42.394
15061730,42.742,42.281
15061733,44.036,43.453
15061734,43.387,43.238
15061735,38.707,37.878
15061736,42.473,42.269
15061737,43.133,42.644
15061738,43.594,43.251
15061740,29.291,31.802
15061742,30.049,29.388
15061744,48.134,50.238
15061747,31.327,31.063
15061751,35.803,34.679
15061752,29.357,31.759
15061753,43.358,43.167
15061754,50.907,47.885
15061755,32.814,30.277
15061756,32.942,30.278
15061757,35.406,35.084
15061758,34.871,31.212
15061759,32.7,30.693
15061760,42.949,42.384
15061762,29.906,28.279
15061765,31.481,30.359
15061766,29.968,29.4
15061767,30.574,30.795
15061769,41.832,39.376
15061771,43.537,43.213
15061772,31.003,30.911
15061773,29.723,31.321
15061777,35.841,35.182
15061778,43.638,43.266
15061784,43.718,43.267
15061785,39.128,35.083
15061788,32.298,34.684
15061790,35.775,35.141
15061795,29.519,29.303
15061797,43.661,43.275
15061798,45.872,46.63
15061800,35.42,39.251
15061801,40.482,40.036
15061808,40.202,39.858
15061811,30.053,31.899
15061813,45.983,45.878
15061815,41.511,41.034
15061826,44.759,45.892
15061905,40.641,40.051
15061906,33.626,33.483
15061908,36.035,38.035
15061909,32.465,31.886
15061910,41.076,40.995
15061911,48.095,47.803
15061912,43.731,46.405
15061915,47.936,47.863
15061917,43.839,43.09
15061918,35.722,34.766
15061926,41.244,41.069
15061927,41.018,43.947
15061928,44.358,45.962
15061929,38.859,40.162
15061930,35.339,34.538
15061933,32.293,32.211
15061934,42.857,42.418
15061935,48.138,47.927
15061937,30.732,32.311
15061939,43.548,43.417
15061941,40.325,39.38
15061942,33.771,35.387
15061944,42.778,46.047
15061945,43.583,43.036
15061946,29.78,28.28
15061948,32.338,32.193
15061949,35.333,38.976
15061951,43.614,43.071
15061952,43.023,42.456
15061953,29.701,30.814
15061958,38.228,37.654
15061960,33.444,35.117
15061961,29.545,30.745
15061962,47.902,47.859
15061963,43.236,43.265
15061965,32.164,32.538
15061966,35.279,36.914
15061967,35.942,38.285
15061968,35.554,35.097
15062036,34.101,34.89
15062038,43.959,43.096
15062039,40.419,39.955
15062046,43.851,46.55
15062050,38.098,39.405
15062051,43.549,43.095
15062067,40.148,39.872
15062069,32.34,34.63
15062071,31.667,31.16
15062080,45.432,44.011
15062092,32.372,32.204
15062094,29.792,30.815
15062097,29.949,31.903
15062099,35.507,35.392
15062100,51.677,51.213
15062101,28.622,27.646
15062102,46.126,41.933
15062103,44.135,43.127
15062105,29.602,30.755
15062106,43.521,43.269
15062107,36.287,35.357
15062108,43.649,43.252
15062109,43.935,43.232
15062111,35.63,37.98
15062112,29.553,30.81
15062114,40.336,37.47
15062117,43.634,43.093
15062118,43.65,43.096
15062122,34.87,37.346
15062124,31.197,30.389
15062126,30.026,31.903
15062130,34.783,34.004
15062136,39.962,40.695
15062137,43.023,43.179
15062138,29.972,32.122
15062139,38.831,38.542
15062142,41.899,41.932
15062145,33.479,37.397
15062146,29.161,29.182
15062149,38.646,37.78
15062150,34.568,35.524
15062151,33.098,29.841
15062152,43.505,43.24
15062153,43.505,43.213
15062331,35.308,34.591
15062332,35.388,34.599
15062333,33.014,34.223
15062334,35.849,34.778
15062335,45.569,43.886
15062337,43.549,43.067
15062338,43.814,43.129
15062346,37.768,40.843
15062347,30.607,30.876
15062348,43.717,43.181
15062349,30.314,30.111
15062350,35.413,39.004
15062351,29.757,28.351
15062353,40.499,39.4
15062354,43.64,43.081
15062356,29.133,29.196
15062357,29.545,30.737
15062358,43.5,43.288
15062360,40.095,39.852
15062361,35.623,37.976
15062363,40.353,40.073
15062366,44.007,45.758
15062367,40.608,37.472
15062368,43.639,43.068
15062369,38.741,37.875
15062370,30.323,30.007
