,PREDICTED,ACTUAL
15061771,38.759,28
15061772,39.266,29
15061776,71.383,76
15061777,40.927,27
15061778,38.939,28
15061784,39.002,29
15061788,32.413,28
15061789,71.7,80
15061790,41.625,75
15061797,39.035,75
15061798,37.013,34
15061799,41.29,34
15061800,61.055,80
15061801,68.118,50
15061808,68.914,81
15061811,49.464,28
15061813,71.58,80
15061815,46.823,34
15061826,36.519,35
15061905,42.5,39
15061907,71.301,80
15061908,39.418,35
15061909,36.793,28
15061910,47.414,50
15061911,67.059,44
15061912,67.761,80
15061915,67.138,76
15061917,45.293,35
15061918,53.311,50
15061927,41.812,29
15061928,37.389,30
15061929,59.419,75
15061932,67.206,80
15061933,36.469,28
15061934,50.543,80
15061935,66.142,42
15061939,39.506,80
15061941,66.586,75
15061942,42.014,39
15061944,61.4,80
15061945,45.434,75
15061946,35.053,27
15061948,36.262,57
15061949,37.148,29
15061951,45.301,42
15061952,50.235,34
15061953,34.629,28
15061954,45.234,40
15061957,43.676,38
15061960,38.187,29
15061961,34.422,27
15061962,67.207,75
15061963,39.016,28
15061965,49.504,42
15061967,37.336,27
15061968,41.131,27
15061969,68.903,80
15062036,49.397,50
15062038,45.241,39
15062039,43.284,82
15062046,67.94,80
15062050,64.989,75
15062051,45.109,40
15062052,45.211,43
15062053,46.067,40
15062063,36.141,27
15062069,32.774,28
15062071,47.456,60
15062080,61.265,76
15062081,35.842,27
15062092,36.282,35
15062094,34.386,29
15062097,49.911,40
15062098,45.489,39
15062099,41.707,27
15062100,67.918,80
15062101,40.884,41
15062102,64.97,79
15062103,56.23,76
15062104,40.614,79
15062105,34.286,30
15062106,38.845,30
15062107,44.557,50
15062108,39.084,29
15062109,45.193,39
15062111,38.859,62
15062112,34.545,45
15062114,62.235,76
15062115,62.165,80
15062117,45.458,38
15062118,45.271,38
15062119,40.256,29
15062124,41.131,28
15062126,35.822,30
15062130,46.289,40
15062137,38.915,30
15062138,35.414,29
15062139,48.667,30
15062142,65.666,80
15062143,40.916,38
15062144,34.458,30
15062145,41.387,28
15062150,41.629,28
15062151,44.902,45
15062152,39.201,30
15062153,39.049,38
15062331,53.032,50
15062332,53.314,42
15062333,41.029,30
15062334,54.831,81
15062335,42.752,40
15062337,45.17,40
15062338,45.132,42
15062344,36.752,30
15062348,45.656,35
15062349,40.324,28
15062351,35.41,27
15062353,66.657,76
15062354,45.609,75
15062357,34.555,30
15062359,65.261,76
15062360,68.506,80
15062361,38.836,30
15062363,42.453,39
15062366,36.822,30
15062367,61.864,75
15062370,40.189,29
15062371,54.3,75
15062372,41.679,28
