Samples,CPBrote.L
15060021,26
15060025,26
15060027,26
15060039,45
15060042,26
15060056,26
15060063,39
15060070,26
15060081,26
15060085,26
15060087,26
15060097,81
15060102,26
15060112,26
15060114,48
15060120,52
15060121,26
15060122,31
15060138,26
15060160,26
15060187,41
15060188,26
15060190,26
15060191,26
15060214,33
15060313,95
15060320,39
15060345,44
15060383,62
15060420,26
15060543,47
15060570,43
15060797,59
15060846,26
15060907,28
15060910,48
15060933,47
15060964,43
15061007,43
15061011,75
15061122,49
15061204,26
15061213,36
15061215,52
15061216,38
15061225,59
15061226,33
15061228,26
15061237,48
15061256,26
15061257,27
15061259,26
15061260,26
15061262,26
15061263,58
15061264,26
15061265,26
15061270,26
15061273,26
15061274,44
15061277,47
15061282,27
15061283,27
15061286,84
15061288,26
15061289,57
15061290,26
15061291,45
15061293,27
15061295,26
15061296,33
15061298,33
15061299,43
15061303,52
15061307,27
15061312,38
15061313,26
15061314,39
15061317,33
15061318,26
15061319,26
15061320,39
15061323,33
15061324,26
15061329,27
15061334,54
15061335,27
15061337,33
15061338,26
15061340,27
15061344,27
15061345,39
15061346,48
15061347,26
15061348,26
15061349,33
15061350,48
15061352,94
15061353,27
15061355,26
15061356,54
15061357,26
15061358,27
15061360,26
15061364,33
15061365,42
15061367,42
15061369,26
15061376,48
15061378,43
15061380,26
15061382,58
15061383,26
15061384,27
15061388,57
15061390,26
15061391,94
15061392,43
15061394,26
15061396,26
15061404,26
15061406,26
15061410,36
15061411,26
15061414,36
15061415,39
15061417,31
15061418,31
15061419,26
15061420,49
15061421,26
15061422,39
15061424,65
15061425,48
15061428,48
15061430,39
15061435,75
15061436,43
15061437,33
15061439,27
15061441,65
15061442,38
15061444,26
15061445,38
15061447,30
15061449,26
15061454,38
15061458,48
15061459,33
15061461,48
15061463,33
15061469,43
15061470,31
15061471,33
15061475,26
15061476,33
15061478,26
15061479,35
15061480,43
15061481,26
15061484,26
15061485,36
15061486,33
15061489,33
15061490,48
15061491,48
15061492,41
15061493,33
15061494,33
15061495,26
15061496,33
15061499,33
15061500,52
15061501,41
15061503,84
15061504,54
15061505,39
15061507,43
15061508,43
15061509,33
15061511,26
15061515,33
15061516,36
15061517,70
15061518,59
15061521,36
15061522,26
15061524,33
15061525,49
15061526,75
15061528,26
15061529,33
15061530,48
15061533,33
15061534,38
15061535,26
15061536,26
15061540,26
15061542,49
15061543,33
15061544,33
15061546,33
15061548,45
15061549,26
15061550,33
15061553,33
15061555,26
15061556,59
15061560,33
15061561,66
15061564,36
15061565,48
15061566,33
15061568,54
15061571,45
15061575,26
15061576,33
15061577,26
15061578,36
15061579,33
15061580,26
15061583,54
15061584,45
15061585,33
15061586,46
15061588,26
15061600,61
15061602,33
15061603,27
15061604,44
15061605,54
15061608,31
15061609,26
15061610,26
15061612,33
15061613,33
15061619,39
15061621,37
15061622,26
15061623,26
15061624,36
15061628,38
15061631,27
15061632,44
15061637,26
15061638,33
15061639,43
15061640,26
15061642,26
15061645,27
15061646,26
15061647,27
15061648,26
15061649,33
15061650,33
15061651,33
15061653,48
15061654,33
15061655,36
15061658,33
15061659,42
15061661,38
15061662,33
15061665,57
15061668,39
15061670,36
15061671,39
15061673,45
15061677,33
15061678,33
15061679,26
15061680,36
15061682,26
15061683,33
15061684,27
15061686,26
15061687,38
15061688,28
15061689,36
15061704,27
15061706,49
15061709,36
15061712,33
15061713,26
15061714,39
15061717,27
15061718,26
15061720,44
15061723,44
15061724,49
15061725,39
15061726,44
15061729,49
15061730,42
15061733,58
15061734,39
15061735,39
15061736,27
15061737,59
15061738,39
15061740,26
15061742,26
15061744,49
15061747,33
15061751,49
15061752,26
15061753,35
15061754,56
15061755,33
15061756,38
15061757,26
15061758,38
15061759,38
15061760,54
15061762,26
15061765,26
15061766,26
15061767,26
15061769,39
15061771,38
15061772,26
15061773,26
15061777,26
15061778,43
15061784,26
15061785,43
15061788,26
15061790,36
15061795,33
15061797,94
15061798,65
15061800,33
15061801,36
15061808,36
15061811,33
15061813,59
15061815,43
15061826,36
15061905,48
15061906,26
15061908,45
15061909,26
15061910,26
15061911,33
15061912,44
15061915,61
15061917,33
15061918,31
15061926,33
15061927,47
15061928,65
15061929,26
15061930,31
15061933,26
15061934,26
15061935,54
15061937,26
15061939,94
15061941,52
15061942,33
15061944,49
15061945,48
15061946,26
15061948,57
15061949,26
15061951,48
15061952,33
15061953,26
15061958,48
15061960,26
15061961,26
15061962,52
15061963,43
15061965,26
15061966,26
15061967,26
15061968,27
15062036,41
15062038,44
15062039,31
15062046,44
15062050,27
15062051,62
15062067,39
15062069,26
15062071,26
15062080,57
15062092,27
15062094,33
15062097,26
15062099,38
15062100,52
15062101,26
15062102,54
15062103,41
15062105,26
15062106,26
15062107,33
15062108,33
15062109,56
15062111,26
15062112,26
15062114,54
15062117,39
15062118,39
15062122,26
15062124,33
15062126,26
15062130,36
15062136,33
15062137,36
15062138,27
15062139,48
15062142,45
15062145,27
15062146,26
15062149,44
15062150,26
15062151,26
15062152,38
15062153,43
15062331,43
15062332,26
15062333,26
15062334,26
15062335,41
15062337,62
15062338,36
15062346,36
15062347,26
15062348,53
15062349,27
15062350,38
15062351,26
15062353,44
15062354,39
15062356,26
15062357,26
15062358,36
15062360,49
15062361,33
15062363,33
15062366,33
15062367,33
15062368,48
15062369,48
15062370,26
