Prefix,HCL_component,Traits,Models,Predictive_ability
Baya,C,Baya.C,BA,0.161
Baya,C,Baya.C,BA,0.004
Baya,C,Baya.C,BA,0.222
Baya,C,Baya.C,BA,0.129
Baya,C,Baya.C,BA,0.127
Baya,C,Baya.C,BA,0.05
Baya,C,Baya.C,BA,0.243
Baya,C,Baya.C,BA,0.198
Baya,C,Baya.C,BA,0.177
Baya,C,Baya.C,BA,0.107
Baya,C,Baya.C,BA,0.052
Baya,C,Baya.C,BA,0.153
Baya,C,Baya.C,BA,0.274
Baya,C,Baya.C,BA,-0.039
Baya,C,Baya.C,BA,0.095
Baya,C,Baya.C,BA,0.121
Baya,C,Baya.C,BA,0.235
Baya,C,Baya.C,BA,0.136
Baya,C,Baya.C,BA,0.21
Baya,C,Baya.C,BA,0.098
Baya,C,Baya.C,BA,-0.092
Baya,C,Baya.C,BA,0.259
Baya,C,Baya.C,BA,0.248
Baya,C,Baya.C,BA,0.042
Baya,C,Baya.C,BA,-0.005
Baya,C,Baya.C,BB,0.267
Baya,C,Baya.C,BB,0.01
Baya,C,Baya.C,BB,0.172
Baya,C,Baya.C,BB,0.167
Baya,C,Baya.C,BB,0.069
Baya,C,Baya.C,BB,0.258
Baya,C,Baya.C,BB,0.008
Baya,C,Baya.C,BB,0.053
Baya,C,Baya.C,BB,0.164
Baya,C,Baya.C,BB,0.201
Baya,C,Baya.C,BB,0.325
Baya,C,Baya.C,BB,0.035
Baya,C,Baya.C,BB,0.15
Baya,C,Baya.C,BB,0.156
Baya,C,Baya.C,BB,0.072
Baya,C,Baya.C,BB,0.147
Baya,C,Baya.C,BB,0.23
Baya,C,Baya.C,BB,0.265
Baya,C,Baya.C,BB,0.107
Baya,C,Baya.C,BB,0.112
Baya,C,Baya.C,BB,0.29
Baya,C,Baya.C,BB,0.15
Baya,C,Baya.C,BB,-0.022
Baya,C,Baya.C,BB,0.04
Baya,C,Baya.C,BB,0.085
Baya,C,Baya.C,BC,-0.076
Baya,C,Baya.C,BC,0.313
Baya,C,Baya.C,BC,0.21
Baya,C,Baya.C,BC,0.18
Baya,C,Baya.C,BC,0.207
Baya,C,Baya.C,BC,0.111
Baya,C,Baya.C,BC,0.192
Baya,C,Baya.C,BC,0.019
Baya,C,Baya.C,BC,0.191
Baya,C,Baya.C,BC,-0.014
Baya,C,Baya.C,BC,-0.015
Baya,C,Baya.C,BC,0.148
Baya,C,Baya.C,BC,0.059
Baya,C,Baya.C,BC,0.205
Baya,C,Baya.C,BC,0.159
Baya,C,Baya.C,BC,0.141
Baya,C,Baya.C,BC,0.109
Baya,C,Baya.C,BC,0.195
Baya,C,Baya.C,BC,0.178
Baya,C,Baya.C,BC,0.151
Baya,C,Baya.C,BC,0.064
Baya,C,Baya.C,BC,0.202
Baya,C,Baya.C,BC,0.219
Baya,C,Baya.C,BC,0.139
Baya,C,Baya.C,BC,0.027
Baya,C,Baya.C,BL,0.294
Baya,C,Baya.C,BL,0.083
Baya,C,Baya.C,BL,0.202
Baya,C,Baya.C,BL,0.16
Baya,C,Baya.C,BL,0.077
Baya,C,Baya.C,BL,0.191
Baya,C,Baya.C,BL,0.102
Baya,C,Baya.C,BL,0.112
Baya,C,Baya.C,BL,0.179
Baya,C,Baya.C,BL,0.18
Baya,C,Baya.C,BL,-0.003
Baya,C,Baya.C,BL,0.14
Baya,C,Baya.C,BL,0.229
Baya,C,Baya.C,BL,0.074
Baya,C,Baya.C,BL,0.205
Baya,C,Baya.C,BL,0.018
Baya,C,Baya.C,BL,0.02
Baya,C,Baya.C,BL,0.304
Baya,C,Baya.C,BL,0.11
Baya,C,Baya.C,BL,0.345
Baya,C,Baya.C,BL,-0.031
Baya,C,Baya.C,BL,0.236
Baya,C,Baya.C,BL,0.177
Baya,C,Baya.C,BL,0.193
Baya,C,Baya.C,BL,0.17
Baya,C,Baya.C,BRR,0.098
Baya,C,Baya.C,BRR,0.143
Baya,C,Baya.C,BRR,0.408
Baya,C,Baya.C,BRR,0.205
Baya,C,Baya.C,BRR,-0.088
Baya,C,Baya.C,BRR,0.147
Baya,C,Baya.C,BRR,-0.009
Baya,C,Baya.C,BRR,0.202
Baya,C,Baya.C,BRR,0.104
Baya,C,Baya.C,BRR,-0.069
Baya,C,Baya.C,BRR,0.131
Baya,C,Baya.C,BRR,0.16
Baya,C,Baya.C,BRR,0.215
Baya,C,Baya.C,BRR,0.138
Baya,C,Baya.C,BRR,0.116
Baya,C,Baya.C,BRR,0.099
Baya,C,Baya.C,BRR,0.165
Baya,C,Baya.C,BRR,0.13
Baya,C,Baya.C,BRR,0.006
Baya,C,Baya.C,BRR,0.074
Baya,C,Baya.C,BRR,0.089
Baya,C,Baya.C,BRR,0.12
Baya,C,Baya.C,BRR,0.222
Baya,C,Baya.C,BRR,0.099
Baya,C,Baya.C,BRR,0.081
Baya,C,Baya.C,GBLUP,0.073
Baya,C,Baya.C,GBLUP,0.087
Baya,C,Baya.C,GBLUP,0.262
Baya,C,Baya.C,GBLUP,0.223
Baya,C,Baya.C,GBLUP,0.001
Baya,C,Baya.C,GBLUP,0.099
Baya,C,Baya.C,GBLUP,0.108
Baya,C,Baya.C,GBLUP,0.252
Baya,C,Baya.C,GBLUP,0.09
Baya,C,Baya.C,GBLUP,0.23
Baya,C,Baya.C,GBLUP,0.215
Baya,C,Baya.C,GBLUP,0.226
Baya,C,Baya.C,GBLUP,0.162
Baya,C,Baya.C,GBLUP,0.132
Baya,C,Baya.C,GBLUP,0.041
Baya,C,Baya.C,GBLUP,0.127
Baya,C,Baya.C,GBLUP,0.273
Baya,C,Baya.C,GBLUP,0.054
Baya,C,Baya.C,GBLUP,0.104
Baya,C,Baya.C,GBLUP,0.221
Baya,C,Baya.C,GBLUP,0.223
Baya,C,Baya.C,GBLUP,0.187
Baya,C,Baya.C,GBLUP,0.032
Baya,C,Baya.C,GBLUP,0.182
Baya,C,Baya.C,GBLUP,0.156
Baya,C,Baya.C,EGBLUP,0.14
Baya,C,Baya.C,EGBLUP,0.084
Baya,C,Baya.C,EGBLUP,0.01
Baya,C,Baya.C,EGBLUP,0.151
Baya,C,Baya.C,EGBLUP,0.165
Baya,C,Baya.C,EGBLUP,-0.062
Baya,C,Baya.C,EGBLUP,0.166
Baya,C,Baya.C,EGBLUP,0.117
Baya,C,Baya.C,EGBLUP,0.188
Baya,C,Baya.C,EGBLUP,-0.044
Baya,C,Baya.C,EGBLUP,-0.001
Baya,C,Baya.C,EGBLUP,0.143
Baya,C,Baya.C,EGBLUP,0.165
Baya,C,Baya.C,EGBLUP,-0.004
Baya,C,Baya.C,EGBLUP,0.045
Baya,C,Baya.C,EGBLUP,0.099
Baya,C,Baya.C,EGBLUP,0.024
Baya,C,Baya.C,EGBLUP,0.263
Baya,C,Baya.C,EGBLUP,0.111
Baya,C,Baya.C,EGBLUP,0.085
Baya,C,Baya.C,EGBLUP,0.159
Baya,C,Baya.C,EGBLUP,0.143
Baya,C,Baya.C,EGBLUP,0.06
Baya,C,Baya.C,EGBLUP,0.13
Baya,C,Baya.C,EGBLUP,-0.006
Baya,C,Baya.C,RKHS,0.117
Baya,C,Baya.C,RKHS,0.029
Baya,C,Baya.C,RKHS,0.075
Baya,C,Baya.C,RKHS,0.172
Baya,C,Baya.C,RKHS,0.215
Baya,C,Baya.C,RKHS,0.081
Baya,C,Baya.C,RKHS,-0.077
Baya,C,Baya.C,RKHS,0.164
Baya,C,Baya.C,RKHS,0.231
Baya,C,Baya.C,RKHS,0.128
Baya,C,Baya.C,RKHS,0.013
Baya,C,Baya.C,RKHS,0.203
Baya,C,Baya.C,RKHS,0.019
Baya,C,Baya.C,RKHS,0.18
Baya,C,Baya.C,RKHS,-0.039
Baya,C,Baya.C,RKHS,0.037
Baya,C,Baya.C,RKHS,0.281
Baya,C,Baya.C,RKHS,-0.085
Baya,C,Baya.C,RKHS,0.035
Baya,C,Baya.C,RKHS,0.167
Baya,C,Baya.C,RKHS,-0.034
Baya,C,Baya.C,RKHS,0.266
Baya,C,Baya.C,RKHS,0.119
Baya,C,Baya.C,RKHS,0.117
Baya,C,Baya.C,RKHS,0.037
Baya,C,Baya.C,Lasso,0.105
Baya,C,Baya.C,Lasso,0.147
Baya,C,Baya.C,Lasso,NA
Baya,C,Baya.C,Lasso,-0.08
Baya,C,Baya.C,Lasso,0.125
Baya,C,Baya.C,Lasso,0.111
Baya,C,Baya.C,Lasso,0.16
Baya,C,Baya.C,Lasso,-0.04
Baya,C,Baya.C,Lasso,0.175
Baya,C,Baya.C,Lasso,-0.065
Baya,C,Baya.C,Lasso,0.137
Baya,C,Baya.C,Lasso,0.236
Baya,C,Baya.C,Lasso,0.026
Baya,C,Baya.C,Lasso,NA
Baya,C,Baya.C,Lasso,0.034
Baya,C,Baya.C,Lasso,-0.038
Baya,C,Baya.C,Lasso,0.148
Baya,C,Baya.C,Lasso,-0.009
Baya,C,Baya.C,Lasso,-0.011
Baya,C,Baya.C,Lasso,0.272
Baya,C,Baya.C,Lasso,0.244
Baya,C,Baya.C,Lasso,0.129
Baya,C,Baya.C,Lasso,0.132
Baya,C,Baya.C,Lasso,-0.003
Baya,C,Baya.C,Lasso,-0.075
Baya,C,Baya.C,RR,0.092
Baya,C,Baya.C,RR,0.322
Baya,C,Baya.C,RR,0.141
Baya,C,Baya.C,RR,0.099
Baya,C,Baya.C,RR,0.049
Baya,C,Baya.C,RR,0.266
Baya,C,Baya.C,RR,0.157
Baya,C,Baya.C,RR,-0.028
Baya,C,Baya.C,RR,0.157
Baya,C,Baya.C,RR,0.13
Baya,C,Baya.C,RR,0.193
Baya,C,Baya.C,RR,0.136
Baya,C,Baya.C,RR,0.116
Baya,C,Baya.C,RR,0.119
Baya,C,Baya.C,RR,0.175
Baya,C,Baya.C,RR,0.123
Baya,C,Baya.C,RR,0.011
Baya,C,Baya.C,RR,0.214
Baya,C,Baya.C,RR,0.212
Baya,C,Baya.C,RR,0.236
Baya,C,Baya.C,RR,0.171
Baya,C,Baya.C,RR,0.192
Baya,C,Baya.C,RR,0.193
Baya,C,Baya.C,RR,0.129
Baya,C,Baya.C,RR,0.119
Baya,C,Baya.C,SVM,-0.032
Baya,C,Baya.C,SVM,0.124
Baya,C,Baya.C,SVM,0.019
Baya,C,Baya.C,SVM,-0.033
Baya,C,Baya.C,SVM,-0.07
Baya,C,Baya.C,SVM,0.022
Baya,C,Baya.C,SVM,0.097
Baya,C,Baya.C,SVM,0.104
Baya,C,Baya.C,SVM,0.05
Baya,C,Baya.C,SVM,0.14
Baya,C,Baya.C,SVM,0.058
Baya,C,Baya.C,SVM,-0.033
Baya,C,Baya.C,SVM,0.167
Baya,C,Baya.C,SVM,0.06
Baya,C,Baya.C,SVM,0.18
Baya,C,Baya.C,SVM,-0.08
Baya,C,Baya.C,SVM,0.149
Baya,C,Baya.C,SVM,-0.045
Baya,C,Baya.C,SVM,0.082
Baya,C,Baya.C,SVM,0.023
Baya,C,Baya.C,SVM,0.074
Baya,C,Baya.C,SVM,0.082
Baya,C,Baya.C,SVM,0.14
Baya,C,Baya.C,SVM,0.033
Baya,C,Baya.C,SVM,0.01
Baya,C,Baya.C,RF,-0.098
Baya,C,Baya.C,RF,0.089
Baya,C,Baya.C,RF,0.08
Baya,C,Baya.C,RF,0.153
Baya,C,Baya.C,RF,0.098
Baya,C,Baya.C,RF,0.049
Baya,C,Baya.C,RF,0.018
Baya,C,Baya.C,RF,0.222
Baya,C,Baya.C,RF,0.165
Baya,C,Baya.C,RF,0.113
Baya,C,Baya.C,RF,0.111
Baya,C,Baya.C,RF,0.174
Baya,C,Baya.C,RF,0.042
Baya,C,Baya.C,RF,-0.019
Baya,C,Baya.C,RF,0.051
Baya,C,Baya.C,RF,0.072
Baya,C,Baya.C,RF,-0.069
Baya,C,Baya.C,RF,0.126
Baya,C,Baya.C,RF,-0.067
Baya,C,Baya.C,RF,-0.083
Baya,C,Baya.C,RF,0.262
Baya,C,Baya.C,RF,0.028
Baya,C,Baya.C,RF,-0.067
Baya,C,Baya.C,RF,-0.018
Baya,C,Baya.C,RF,-0.015
Baya,H,Baya.H,BA,0.089
Baya,H,Baya.H,BA,-0.024
Baya,H,Baya.H,BA,0.146
Baya,H,Baya.H,BA,0.075
Baya,H,Baya.H,BA,0.177
Baya,H,Baya.H,BA,0.122
Baya,H,Baya.H,BA,0.222
Baya,H,Baya.H,BA,0.046
Baya,H,Baya.H,BA,0.258
Baya,H,Baya.H,BA,0.129
Baya,H,Baya.H,BA,0.028
Baya,H,Baya.H,BA,0.127
Baya,H,Baya.H,BA,0.103
Baya,H,Baya.H,BA,0.165
Baya,H,Baya.H,BA,0.026
Baya,H,Baya.H,BA,0.239
Baya,H,Baya.H,BA,0.075
Baya,H,Baya.H,BA,-0.067
Baya,H,Baya.H,BA,0.113
Baya,H,Baya.H,BA,0.222
Baya,H,Baya.H,BA,0.016
Baya,H,Baya.H,BA,0.098
Baya,H,Baya.H,BA,0.006
Baya,H,Baya.H,BA,0.127
Baya,H,Baya.H,BA,0.18
Baya,H,Baya.H,BB,0.148
Baya,H,Baya.H,BB,0.137
Baya,H,Baya.H,BB,0.154
Baya,H,Baya.H,BB,0.08
Baya,H,Baya.H,BB,0.036
Baya,H,Baya.H,BB,0.16
Baya,H,Baya.H,BB,0.284
Baya,H,Baya.H,BB,0.031
Baya,H,Baya.H,BB,0.059
Baya,H,Baya.H,BB,0.044
Baya,H,Baya.H,BB,0.128
Baya,H,Baya.H,BB,0.061
Baya,H,Baya.H,BB,0.099
Baya,H,Baya.H,BB,0.235
Baya,H,Baya.H,BB,0.142
Baya,H,Baya.H,BB,0.082
Baya,H,Baya.H,BB,0.199
Baya,H,Baya.H,BB,0.094
Baya,H,Baya.H,BB,0.188
Baya,H,Baya.H,BB,0.077
Baya,H,Baya.H,BB,0.051
Baya,H,Baya.H,BB,0.082
Baya,H,Baya.H,BB,0.201
Baya,H,Baya.H,BB,0.138
Baya,H,Baya.H,BB,0.293
Baya,H,Baya.H,BC,0.169
Baya,H,Baya.H,BC,0.094
Baya,H,Baya.H,BC,0.039
Baya,H,Baya.H,BC,0.022
