,PREDICTED,ACTUAL
15061769,21.946,8
15061771,304.056,318
15061772,326.955,313
15061773,20.951,7
15061777,18.941,5
15061778,305.716,318
15061784,307.961,313
15061785,93.515,83
15061788,345.067,359
15061790,42.33,83
15061795,314.031,328
15061797,291.838,83
15061798,34.953,21
15061800,109.988,96
15061801,30.946,17
15061808,69.999,84
15061811,110.49,359
15061813,82.126,96
15061815,231.446,21
15061826,30.951,17
15061905,36.005,22
15061906,299.104,313
15061908,30.919,17
15061909,310.497,318
15061910,328.056,342
15061911,34.949,21
15061912,99.94,86
15061915,71.048,85
15061917,29.909,17
15061918,182.148,342
15061926,316.471,359
15061927,299.047,313
15061928,314.091,328
15061929,69.096,83
15061930,192.79,342
15061933,39.149,359
15061934,50.948,86
15061935,31.994,18
15061937,59.689,359
15061939,269.59,96
15061941,95.963,83
15061942,139.601,9
15061944,110.002,96
15061945,49.348,83
15061946,56.049,344
15061948,30.907,45
15061949,135.683,313
15061951,32.292,18
15061952,25.399,21
15061953,285.514,359
15061958,98.93,85
15061960,299.106,313
15061961,271.499,5
15061962,71.071,83
15061963,304.062,318
15061965,332.072,346
15061966,299.047,313
15061967,150.703,5
15061968,18.942,5
15062036,328.037,342
15062038,26.3,22
15062039,69.124,83
15062046,99.937,86
15062050,96.927,83
15062051,29.945,16
15062067,82.012,96
15062069,327.177,318
15062071,37.232,41
15062080,98.91,85
15062092,21.408,17
15062094,299.099,313
15062097,67.612,27
15062099,330.279,344
15062100,109.926,96
15062101,25.477,12
15062102,96.945,83
15062103,98.917,85
15062105,256.636,3
15062106,313.009,328
15062107,328.001,342
15062108,308.764,313
15062109,25.194,22
15062111,288.596,349
15062112,261.157,0
15062114,78.239,85
15062117,27.962,14
15062118,27.945,14
15062122,299.03,313
15062124,304.006,318
15062126,314.067,328
15062130,29.955,16
15062136,20.921,7
15062137,269.959,3
15062138,299.075,313
15062139,25.153,7
15062142,72.022,86
15062145,304.049,318
15062146,238.623,0
15062149,30.941,17
15062150,304.059,318
15062151,13.951,0
15062152,314.047,328
15062153,294.399,14
15062331,328.079,342
15062332,216.607,346
15062333,16.949,3
15062334,97.918,84
15062335,29.262,16
15062337,29.944,16
15062338,28.917,18
15062346,107.809,96
15062347,345.029,359
15062348,30.961,17
15062349,304.001,318
15062350,110.042,3
15062351,101.264,344
15062353,98.939,85
15062354,42.453,83
15062356,299.039,313
15062357,247.515,3
15062358,307.549,318
15062360,72.012,86
15062361,276.25,7
15062363,29.419,22
15062366,318.974,345
15062367,69.04,83
15062368,35.96,22
15062369,29.91,21
15062370,299.032,313
