"","Prefix","CHL_Components","Traits","Models","Predictive_Ability"
"195","PCSprout","H","PCSprout.H","BA",0.273
"196","PCSprout","H","PCSprout.H","BA",0.407
"197","PCSprout","H","PCSprout.H","BA",0.352
"198","PCSprout","H","PCSprout.H","BA",0.148
"199","PCSprout","H","PCSprout.H","BA",0.369
"200","PCSprout","H","PCSprout.H","BA",0.379
"201","PCSprout","H","PCSprout.H","BB",0.321
"202","PCSprout","H","PCSprout.H","BB",0.226
"203","PCSprout","H","PCSprout.H","BB",0.34
"204","PCSprout","H","PCSprout.H","BB",0.258
"205","PCSprout","H","PCSprout.H","BB",0.36
"206","PCSprout","H","PCSprout.H","BB",0.05
"207","PCSprout","H","PCSprout.H","BB",0.326
"208","PCSprout","H","PCSprout.H","BB",0.34
"209","PCSprout","H","PCSprout.H","BB",0.391
"210","PCSprout","H","PCSprout.H","BB",0.238
"211","PCSprout","H","PCSprout.H","BB",0.358
"212","PCSprout","H","PCSprout.H","BB",0.161
"213","PCSprout","H","PCSprout.H","BB",-0.063
"214","PCSprout","H","PCSprout.H","BB",0.137
"215","PCSprout","H","PCSprout.H","BB",0.246
"216","PCSprout","H","PCSprout.H","BB",0.213
"217","PCSprout","H","PCSprout.H","BB",0.345
"218","PCSprout","H","PCSprout.H","BB",0.221
"219","PCSprout","H","PCSprout.H","BB",0.341
"220","PCSprout","H","PCSprout.H","BB",0.34
"221","PCSprout","H","PCSprout.H","BB",0.209
"222","PCSprout","H","PCSprout.H","BB",0.11
"223","PCSprout","H","PCSprout.H","BB",0.182
"224","PCSprout","H","PCSprout.H","BB",0.368
"225","PCSprout","H","PCSprout.H","BB",0.286
"226","PCSprout","H","PCSprout.H","BC",0.366
"227","PCSprout","H","PCSprout.H","BC",0.324
"228","PCSprout","H","PCSprout.H","BC",0.294
"229","PCSprout","H","PCSprout.H","BC",0.422
"230","PCSprout","H","PCSprout.H","BC",0.379
"231","PCSprout","H","PCSprout.H","BC",0.479
