SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.C,PriFlor.LCH.C.GEBV,PriFlor.LCH.H,PriFlor.LCH.H.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,PriTuber.LCH.L,PriTuber.LCH.L.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.C,SecBrote.LCH.C.GEBV,SecBrote.LCH.H,SecBrote.LCH.H.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15061730,44.133,28,118.84,115,57.684,50,33.65781,39,310.459,319,39.22,42,46.619,45,318.407,305,47.44,52,26.725,19,53.796,5,47.744,27,17.647,18,83.563,90,85.749,84,5.35,7,243.195,318,95.908,96,33.46,41,109.112,86,62.474,80,18.451,16,311.585,359,35.38389,28
15061623,46.973,48,116.474,118,60.563,66,31.07471,20,310.636,307,33.732,26,45.186,40,311.283,308,55.121,38,32.104,32,101.391,25,51.186,42,19.399,6,91.915,71,84.27,92,4.829,7,246.741,318,95.829,96,35.258,42,100.665,96,61.738,80,38.397,44,140.644,117,48.9923,54
15061405,42.276,28,116.022,115,58.43,50,34.27173,20,318.572,307,40.745,26,50.067,45,319.057,310,46.381,58,28.155,36,162.667,346,43.73,42,8.32,6,72.684,71,90.221,92,5.297,4,272.609,41,95.956,94,33.586,35,109.674,17,70.183,75,42.107,44,121.73,117,54.4378,54
15061299,42.276,44,116.022,117,58.43,54,34.42255,40,317.655,309,40.745,43,50.067,43,318.572,319,46.381,61,28.155,33,183.028,10,43.73,43,8.32,6,72.684,71,90.221,92,4.609,7,265.761,318,95.956,96,33.586,26,109.674,80,70.183,82,42.107,44,121.73,117,54.35271,54
15061578,44.433,44,120.504,117,57.908,54,33.6682,55,315.141,329,29.676,36,49.318,43,318.947,319,45.312,61,17.512,16,223.293,3,37.957,30,18.547,6,82.96,71,85.928,92,6.299,4,134.694,41,94.989,94,37.647,36,99.443,83,76.688,79,29.569,16,193.49,359,44.16679,28
15061476,46.973,50,116.679,115,58.522,71,29.42394,26,311.424,314,36.404,33,34.835,42,314.003,312,63.153,49,30.067,22,97.054,344,39.266,27,13.905,6,91.437,71,87.163,92,9.039,4,267.44,41,92.143,94,37.212,42,72.569,96,69.192,80,26.136,16,272.996,359,37.19642,28
15061765,46.973,48,115.533,118,59.899,66,27.98238,20,310.373,307,29.746,26,14.133,6,119.371,71,79.664,92,26.675,11,222.448,318,45.125,28,16.675,18,97.224,90,86.025,84,8.681,4,236.325,41,94.588,94,33.775,42,102.711,86,58.921,84,37.572,44,135.685,117,48.17209,54
15062111,44.433,38,116.828,132,58.276,53,41.28405,20,312.884,307,40.33,26,51.346,58,325,322,45.744,43,28.472,33,51.925,349,35.997,62,18.973,26,85.562,94,84.747,84,7.982,7,242.938,318,87.525,96,33.275,36,83.444,86,64.145,43,33.607,16,179.353,359,47.01862,28
15061397,46.973,38,116.129,132,60.483,53,29.52622,42,300.604,304,30.432,58,51.048,6,320.067,71,45.953,92,17.39,26,158.964,342,34.897,50,7.666,26,71.059,94,90.365,84,5.213,7,185.315,318,94.14,96,38.588,37,104.194,74,74.91,74,20.851,44,299.423,117,33.92103,54
15061713,46.973,28,116.474,115,60.563,50,31.04686,20,310.636,307,33.732,26,45.186,36,311.283,309,55.121,66,32.104,47,101.391,85,51.186,76,19.399,24,91.915,85,84.27,84,4.829,4,228.666,41,95.829,94,35.697,22,100.665,83,61.738,30,38.397,44,140.644,117,48.94559,54
15061584,42.779,48,119.268,118,56.628,66,31.4316,57,308.949,327,38.855,45,42.986,58,291.479,322,57.732,43,42.147,39,77.384,21,59.38,48,7.335,6,69.999,71,90.347,92,9.16,4,79.414,41,90.712,94,35.196,41,101.919,86,69.907,80,44.131,44,90.808,117,54.66347,54
15061912,42.829,44,118.597,117,56.077,54,55.79169,53,332.261,341,40.976,44,46.652,46,303.505,323,43.417,57,36.539,41,244.407,86,62.697,80,21.944,26,100.81,94,85.895,84,8.712,7,301.543,318,86.787,95,31.932,25,175.229,28,60.036,45,34.317,44,221.856,117,46.6785,54
15061260,46.973,45,116.474,128,60.563,58,31.08839,20,310.636,307,33.732,26,45.186,46,311.283,323,55.121,57,32.104,11,101.391,328,51.186,30,16.586,6,91.915,71,85.128,92,4.829,4,228.666,41,95.829,94,35.697,35,100.665,83,61.738,75,38.397,44,140.644,117,48.78611,54
15062099,44.433,44,116.11,117,59.23,54,26.29613,40,312.884,308,31.244,38,49.154,57,322.151,327,43.864,45,35.43,22,242.054,344,45.98,27,8.519,26,78.955,94,89.115,84,6.755,4,183.876,41,93.103,94,33.39,24,110.519,85,68.635,80,41.912,44,137.642,117,52.16613,54
15061350,44.433,45,118.743,128,58.282,58,33.5619,58,311.424,336,40.855,48,47.991,40,323.211,326,46.446,63,32.406,37,53.046,18,38.412,42,15.666,35,71.178,93,86.382,82,6.59,4,160.154,41,93.934,94,35.886,35,83.237,83,72.163,75,35.71,44,203.989,117,43.72383,54
15060933,47.023,48,117.028,118,59.75,66,42.26939,59,330.368,350,43.505,47,48.513,58,316.91,312,52.112,43,30.563,39,45.268,17,43.699,43,17.341,5,125.585,52,89.066,94,8.932,7,272.462,318,90.026,96,32.693,32,100.247,84,74.907,81,42.491,44,158.489,117,49.79137,54
15061548,46.973,44,115.661,117,60.077,54,31.27741,57,307.219,327,39.46,45,31.587,55,300.98,329,55.772,36,26.684,29,105.005,7,41.298,30,5.427,26,80.856,94,89.956,84,8.124,7,235.477,318,94.845,96,31.706,42,145.493,74,52.907,80,42.573,44,120.017,117,54.29192,54
15061348,44.433,45,117.335,128,57.398,58,25.13468,20,307.046,307,29.392,26,49.059,58,320.842,322,44.815,43,27.163,29,76.339,7,33.553,30,17.405,18,86.487,90,85.377,84,4.298,7,179.484,318,94.445,96,37.203,37,130.693,41,73.366,84,35.52,44,163.608,117,48.40073,54
15061560,44.133,48,116.728,118,57.616,66,28.39677,26,310.632,314,35.348,33,28.117,43,283.773,319,70.535,61,34.369,35,39.162,16,57.908,40,19.718,18,90.737,90,84.622,84,4.525,7,223.013,318,95.755,96,36.215,32,58.119,41,70.761,54,42.83,44,110.874,117,54.23197,54
15061544,46.973,28,115.791,115,60.094,50,27.61683,26,300.604,314,29.711,33,50.255,36,324.924,324,46.178,66,15.456,19,166.348,5,31.301,27,7.368,3,71.059,32,90.914,92,5.213,4,193.571,41,95.515,94,38.228,47,126.494,85,74.705,76,21.3,16,281.211,359,33.47759,28
15061449,41.593,48,117.539,117,57.73,66,30.13252,20,318.558,307,30.979,26,51.442,45,318.995,310,45.382,58,22.017,43,187.454,355,45.67,51,15.626,18,77.693,90,86.668,84,6.727,7,162.007,318,95.098,96,38.431,42,112.44,96,76.723,80,35.262,44,135.567,117,45.31389,54
15062348,46.973,44,114.871,117,62.288,54,53.27312,43,332.261,320,47.192,53,51.634,49,322.644,320,46.475,54,34.129,29,50.326,17,47.531,35,20.386,26,90.856,94,84.804,84,6.094,4,200.458,41,96.135,94,38.118,47,72.952,85,69.99,76,43.178,44,132.605,117,52.03584,54
15061916,44.433,32,117.483,112,57.398,58,25.34907,20,307.046,307,29.392,26,49.059,39,320.842,321,44.815,36,27.163,19,76.339,5,33.553,27,17.405,18,86.487,90,85.377,84,4.298,7,179.484,318,94.445,96,37.203,35,130.693,83,73.366,75,35.52,44,163.608,117,48.41493,54
15062138,46.973,59,116.129,106,60.483,69,29.12153,28,300.604,306,31.699,27,51.048,58,320.067,322,46.893,43,17.39,8,172.179,313,34.897,29,12.034,3,75.275,32,89.053,92,5.213,4,194.99,41,94.14,94,37.551,35,104.194,83,74.534,75,21.037,16,297.249,359,35.32316,28
15061946,44.133,44,117.37,117,59.157,54,30.58989,20,312.994,307,29.83,26,51.004,40,317.187,314,42.725,48,27.957,22,107.339,344,41.847,27,15.662,6,85.589,71,86.412,92,6.009,7,237.992,318,95.598,96,36.67,36,79.455,83,72.414,79,27.816,16,231.327,359,40.4684,28
15061676,44.433,45,117.535,128,57.398,58,25.22816,26,307.046,314,29.392,33,49.059,42,320.842,316,44.815,41,27.163,32,76.339,14,33.553,38,17.405,18,86.487,90,85.377,84,4.298,7,179.484,318,94.445,96,37.203,36,130.693,83,73.366,79,35.52,44,163.608,117,48.35238,54
15060536,47.023,44,114.096,117,60.502,54,32.40502,59,324.662,350,32.752,47,50.956,36,325.309,319,49.109,67,37.378,32,153.605,84,54.596,81,13.934,18,100.81,90,89.504,84,11.254,7,234.559,318,92.387,95,35.326,36,127.309,96,58.131,29,36.777,44,175.406,117,48.22784,54
15061391,46.973,44,117.947,117,59.708,54,34.64661,4,300.604,41,41.508,94,52.289,55,323.928,329,46.856,36,19.85,16,193.142,359,39.965,28,16.218,18,84.249,90,86.735,84,11.421,34,177.38,316,85.765,33,35.444,41,82.798,86,70.08,80,27.17,16,255.283,359,39.68021,28
15061662,41.593,38,117.539,115,57.73,50,30.2245,26,318.558,314,30.979,33,51.442,42,318.995,312,45.382,49,22.017,16,187.454,359,45.67,28,15.626,3,77.693,32,86.668,92,6.727,4,155.823,41,95.098,94,38.431,42,112.44,96,76.723,80,35.262,16,135.567,359,45.49653,28
15061228,44.433,45,117.295,128,58.5,58,35.17322,20,311.796,307,30.104,26,42.467,58,317.371,312,51.597,43,28.129,11,122.015,328,42.438,30,16.907,18,81.422,90,86.923,84,7.965,7,233.318,318,93.006,95,34.924,35,58.932,93,72.38,82,36.325,16,216.123,359,47.21954,28
15061356,41.976,44,119.151,117,56.558,54,35.31129,49,318.651,320,34.107,54,48.657,43,323.678,319,52.672,61,33.247,35,154.888,53,53.215,60,11.139,6,66.809,88,89.225,92,6.117,7,196.806,318,92.321,96,34.264,26,73.317,342,66.834,50,38.44,44,136.132,117,51.30577,54
15061963,46.973,45,117.947,128,59.708,58,35.19835,38,300.604,334,41.508,43,52.289,58,323.928,322,46.856,43,19.85,11,193.142,318,39.965,28,16.218,6,84.249,71,86.735,92,11.421,4,158.855,41,85.765,94,35.444,41,82.798,86,70.08,80,27.17,44,255.283,117,39.78291,54
15061338,46.973,48,116.129,118,60.483,66,29.49368,20,300.604,307,30.432,26,51.048,49,320.067,320,45.953,54,17.39,8,158.964,313,34.897,29,7.666,6,71.059,71,90.365,92,5.213,7,185.315,318,94.14,96,38.588,35,104.194,83,74.91,75,20.851,16,299.423,359,33.75867,28
15062331,41.976,8,119.588,70,56.558,77,34.73567,58,318.651,322,34.107,43,48.657,57,323.678,327,52.672,45,33.247,26,154.888,342,53.215,50,11.139,6,66.809,71,89.225,92,6.117,5,215.259,344,92.321,95,34.264,37,78.884,74,66.834,74,38.44,44,136.132,117,51.13255,54
15062098,46.973,48,114.871,118,62.288,66,52.71877,58,332.261,336,45.463,48,51.634,49,322.644,320,46.475,54,34.129,28,50.326,22,47.531,39,20.386,18,90.856,90,84.804,84,6.094,4,200.458,41,96.135,94,38.118,47,72.952,85,69.99,76,43.178,44,132.605,117,52.01609,54
15062114,44.433,50,114.133,115,58.992,71,27.21579,39,311.424,308,37.208,54,51.503,58,323.795,322,43.202,43,32.177,47,185.931,85,57.698,76,15.82,18,88.836,90,86.264,84,7.474,7,217.729,318,95.105,96,28.151,8,180.984,313,51.927,29,26.723,16,272.557,359,42.20582,28
15062046,42.829,44,118.726,117,56.077,54,56.40003,53,332.261,341,40.976,44,46.652,57,303.505,327,43.417,45,36.539,41,244.407,86,62.697,80,21.944,26,100.81,94,85.895,84,8.712,7,279.545,318,86.787,95,31.932,41,175.229,6,60.036,49,34.317,44,221.856,117,46.61476,54
15062370,44.433,44,120.272,117,58.297,54,33.71059,20,315.141,307,29.676,26,49.318,58,318.947,312,45.312,43,17.512,8,223.293,313,37.957,29,18.547,26,82.96,94,85.928,84,6.299,4,134.694,41,94.989,94,37.647,35,107.107,83,76.688,75,29.569,44,193.49,117,44.03745,54
15061685,46.973,50,118.599,115,62.855,71,26.33139,28,324.559,306,29.13,27,50.731,49,314.753,320,45.533,54,34.838,32,62.711,14,38.249,38,22.301,26,90.856,94,84.404,84,5.35,7,230.385,318,92.229,96,34.377,40,129.521,18,69.84,82,24.015,21,228.777,132,40.49237,49
15061540,46.973,45,115.944,115,61.721,72,33.12262,20,313.66,307,34.538,26,53.482,58,321.531,322,46.258,43,35.16,41,89.549,86,66.508,80,17.62,18,78.118,90,84.799,84,6.461,58,262.402,353,96.212,48,34.424,32,51.692,25,60.621,42,45.442,44,105.948,117,58.06576,54
15061721,44.433,59,116.112,106,59.533,69,40.44746,43,330.953,331,40.028,37,54.368,57,326.582,327,42.757,45,26.709,28,98.855,22,45.583,39,12.897,18,83.563,90,88.849,84,4.54,7,253.734,318,98.353,96,33.778,41,99.569,86,59.305,80,26.722,24,226.441,136,37.56326,54
15062074,44.433,44,118.446,117,59.281,54,24.07447,20,309.822,307,30.741,26,42.408,31,315.695,304,49.307,70,30.012,41,128.877,86,44.116,80,10.905,3,79.88,32,89.27,92,9.942,4,224.001,41,91.378,94,34.825,26,129.407,342,59.051,50,39.993,44,143.671,117,53.03056,54
15062362,44.433,44,117.535,117,57.398,54,24.74962,40,307.046,309,29.392,43,49.059,42,320.842,316,44.815,41,27.163,47,76.339,85,33.553,76,17.405,18,86.487,90,85.377,84,4.298,4,179.484,41,94.445,94,37.203,31,130.693,10,73.366,38,35.52,44,163.608,117,48.32096,54
15061689,46.973,59,117.947,106,59.708,69,34.59668,47,300.604,352,41.508,36,52.289,55,323.928,329,46.856,36,19.85,11,193.142,318,39.965,28,16.218,18,84.249,90,86.735,84,11.421,7,177.38,318,85.765,96,35.444,36,82.798,83,70.08,79,27.17,44,255.283,117,39.69349,54
15061357,44.433,44,120.072,117,58.297,54,33.6092,20,315.141,307,29.676,26,49.318,58,318.947,322,45.312,43,17.512,8,223.293,313,37.957,29,18.547,18,82.96,90,85.928,84,6.299,4,134.694,41,94.989,94,37.647,35,99.448,83,76.688,75,29.569,16,193.49,359,44.18407,28
15061376,46.973,44,114.871,117,62.288,54,52.7217,58,332.261,336,45.463,48,51.634,55,322.644,329,46.475,36,34.129,32,50.326,14,47.531,38,20.386,26,90.856,94,84.804,84,6.094,7,182.383,318,96.135,96,38.118,35,72.952,83,69.99,75,43.178,44,132.605,117,52.07631,54
15061308,46.973,44,117.947,117,59.708,54,34.5775,28,300.604,306,41.508,27,52.289,46,323.928,323,46.856,57,19.85,8,193.142,313,39.965,29,16.218,35,84.249,93,86.735,82,11.421,7,177.38,318,85.765,95,35.444,47,82.798,18,70.08,75,27.17,44,255.283,117,39.71746,54
