SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.C,PriFlor.LCH.C.GEBV,PriFlor.LCH.H,PriFlor.LCH.H.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,PriTuber.LCH.L,PriTuber.LCH.L.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.C,SecBrote.LCH.C.GEBV,SecBrote.LCH.H,SecBrote.LCH.H.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15061605,41.976,48,119.164,118,59.542,66,44.01254,49,320.077,320,42.953,54,53.07,43,295.447,319,52.216,61,39.606,42,158.746,96,62.228,80,12.413,8,69.157,95,88.249,89,6.448,7,240.868,318,96.862,96,34.556,43,130.499,355,55.82,51,40.287,44,128.117,117,53.75624,54
15060087,46.973,28,116.129,115,60.483,50,29.26035,20,300.604,307,30.432,26,51.048,60,320.067,332,45.953,41,17.39,11,158.964,328,34.897,30,7.666,4,71.059,41,90.365,94,5.213,5,185.315,344,94.14,95,38.588,32,104.194,84,74.91,81,20.851,16,299.423,359,33.77907,28
15061619,46.973,38,117.947,132,59.708,53,35.0115,53,300.604,346,41.508,39,52.289,58,323.928,322,46.856,43,19.85,11,193.142,318,39.965,28,16.218,18,84.249,90,86.735,84,11.421,7,177.38,318,85.765,96,35.444,41,82.798,86,70.08,80,27.17,16,255.283,359,39.23333,28
15060090,41.976,48,119.351,118,56.558,66,34.29316,20,318.651,307,34.107,26,48.657,60,323.678,332,52.672,41,33.247,36,154.888,346,53.215,42,11.139,5,66.809,52,89.225,94,6.117,7,196.806,318,92.321,95,34.264,32,73.317,84,66.834,81,38.44,44,136.132,117,51.10433,54
15061731,46.973,48,117.947,118,59.708,66,34.30235,41,300.604,347,41.508,35,52.289,49,323.928,320,46.856,54,19.85,43,193.142,355,39.965,51,16.218,18,84.249,90,86.735,84,11.421,7,177.38,318,85.765,95,35.444,36,82.798,83,70.08,79,27.17,16,255.283,359,39.75929,28
15061655,40.169,48,116.942,118,59.449,66,28.85284,55,310.47,329,46.94,36,31.242,36,322.34,309,57.135,66,34.139,47,101.169,85,65.432,76,9.65,18,89.931,90,87.014,84,9.52,4,210.822,41,89.283,94,34.136,29,89.292,17,55.453,50,47.547,44,143.508,117,53.38203,54
15061661,42.276,38,116.022,132,58.43,53,34.48597,40,318.572,308,40.745,38,50.067,36,318.572,319,46.381,67,28.155,36,162.667,346,43.73,42,8.32,3,72.684,32,90.221,92,5.297,7,272.609,318,95.956,96,33.586,41,109.674,86,70.183,80,42.107,44,121.73,117,54.36233,54
15061499,46.973,59,115.944,106,61.721,69,32.97482,26,313.66,314,34.538,33,53.482,36,321.531,309,46.258,66,35.16,41,89.549,86,66.508,80,17.62,18,78.118,90,84.799,84,6.461,7,262.402,318,96.819,96,34.014,39,51.692,17,60.621,43,45.442,44,105.948,117,58.08783,54
15061647,46.973,44,116.474,117,60.563,54,30.39653,28,310.636,306,33.732,27,45.186,45,311.283,305,55.121,52,32.104,47,101.391,85,51.186,76,19.399,6,91.915,71,84.27,92,4.829,4,228.666,41,95.829,94,35.697,28,100.665,345,61.738,30,38.397,44,140.644,117,48.86575,54
15061612,44.133,44,116.452,117,57.359,54,14.34896,26,303.254,314,34.6,33,46.938,58,321.108,322,47.047,43,28.557,41,68.954,86,60.558,80,10.405,6,74.368,71,86.897,92,8.658,7,254.329,318,92.387,95,32.88,33,219.054,324,53.038,31,27.886,16,243.84,359,32.84625,28
15061742,46.973,32,115.706,111,61.721,63,33.30705,20,313.66,307,34.366,26,53.482,57,321.531,327,46.258,45,35.16,35,73.542,83,66.508,75,17.62,6,78.118,71,84.799,92,6.461,4,262.402,41,96.819,94,34.424,37,55.944,18,60.621,42,45.442,44,105.948,117,58.4104,54
15061710,41.593,59,117.353,106,58.458,69,27.70156,20,310.901,307,30.263,26,47.055,57,318.503,327,48.916,45,17.575,8,233.925,313,40.301,29,31.7,42,112.477,96,83.135,80,6.654,7,264.885,318,95.12,96,36.938,41,76.624,85,72.069,79,26.607,16,243.982,359,39.17782,28
15062372,42.276,44,116.893,117,58.774,54,25.19044,28,318.125,306,30.476,27,47.327,35,332.552,303,54.034,65,28.399,16,207.176,359,42.001,28,18.222,26,86.487,94,86.417,84,5.825,7,240.57,318,95.944,96,32.213,35,98.82,83,71.953,75,33.301,44,123.568,117,48.99899,54
15061583,42.276,44,116.022,117,58.43,54,34.37959,39,318.572,308,40.745,54,50.067,48,318.572,315,46.381,59,28.155,26,162.667,342,43.73,50,9.06,6,72.684,71,90.431,92,5.297,7,272.609,318,95.956,96,33.586,18,109.674,90,70.183,84,42.107,44,121.73,117,54.55249,54
15061767,46.973,59,117.184,106,62.541,69,19.21125,20,309.16,307,31.623,26,40.275,35,307.839,303,51.081,65,21.472,11,237.075,328,38.136,30,18.443,26,85.427,94,85.114,84,8.124,4,201.405,41,95.013,94,31.616,25,111.068,28,67.594,45,42.033,44,157.363,117,53.8842,54
