SAMPLES,GEBVs(BA),ACTUAL
15062362,320.232,316
15061954,321.559,320
15062339,319.408,329
15061482,321.397,332
15062104,320.933,312
15061707,319.898,308
15061567,319.378,326
15061964,105.201,71
15061488,324.593,322
15061438,322.866,323
15061814,326.425,322
15061721,327.923,327
15061601,320.118,316
15061719,105.394,71
15061629,322.972,319
15061477,321.396,312
15061761,101.548,71
15061336,363.95,322
15061386,304.144,309
15061305,340.051,319
15061676,321.173,316
15061523,319.681,322
15061763,319.371,315
15061385,321.771,320
15062133,317.083,322
15061333,319.883,305
15061627,326.056,309
15061731,323.533,320
15061641,328.13,320
15061330,296.775,322
15061626,319.468,321
15062147,316.307,316
15061487,317.744,319
15060536,322.36,319
15061261,310.325,305
15061389,323.992,327
15060101,106.521,95
15061397,321.381,71
15061551,322.489,327
15061539,321.493,322
15062115,317.573,320
15061361,322.516,322
15061669,324.657,328
15062359,320.472,309
15061690,326.64,329
15061308,323.41,323
15062372,271.18,303
15061342,319.659,319
15061281,320.406,332
15061932,321.104,323
15061370,321.903,329
15061630,320.162,318
15061789,318.425,326
15061666,315.514,329
15062143,319.513,312
15061297,320.008,312
15061907,288.471,95
15061538,322.899,319
15062371,326.442,322
15061685,318.072,320
15062081,304.416,308
15061969,318.49,304
15061498,317.985,316
15061271,331.725,312
15062344,333.909,329
15061279,327.482,320
15062144,319.866,320
15061722,327.588,314
15061768,325.255,322
15061557,312.228,315
15061434,319.25,320
15060072,310.472,317
15061405,321.993,310
15062052,323.439,329
15062098,321.693,320
15061916,321.132,321
15061377,310.931,305
15061633,275.405,317
15061702,308.64,327
15061614,315.192,320
15061368,312.016,305
15061520,329.641,322
15060082,316.363,321
15061656,303.049,309
15061331,260.822,320
15061327,308.515,326
15062074,310.534,304
15061300,323.856,322
15061776,322.569,305
15061462,317.299,309
15061302,311.846,324
15061957,315.265,314
15061514,311.11,309
15060909,323.941,319
15062063,320.398,321
15060090,327.029,332
15061301,309.163,322
15061423,318.474,320
15061453,318.653,322
15060215,321.671,327
15062119,319.563,312
15061537,102.369,71
15061667,318.558,310
15062123,318.707,310
15061710,316.017,327
15061258,316.599,320
15061443,322.086,320
15060050,326.268,320
15060110,318.762,329
15062053,318.733,327
15061764,80.094,324
15061799,321.938,327
