SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.C,PriFlor.LCH.C.GEBV,PriFlor.LCH.H,PriFlor.LCH.H.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,PriTuber.LCH.L,PriTuber.LCH.L.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.C,SecBrote.LCH.C.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15061713,46.688,28,116.381,115,60.879,50,28.581,20,310.237,307,32.859,26,43.089,36,311.611,309,58.348,66,30.896,47,127.609,85,49.129,76,20.79,24,92.514,85,84.258,84,6.311,4,95.002,94,35.94,22,102.214,83,60.23563,30,36.67976,44,141.615,117,51.098,54
15061584,44.584,48,118.914,118,57.155,66,31.582,57,312.321,327,36.514,45,43.282,58,335.394,322,56.286,43,34.145,39,74.486,21,52.658,48,7.262,6,73.343,71,91.213,92,6.943,4,89.234,94,33.705,41,80.316,86,79.35425,80,41.4639,44,105.29,117,53.73,54
15061912,42.191,44,118.548,117,55.57,54,46.605,53,323.219,341,41.103,44,44.132,46,325.848,323,41.211,57,33.538,41,253.196,86,59.77,80,22.185,26,97.668,94,85.301,84,10.865,7,88.729,95,30.622,25,150.186,28,64.42222,45,37.73852,44,206.699,117,49.609,54
15061260,46.688,45,116.381,128,60.879,58,29.62,20,310.237,307,32.859,26,43.089,46,311.611,323,58.348,57,30.896,11,127.609,328,49.129,30,20.79,6,92.514,71,84.258,92,6.311,4,95.002,94,35.94,35,102.214,83,60.47311,75,36.55238,44,141.615,117,51.098,54
15062099,45.213,44,116.538,117,59.112,54,29.957,40,323.219,308,33.787,38,45.407,57,325.336,327,41.595,45,36.11,22,212.325,344,45.126,27,9.001,26,77.668,94,89.269,84,6.064,4,95.055,94,33.806,24,135.115,85,68.65504,80,38.27555,44,182.977,117,49.694,54
15061350,43.325,45,117.688,128,58.815,58,45.512,58,307.032,336,42.361,48,48.037,40,322.891,326,43.302,63,35.356,37,68.741,18,35.18,42,15.079,35,74.792,93,86.944,82,6.064,4,93.817,94,34.689,35,83.217,83,69.87171,75,35.841,44,200.914,117,45.617,54
15060933,50.076,48,116.249,118,60.442,66,49.498,59,317.423,350,42.916,47,48.777,58,318.627,312,53.936,43,30.334,39,55.166,17,43.164,43,15.7,5,139.556,52,89.52,94,7.487,7,89.417,96,29.642,32,101.541,84,76.47649,81,41.14096,44,148.964,117,48.988,54
15061548,48.367,44,116.381,117,60.65,54,31.367,57,310.876,327,39.36,45,27.826,55,303.158,329,64.121,36,27.03,29,108.003,7,46.362,30,6.973,26,88.695,94,90.101,84,9.604,7,94.603,96,34.296,42,118.544,74,49.53241,80,43.42451,44,126.892,117,54.035,54
15061348,43.85,45,117.375,128,57.549,58,24.581,20,307.032,307,29.635,26,47.999,58,320.188,322,46.412,43,28.165,29,83.931,7,36.462,30,17.352,18,84.004,90,85.504,84,5.481,7,94.837,96,37.28,37,129.435,41,71.96705,84,36.8899,44,161.248,117,48.75,54
15061560,44.808,48,116.369,118,57.707,66,26.087,26,305.67,314,33.287,33,37.442,43,275.593,319,52.443,61,30.852,35,39.861,16,62.035,40,16.589,18,93.359,90,84.982,84,7.363,7,95.703,96,34.838,32,33.307,41,70.35507,54,46.56348,44,112.421,117,54.126,54
15061544,45.292,28,116.814,115,60.491,50,25.386,26,307.032,314,30.361,33,49.249,36,321.213,324,42.764,66,20.077,19,157.74,5,36.2,27,8.179,3,68.528,32,90.658,92,5.276,4,94.053,94,36.311,47,100.174,85,78.11189,76,20.64653,16,278.301,359,34.6,28
15061449,40.92,48,117.428,117,57.502,66,30.786,20,317.423,307,31.38,26,50.128,45,321.562,310,45.311,58,23.326,43,178.362,355,38.544,51,12.275,18,81.019,90,86.904,84,6.946,7,96.83,96,36.373,42,126.093,96,79.79493,80,33.67327,44,149.98,117,40.956,54
15062348,48.873,44,115.558,117,61.545,54,55.775,43,323.219,320,46.519,53,51.104,49,322.393,320,46.957,54,34.505,29,61.9,17,48.383,35,20.225,26,89.394,94,84.401,84,5.967,4,94.944,94,38.731,47,92.247,85,68.91731,76,42.60222,44,136.543,117,52.832,54
15061916,44.553,32,117.375,112,57.549,58,24.581,20,307.032,307,29.635,26,47.999,39,320.188,321,46.412,36,28.165,19,83.931,5,36.462,27,17.352,18,84.004,90,85.504,84,5.481,7,94.837,96,37.28,35,129.435,83,72.0115,75,37.01855,44,161.248,117,48.75,54
15062138,45.996,59,115.977,106,60.491,69,26.491,28,307.032,306,31.99,27,50.02,58,319.709,322,45.904,43,20.225,8,174.584,313,36.2,29,11.919,3,72.31,32,89.607,92,5.276,4,92.815,94,36.378,35,90.237,83,77.44433,75,20.95078,16,305.545,359,33.469,28
15061946,44.342,44,116.394,117,58.811,54,26.382,20,317.423,307,30.371,26,49.249,40,319.119,314,42.984,48,30.619,22,125.643,344,42.412,27,14.938,6,90.065,71,86.61,92,7.04,7,97.34,96,35.927,36,86.813,83,71.3856,79,31.62415,16,223.967,359,39.036,28
15061676,43.85,45,117.375,128,57.549,58,24.581,26,307.032,314,29.635,33,47.999,42,320.188,316,46.412,41,28.165,32,83.931,14,36.462,38,17.352,18,84.004,90,85.504,84,5.481,7,94.837,96,37.28,36,129.435,83,71.87274,79,36.84203,44,161.248,117,48.75,54
15060536,48.096,44,115.268,117,61.583,54,32.048,59,317.423,350,32.4,47,38.262,36,322.116,319,52.235,67,30.36,32,123.19,84,52.972,81,16.024,18,97.103,90,88.803,84,7.853,7,92.428,95,33.16,36,134.202,96,62.32688,29,35.80096,44,175.889,117,46.003,54
15061391,45.534,44,118.914,117,59.904,54,33.892,4,307.032,41,42.022,94,51.914,55,323.884,329,47.575,36,20.43,16,176.437,359,40.136,28,15.572,18,86.163,90,86.643,84,13.147,34,86.279,33,34.89,41,84.772,86,69.56507,80,28.9659,16,247.057,359,39.697,28
15061662,40.92,38,117.428,115,57.502,50,30.786,26,317.423,314,31.38,33,50.128,42,321.562,312,45.311,49,23.326,16,178.362,359,38.544,28,12.275,3,81.019,32,86.904,92,6.946,4,96.83,94,36.373,42,126.093,96,79.54092,80,33.65537,16,149.98,359,40.956,28
15061228,43.355,45,116.852,128,58.276,58,34.676,20,313.148,307,31.104,26,49.519,58,320.151,312,42.976,43,30.239,11,123.953,328,37.655,30,15.441,18,83.712,90,86.654,84,7.404,7,93.142,95,35.633,35,58.185,93,72.64014,82,36.01649,16,191.051,359,48.01,28
15061356,40.953,44,117.058,117,56.126,54,34.954,49,318.245,320,33.749,54,48.956,43,323.72,319,52.005,61,31.032,35,164.828,53,52.065,60,10.796,6,73.47,88,89.16,92,5.63,7,93.361,96,33.925,26,75.618,342,66.0825,50,39.22115,44,151.999,117,51.396,54
15061963,45.534,45,118.914,128,59.904,58,33.853,38,307.032,334,42.022,43,51.914,58,323.884,322,47.575,43,20.43,11,176.437,318,40.136,28,15.572,6,86.163,71,86.643,92,13.147,4,86.279,94,34.89,41,84.772,86,69.72512,80,28.82758,44,247.057,117,39.697,54
15061338,45.996,48,115.977,118,60.491,66,26.491,20,307.032,307,31.99,26,50.02,49,319.709,320,45.576,54,20.225,8,152.17,313,36.2,29,7.365,6,68.528,71,90.658,92,5.276,7,92.815,96,36.378,35,90.237,83,77.29043,75,20.95746,16,305.545,359,33.469,28
15062331,40.953,8,117.058,70,56.126,77,35.319,58,318.245,322,33.749,43,48.956,57,323.72,327,52.005,45,31.032,26,164.828,342,52.065,50,10.796,6,73.47,71,89.16,92,5.63,5,93.361,95,33.925,37,39.663,74,65.73096,74,39.47508,44,151.999,117,51.396,54
15062098,48.873,48,115.558,118,61.545,66,53.079,58,323.219,336,45.296,48,51.104,49,322.393,320,46.957,54,34.505,28,61.9,22,48.383,39,20.225,18,89.394,90,84.401,84,5.967,4,94.944,94,38.731,47,92.247,85,69.06987,76,42.66992,44,136.543,117,52.832,54
15062114,42.89,50,114.995,115,58.296,71,30.41,39,307.032,308,36.717,54,51.596,58,319.857,322,43.388,43,32.772,47,187.081,85,53.302,76,15.804,18,91.141,90,85.95,84,7.487,7,91.63,96,31.286,8,128.197,313,48.99904,29,25.30915,16,274.042,359,39.9,28
15062046,42.191,44,118.953,117,55.57,54,47.953,53,323.219,341,41.103,44,44.132,57,325.848,327,41.211,45,33.538,41,253.196,86,59.77,80,22.185,26,94.76,94,85.301,84,10.865,7,88.729,95,30.622,41,150.186,6,64.09824,49,37.90054,44,206.699,117,49.609,54
15062370,43.82,44,119.529,117,58.208,54,29.571,20,313.148,307,31.793,26,48.66,58,316.909,312,45.012,43,21.328,8,249.221,313,49.129,29,17.842,26,82.775,94,86.563,84,6.781,4,93.352,94,36.834,35,119.456,83,77.56835,75,27.31124,44,190.583,117,44.463,54
15061685,48.411,50,117.88,115,61.545,71,24.895,28,323.219,306,29.276,27,50.188,49,315.444,320,45.94,54,35.747,32,99.934,14,41.515,38,22.671,26,90.533,94,84.466,84,5.89,7,92.114,96,35.217,40,98.31,18,62.02683,82,26.94919,21,225.719,132,40.07,49
15061540,47.649,45,115.977,115,61.545,72,31.015,20,312.771,307,31.476,26,52.714,58,321.483,322,41.595,43,30.471,41,87.511,86,66.157,80,17.424,18,74.303,90,85.955,84,6.311,58,94.701,48,33.867,32,40.457,25,65.20222,42,44.89935,44,97.356,117,55.24,54
15061721,44.345,59,115.268,106,59.785,69,43.758,43,318.662,331,39.893,37,56.087,57,324.869,327,43.587,45,27.662,28,57.719,22,49.48,39,13.724,18,84.206,90,88.611,84,6.41,7,99.226,96,34.771,41,86.991,86,61.86214,80,31.17216,24,200.816,136,39.048,54
15062074,44.238,44,119.394,117,59.151,54,22.734,20,310.237,307,29.635,26,43.159,31,314.532,304,57.933,70,26.644,41,147.134,86,41.065,80,12.726,3,79.598,32,88.335,92,10.015,4,91.662,94,34.877,26,151.016,342,57.17055,50,38.90569,44,162.79,117,51.186,54
15062362,44.553,44,117.375,117,57.549,54,24.581,40,307.032,309,29.635,43,47.999,42,320.188,316,46.412,41,28.165,47,83.931,85,36.462,76,17.352,18,84.004,90,85.504,84,5.481,4,94.837,94,37.28,31,129.435,10,72.02241,38,36.711,44,161.248,117,48.75,54
15061689,45.534,59,118.914,106,59.904,69,33.892,47,307.032,352,42.022,36,51.914,55,323.884,329,47.575,36,20.43,11,176.437,318,40.136,28,15.572,18,86.163,90,86.643,84,13.147,7,86.279,96,34.89,36,84.772,83,69.88933,79,29.06114,44,247.057,117,39.697,54
15061357,43.82,44,119.529,117,58.208,54,29.571,20,313.148,307,31.793,26,48.66,58,316.909,322,45.012,43,21.328,8,249.221,313,49.129,29,17.842,18,82.775,90,86.563,84,6.781,4,93.352,94,36.834,35,119.456,83,77.81544,75,27.34871,16,190.583,359,44.463,28
15061376,48.873,44,115.558,117,61.545,54,53.079,58,323.219,336,45.296,48,51.104,55,322.393,329,46.957,36,34.505,32,61.9,14,48.383,38,20.225,26,89.394,94,84.401,84,5.967,7,94.944,96,38.731,35,92.247,83,68.78829,75,42.64684,44,136.543,117,52.832,54
15061308,45.534,44,118.914,117,59.904,54,33.892,28,307.032,306,42.022,27,51.914,46,323.884,323,47.575,57,20.43,8,176.437,313,40.136,29,15.572,35,86.163,93,86.643,82,13.147,7,86.279,95,34.89,47,84.772,18,69.88579,75,28.94732,44,247.057,117,39.697,54
