SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.C,PriFlor.LCH.C.GEBV,PriFlor.LCH.H,PriFlor.LCH.H.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,PriTuber.LCH.L,PriTuber.LCH.L.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.C,SecBrote.LCH.C.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15060087,45.996,28,115.977,115,60.491,50,26.491,20,307.032,307,31.99,26,50.02,60,319.709,332,45.576,41,20.225,11,152.17,328,36.2,30,7.365,4,68.528,41,90.658,94,5.276,5,92.815,95,36.378,32,90.237,84,77.50565,81,21.02151,16,305.545,359,33.469,28
15061619,45.534,38,118.914,132,59.904,53,33.853,53,307.032,346,42.022,39,51.914,58,323.884,322,47.575,43,20.43,11,176.437,318,40.136,28,15.572,18,86.163,90,86.643,84,13.147,7,86.279,96,34.89,41,84.772,86,69.83947,80,28.84788,16,247.057,359,39.697,28
15060090,40.953,48,117.058,118,56.126,66,34.954,20,318.245,307,33.749,26,48.956,60,323.72,332,52.005,41,31.032,36,164.828,346,52.065,42,10.796,5,73.47,52,89.16,94,5.63,7,93.361,95,33.925,32,75.618,84,65.80587,81,39.15496,44,151.999,117,51.396,54
15061731,45.534,48,118.914,118,59.904,66,33.892,41,307.032,347,42.022,35,51.914,49,323.884,320,47.575,54,20.43,43,176.437,355,40.136,51,15.572,18,86.163,90,86.643,84,13.147,7,86.279,95,34.89,36,84.772,83,69.98476,79,29.11934,16,247.057,359,39.697,28
15061655,42.781,48,117.33,118,58.127,66,29.271,55,312.248,329,47.341,36,39.647,36,321.87,309,63.942,66,24.674,47,79.919,85,62.901,76,10.425,18,96.236,90,87.341,84,8.103,4,88.591,94,34.227,29,104.953,17,54.7861,50,42.86076,44,150.969,117,53.576,54
15061661,43.516,38,116.538,132,58.196,53,36.081,40,319.001,308,40.924,38,48.431,36,319.182,319,46.347,67,30.62,36,161.086,346,45.014,42,9.075,3,70.297,32,89.782,92,5.76,7,96.472,96,33.492,41,116.888,86,67.50866,80,42.43158,44,110.654,117,54.336,54
15061499,47.649,59,115.977,106,61.545,69,31.015,26,312.771,314,31.476,33,52.714,36,321.483,309,41.595,66,30.471,41,87.511,86,66.157,80,17.424,18,74.303,90,85.955,84,6.311,7,94.715,96,33.601,39,40.457,17,65.02077,43,44.69863,44,97.356,117,55.24,54
15061647,46.688,44,116.381,117,60.879,54,28.581,28,310.237,306,32.859,27,43.089,45,311.611,305,58.348,52,30.896,47,127.609,85,49.129,76,20.79,6,92.514,71,84.258,92,6.311,4,95.002,94,35.94,28,102.214,345,60.45755,30,36.75951,44,141.615,117,51.098,54
15061612,41.99,44,116.538,117,56.893,54,28.796,26,303.293,314,36.461,33,46.41,58,320.105,322,48.465,43,29.412,41,69.668,86,56.072,80,10.004,6,77.96,71,87.822,92,7.297,7,90.334,95,33.176,33,155.754,324,51.6365,31,20.7338,16,241.697,359,41.437,28
15061742,47.649,32,115.977,111,61.545,63,31.015,20,312.771,307,31.476,26,52.714,57,321.483,327,41.595,45,30.471,35,87.511,83,66.157,75,17.424,6,74.303,71,85.955,92,6.311,4,94.715,94,33.867,37,50.305,18,65.04907,42,44.84595,44,97.356,117,55.24,54
15061710,41.944,59,117.621,106,57.114,69,23.477,20,317.423,307,29.681,26,45.374,57,318.348,327,49.521,45,20.487,8,251.036,313,43.178,29,29.943,42,107.475,96,83.305,80,5.89,7,96.817,96,36.373,41,100.882,85,76.77557,79,29.19096,16,243.863,359,39.73,28
15062372,43.114,44,115.975,117,57.549,54,31.922,28,323.825,306,31.647,27,32.293,35,314.559,303,67.875,65,20.004,16,203.011,359,43.82,28,17.305,26,84.39,94,87.093,84,6.361,7,95.109,96,34.885,35,100.823,83,76.65237,75,35.30754,44,139.381,117,47.724,54
15061583,43.516,44,116.538,117,58.196,54,36.081,39,319.001,308,40.924,54,48.431,48,319.182,315,46.347,59,30.62,26,161.086,342,45.014,50,9.346,6,70.297,71,90.427,92,5.76,7,96.472,96,33.492,18,116.888,90,67.63849,84,42.23276,44,110.654,117,54.336,54
15061767,47.96,59,116.394,106,62.172,69,21.734,20,311.933,307,34.03,26,37.363,35,310.002,303,53.25,65,18.551,11,232.531,328,41.065,30,18.758,26,81.542,94,85.395,84,8.471,4,93.615,94,34.284,25,114.376,28,68.3906,45,39.91269,44,163.846,117,52.902,54
