"nMarkers","HCLTraits","Traits","HCLs","Models","Means"
25,"CPFlor.L","CPFlor","L","RKHS",0.543111111111111
25,"CPTuber.C","CPTuber","C","RKHS",0.425444444444444
25,"CPTuber.H","CPTuber","H","RKHS",0.374444444444444
25,"CPTuber.L","CPTuber","L","RKHS",0.345111111111111
25,"CPulpa.C","CPulpa","C","RKHS",0.456
25,"CPulpa.H","CPulpa","H","RKHS",0.313888888888889
25,"CPulpa.L","CPulpa","L","RKHS",0.457444444444444
25,"CSBrote.C","CSBrote","C","RKHS",0.115222222222222
25,"CSBrote.H","CSBrote","H","RKHS",0.129555555555556
25,"CSBrote.L","CSBrote","L","RKHS",0.278555555555556
25,"CSPulpa.C","CSPulpa","C","RKHS",0.177777777777778
25,"CSPulpa.H","CSPulpa","H","BRR",0.0286666666666667
25,"CSPulpa.L","CSPulpa","L","RKHS",0.225888888888889
25,"CSTuber.C","CSTuber","C","RKHS",0.209444444444444
25,"CSTuber.H","CSTuber","H","RKHS",0.0908888888888889
25,"CSTuber.L","CSTuber","L","RKHS",0.312333333333333
25,"CTallo.C","CTallo","C","RKHS",0.615444444444444
25,"CTallo.H","CTallo","H","RKHS",0.419333333333333
25,"CTallo.L","CTallo","L","RKHS",0.661555555555556
50,"CBaya.C","CBaya","C","BRR",0.174
50,"CBaya.H","CBaya","H","RKHS",0.154777777777778
50,"CBaya.L","CBaya","L","BL",0.162444444444444
50,"CPBrote.C","CPBrote","C","RKHS",0.555444444444444
50,"CPBrote.H","CPBrote","H","RKHS",0.281777777777778
50,"CPBrote.L","CPBrote","L","RKHS",0.437666666666667
50,"CPFlor.C","CPFlor","C","RKHS",0.578333333333333
50,"CPFlor.H","CPFlor","H","RKHS",0.815555555555556
50,"CPFlor.L","CPFlor","L","RKHS",0.601333333333333
50,"CPTuber.C","CPTuber","C","RKHS",0.420666666666667
50,"CPTuber.H","CPTuber","H","RKHS",0.395444444444444
50,"CPTuber.L","CPTuber","L","RKHS",0.389
50,"CPulpa.C","CPulpa","C","RKHS",0.438666666666667
50,"CPulpa.H","CPulpa","H","RKHS",0.322
50,"CPulpa.L","CPulpa","L","RKHS",0.453555555555556
50,"CSBrote.C","CSBrote","C","RKHS",0.247444444444444
50,"CSBrote.H","CSBrote","H","RKHS",0.172
50,"CSBrote.L","CSBrote","L","RKHS",0.290888888888889
50,"CSPulpa.C","CSPulpa","C","RKHS",0.202888888888889
50,"CSPulpa.H","CSPulpa","H","BA",0.1
50,"CSPulpa.L","CSPulpa","L","RKHS",0.222888888888889
50,"CSTuber.C","CSTuber","C","BA",0.235555555555556
50,"CSTuber.H","CSTuber","H","BRR",0.12
50,"CSTuber.L","CSTuber","L","RKHS",0.281222222222222
