,PREDICTED,ACTUAL
15061769,32.797,34
15061771,12.203,11
15061772,11.066,8
15061773,30.199,29
15061777,23.068,19
15061778,11.778,11
15061784,12.016,8
15061785,33.799,35
15061788,14.799,16
15061790,30.344,35
15061795,9.793,11
15061797,12.782,35
15061798,29.142,28
15061800,40.798,42
15061801,30.2,29
15061808,33.198,32
15061811,35.417,16
15061813,40.797,42
15061815,29.2,28
15061826,27.801,29
15061905,29.204,28
15061906,9.205,8
15061908,28.797,29
15061909,12.206,11
15061910,27.199,26
15061911,40.734,41
15061912,39.792,41
15061915,41.132,47
15061917,31.177,29
15061918,27.207,26
15061926,25.267,16
15061927,9.204,8
15061928,12.208,11
15061929,31.373,35
15061930,27.21,26
15061933,26.252,16
15061934,30.988,41
15061935,38.21,37
15061937,28.837,16
15061939,15.651,42
15061941,43.574,35
15061942,27.664,46
15061944,40.798,42
15061945,33.792,35
15061946,25.749,22
15061948,27.423,56
15061949,12.476,8
15061951,35.496,37
15061952,27.7,28
15061953,14.794,16
15061958,45.794,47
15061960,9.199,8
15061961,13.578,19
15061962,36.843,35
15061963,12.204,11
15061965,34.797,36
15061966,9.199,8
15061967,20.2,19
15061968,26.54,19
15062036,27.207,26
15062038,30.557,28
15062039,30.096,30
15062046,39.792,41
15062050,34.607,35
15062051,34.791,35
15062067,40.792,42
15062069,11.516,11
15062071,30.795,32
15062080,45.796,47
15062092,27.643,29
15062094,10.484,8
15062097,33.978,28
15062099,33.572,22
15062100,40.795,42
15062101,37.568,37
15062102,34.798,36
15062103,45.803,47
15062105,14.338,16
15062106,12.204,11
15062107,27.199,26
15062108,11.785,8
15062109,30.643,28
15062111,29.728,33
15062112,15.236,42
15062114,43.448,47
15062117,33.199,32
15062118,33.803,32
15062122,9.204,8
15062124,12.203,11
15062126,12.2,11
15062130,35.593,35
15062136,30.202,29
15062137,14.798,16
15062138,9.2,8
15062139,30.205,29
15062142,39.798,41
15062145,12.205,11
15062146,15.456,42
15062149,30.206,29
15062150,12.209,11
15062151,40.797,42
15062152,12.203,11
15062153,13.846,32
15062331,27.204,26
15062332,34.002,36
15062333,17.592,16
15062334,30.832,32
15062335,34.456,35
15062337,33.793,35
15062338,31.941,37
15062346,40.797,42
15062347,14.951,16
15062348,33.001,29
15062349,10.826,11
15062350,14.796,16
15062351,23.205,22
15062353,44.873,47
15062354,33.813,35
15062356,9.7,8
15062357,14.793,16
15062358,12.206,11
15062360,37.702,41
15062361,29.372,29
15062363,29.205,28
15062366,26.798,28
15062367,37.042,35
15062368,34.502,28
15062369,29.207,28
15062370,9.201,8
