"Registro","CTallo","CPFlor","CBaya","CPTuber","CSTuber","CPulpa","CSPulpa","CPBrote","CSBrote"
"15061522","N77A","N82A","144B","162A","183C","155A",NA,"N92C",NA
"15061523","N77A","N82A","145A","N186C","160A","155A","79A","N92C","NN155A"
"15061524","N77A","N82C","143C","N187A","187D","155A",NA,"N92D",NA
"15061525","144A","83A","145A","N77B","160A","155A",NA,"90C","NN155D"
"15061526","N77A","90C","144A","187A","161A","160C",NA,"92C",NA
"15061527","N77A","N87C","146B","187A",NA,"160D",NA,"N88B","NN155B"
"15061528","200A","N82A","144B","183C","N186C","160D",NA,"N92C",NA
"15061529","144A","155A","144B","N187A",NA,"160D","83A","N92D","NN155D"
"15061530","144A","83B","144B","N186C","164C","155A",NA,"94B","NN155A"
"15061533","144A","N89A","143A","N77A","162B","155A",NA,"N92D","NN155D"
"15061534","144A","N82B","146B","N186B",NA,"160A","86A","90A",NA
"15061535","N77A","N87B","144A","183A","162B","160D",NA,"N92C","NN155D"
"15061536","N77A","N81A","N144A","N186A","162B","155A","N79A","N92C","NN155D"
"15061537","144A","155A","144C","182B","163D","160C",NA,"90D","NN155A"
"15062126","N77A","86C","N144A","N187A","161B","160D","N79A","N92C","NN155D"
"15061538","N77A","83C","N144","N187A","162A","155A","N79A","90D","NN155A"
"15061539","144A","N82A","144A","161A","N79A","160D","N79B","90B","NN155D"
"15061540","144A","N82A","145A","162B","178B","160D",NA,"N92C",NA
"15061542","144A","N81C","146B","187A","162B","160D",NA,"N87B","NN155C"
"15061543","144A","N81B","144B","183C","162B","160D",NA,"N92D","NN155A"
"15061544","N77A","N81D","146B","187A","162A","155C","N79A","N92D","NN155A"
"15061546","N77A","N81B","144A","N186A","162B","155A","N79A","N92D","NN155D"
"15061548","144A","N81A","144A","187B",NA,"160C",NA,"N81B","NN155D"
"15061549","137C","N81A","143A","N187A","162C","160D","N81A","N92C","NN155A"
"15061550","N77A","N87D","144A","187A","160A","160C",NA,"N92D","NN155D"
"15061551","144A","N81B",NA,"162B","182B","155A",NA,"N78B","NN155A"
"15061552","144A","N81D","144A","183B",NA,"160C",NA,"N78A","NN155D"
"15061553","144A","92C","144A","184B",NA,"160D",NA,"N92D","NN155D"
"15061554","137A","N82C","144A","164C","N77B","160B",NA,"86B","NN155D"
"15061555","137A","92B","144A","181B","160B","160D",NA,"N92C","NN155D"
"15061556","144A","N82A","144A","160A","181D","155A",NA,"N87C","NN155A"
"15061956","N77A","N82C","144A","183A",NA,"160C",NA,"N92D","NN155A"
"15061957","144A","N87D","146B","183C",NA,"155A",NA,"N82A","NN155D"
"15061557","144A","N87C","146B","184A","160A","160D",NA,"N92C",NA
"15061560","144A","N82C","144B","184A","174B","160D",NA,"N92D","NN155D"
"15061561","144A","N82A","144A","160A","N77B","160D",NA,"75A","NN155A"
"15061563","144A","N88B","144A","162A","187A","160D",NA,"N92C","NN155A"
"15061564","144A","N82C","143A","168A","160A","155A",NA,"N81A","NN155A"
"15061565","137A","N82B","146A","184A","161C","160C",NA,"N78B","NN155D"
"15061566","N77A","N87B","146B","N186A","160A","155A","N79A","N92D","NN155A"
"15061567","144A","N80C","144B","162A","176B","160C",NA,"N78A","NN155A"
"15061568","144A","N82A","144A","160A","181A","160D",NA,"N82B","NN155A"
"15061571","144A","N82C","N144A","184B","165D","155A",NA,"N81B","NN155D"
"15061958","144A","N82D","145B","162A","182A","160D",NA,"N78B","NN155A"
"15061575","137C","86B","144B","185B",NA,"160D",NA,"N92C",NA
"15062130","144A","83D","N144A","184A","161A","155A",NA,"71A","NN155D"
"15061576","137C","N87D","144A","160B","N77B","160D",NA,"N92D","NN155A"
"15061577","144A","N82A","144A","N187A","162A","160C","79C","N92C","NN155A"
"15061578","200A","N82C","144A","N186C","161B","155A",NA,"N81A","NN155A"
"15061579","N77A","N82A","145A","N186C","160A","155A","N79A","N92D","NN155A"
"15062356","137A","N87C","143C","N186A",NA,"160C","N79A","N92C","NN155D"
"15061580","137A","91A","144B","187A","160A","160D",NA,"N92C","NN155A"
"15061583","144A","N87C","144A","N77D","160D","155A",NA,"90D","NN155D"
"15061584","144A","N82A","144B","181B","162B","155A",NA,"N81B","NN155A"
"15061585","137C","N81D",NA,"N77A","162D","155C",NA,"N92D","NN155A"
"15061586","144A","N82D","144B","160A","181C","155C",NA,"N74A","NN155B"
"15061588","137A","83C","144A","183B","161B","160D",NA,"N92C","NN155A"
"15062133","200A","N82A","144A","183B",NA,"155A",NA,"N92C",NA
"15061600","144A","N80C","144A","183B","162C","160D",NA,"N82C","NN155D"
"15061601","N77A","86A","146A","157B","186B","160C",NA,"N92C","NN155D"
"15061602","144A","N88D","143A","184A",NA,"160C",NA,"86A","NN155D"
"15061603","200A","83C","144B","N186A","160A","155C","N79A","N92B","NN155D"
"15061604","144A","90C","143B","187C",NA,"160D",NA,"71B",NA
"15061605","144A","N82C","144B","160A","186B","157B",NA,"N82B","NN155D"
"15061608","144A","N78C","143A","160C","186A","160C",NA,"83A","NN155A"
"15061609","200A","N82A","144A","187A","160A","155A","79A","N92C","NN155D"
"15061610","137A","83B","144B","N77A","160A","155A",NA,"N92C","NN155A"
"15061612","N77A","N82A","144A","162B","83A","155A",NA,"N92D","NN155C"
"15061613","144A","N82B","143B","183D","161D","NN155A",NA,"N92D","NN155D"
"15061960","200A","92A","144A","N186A",NA,"160D",NA,"N92C","NN155A"
"15061614","144A","N82B","144A","178A","163D","155A",NA,"83A","NN155D"
"15061961","200A","83C","N144A","187A","162B","155A","N79A","N92C","NN155D"
"15062136","200A","N81A","N145A","187B",NA,"160B",NA,"N92D","72A"
"15062137","200A","N82A","144A","N186C","162B","155A","N79B","N81A","NN155A"
"15061619","N77A","N82A","143A","N186B","162B","160D","N77B","72A","NN155D"
"15061621","144A","N78A","N144A","183C",NA,"160C",NA,"77A","NN155A"
"15061622","144A","92A","144A","162A","N77A","160D",NA,"N92C","NN155D"
"15061623","144A","90A","144B","178B","160A","155A",NA,"N92C","NN155D"
"15061624","200A","90A","144A","182A","160A","155A",NA,"N81A","NN155A"
"15062138","N77A","N82A","N144A","N186A","161A","155C","N79A","N92B","NN155A"
"15061626","N77A","83B","144A","N186A","160A","155A","N79A","N92C","NN155D"
"15061627","144A","N88D","N144B","174C","N79B","155A",NA,"N82B","NN155D"
"15061628","144A","155A","N144A","161B","79B","160D",NA,"90A","NN155D"
"15061629","N77A","N82C","N144B","162B","178A","155A",NA,"N92C","NN155D"
"15061630","N77A","N87A","143C","N186B",NA,"160A","N79A","N92C","NN155D"
"15061631","N77A","N82A","144B","N186B","162A","155A","N79A","N92B","NN155A"
"15061632","144A","N82A","144A","183B",NA,"155A",NA,"71B","NN155D"
"15062139","144A","83C","144A","187B","162A","155A",NA,"N78B",NA
"15061633","N77A","N87B","144A","161B","161B","155A","N79B","90B","NN155A"
"15061962","144A","N82B","144A","161A","182B","155A",NA,"N80B","NN155A"
"15061637","143A","N82A","N144A","161A","183D","160D",NA,"N92C","NN155D"
"15061638","144A","90D","144A","161A","183D","160C",NA,"N92D","NN155D"
"15061639","137C","N82C","144A","N79B","160D","155A",NA,"N82A","NN155D"
"15061640","N77A","90A","144A","N186A","162C","160D",NA,"N92C","NN155D"
"15061641","144A","N82B","144A","N79B","160B","155B",NA,"N87C","NN155D"
"15061642","144A","N82B","144A","176B","N77B","160D",NA,"N92C","NN155A"
"15061645","200A","N82B","N144A","N186A","162B","160D",NA,"N92B","NN155D"
"15061963","200A","N82A","143B","N186B","162B","155A",NA,"N79D",NA
"15061646","144A","155A","144A","182B","161C","160C",NA,"N92C","NN155D"
"15061647","144A","92A","144A","162A","N79B","155A",NA,"N92B","NN155A"
"15061648","143A","N82A","144B","N186B","164C","160D",NA,"N92C",NA
"15061649","144A","90D","143B","N79B","161A","160D",NA,"N92D","NN155D"
"15061650","144A","92A","144B","160A",NA,"160B",NA,"N92D","NN155A"
"15061651","143B","N82A","N144A","N79B","161A","155A",NA,"N92D","NN155A"
"15061653","144A","N80B","144A","161A","182A","160C",NA,"N78B","NN155D"
"15061654","144A","N82A","144A","N77D","165D","155A",NA,"N92D","NN155A"
"15061655","144A","N88D","144B","162A",NA,"160D",NA,"N81A","NN155A"
"15061656","143A","N88D","143B","N77B","161C","155A",NA,"86B","NN155B"
"15061658","143A","N87C","144A","N77B","162C","155A",NA,"N92D","NN155D"
"15061659","137C","N82A","144A","N77B","162B","155A",NA,"83C","NN155D"
"15061661","144A","N82D","143A","N77B","162B","155C",NA,"90A","NN155D"
"15061662","N77A","90C",NA,"N77A","160A","155C",NA,"N92D","NN155A"
"15062357","N77A","N82A","144B","N186C","162B","155C","N79A","N92C","NN155A"
"15062142","144A","N82A","N144A","162B","182A","155A",NA,"N81B","NN155A"
"15061665","144A","N82A","144A","164C","182A","160D",NA,"N81C",NA
"15061666","N77A","N81A","144B","161B","N186B","155A",NA,"86A","NN155A"
"15061668","144A","N87B","N144A","161A","183C","160D",NA,"N78A","NN155D"
"15062143","N77A","N88B","144A","183C",NA,"160D",NA,"N92C","NN155A"
"15061667","N77A","N88C","143C","178A",NA,"160D",NA,"N92C",NA
"15061669","144A","N80B","146C","162A","181A","155A",NA,"N78B","NN155D"
"15061670","144A","N81A","143A","183C",NA,"155A",NA,"N81A","NN155A"
"15061671","144A","N80B","144A","183A",NA,"160C",NA,"N78A","NN155D"
"15061673","N77A","N82B","146B","187D",NA,"155A",NA,"N81B","NN155D"
"15061676","144A","86B","143B","183C","161B","160D",NA,"N92D","NN155D"
"15061677","200A","N80B","144A","N187A","161B","155A","N77B","N92D","NN155D"
"15061678","200A","N81A","N144A","N187A","161A","160D",NA,"N92D",NA
"15061679","N77A","N81A","N144B","183B",NA,"160D",NA,"N92C",NA
"15061680","137C","N81A","144B","183A","160C","155A",NA,"N81A","NN155B"
"15061682","137C","91A","144C","161A","184B","160D",NA,"N92C","NN155A"
"15061683","N77A","N82A","N144C","184A",NA,"155A",NA,"N92D","NN155D"
"15061684","144A","N87D","146B","178A","174C","155A",NA,"N92B","NN155D"
"15061685","137C","N82B","144C","183C",NA,"160C",NA,"N92B","NN155D"
"15061686","137C","N81A","N144A","N186C","161A","160D",NA,"N92C","NN155A"
"15061687","144A","N82A","144A","N186A","182B","155A","N77B","90A","NN155D"
"15061702","200A",NA,"146B","186A","161B","160D",NA,"N92B","NN155D"
"15061688","144A","N82A","144A","187A","161A","160D",NA,"93A","NN155C"
"15062144","N77A","N82B","143B","N186C","160A","160D","N77B","93A","NN155D"
"15061689","200A","N81A","N144A","N186B","161B","160D","N77B","71A","NN155D"
"15061690","200A","N81A","144A","N186A","161B","160D","N77B","N92D","NN155A"
"15062145","N77A","N82A","144A","N186B","161A","160D",NA,"N92B","NN155D"
"15061704","144A","97A","N144B","187A","162A","155A","N77B","N92B","NN155A"
"15061705","143A","N82A","144B","165C","N186A","160D",NA,"N92C",NA
"15061706","144A","155A","144A","160C",NA,"160D",NA,"N87B","NN155D"
"15061707","N77A","90A","144A","186B",NA,"160D",NA,"N92D","NN155D"
"15062146","N77A","90B","145A","186A",NA,"160B","N79A","N92C","NN155D"
"15061709","144A","N81A","N144A","162A","181A","155A",NA,"71A","NN155B"
"15061710","N77A","N81B","N144A","N186A",NA,"160A","N79B","N92C","NN155D"
"15061712","144A","N82A","144A","N186B","160A","160D",NA,"N92D","NN155A"
"15062369","N77A","N88B","144A","183A",NA,"160D",NA,"N78B","NN155D"
"15061713","144A","N88D","146B","162A","N799B","162D",NA,"N92C","NN155A"
"15061714","N77A","86B","144A","157C",NA,"155A",NA,"72A","NN155D"
"15062147","144A","86A","N144A","181A",NA,"155A",NA,"72A","NN155D"
"15061717","N77A","92A","144A","N77A","177C","160D",NA,"N92B","NN155A"
"15061718","137C","91A",NA,"N186B","161B","155A",NA,"88A","NN155D"
"15061964","144A","155A","144A","182B","162B","160D",NA,"N92C","NN155A"
"15061719","144A","155A","145A","183D","165D","160C",NA,"N92B","NN155D"
"15061720","137A","86B","143B","183C",NA,"160D",NA,"72B","NN155D"
"15062358","N77A","N82A","143B","N186B","162A","160D",NA,"N81A","NN155A"
"15061721","137D","N81B","N144A","178A",NA,"160D",NA,"77A","NN155D"
"15061722","144A","86C","N144A","187A","162C","155A","77A","N81B","NN155A"
"15061723","N77A","N82A","144B","184A","161B","160D",NA,"72B","NN155D"
"15061724","N77A","N82A","N144A","164D","N77D","160D",NA,"90C","NN155D"
"15062149","N77A","N82A","143A","183B",NA,"160D",NA,"72B","NN155D"
"15061725","N77A","N82A","144A","187C",NA,"155A",NA,"N78A","NN155D"
"15061726","N77A","N82A","144A","187C",NA,"160C",NA,"71B","NN155A"
"15061729","N77A","92A","144A","187B","161B","160D",NA,"N87B","NN155D"
"15061730","N77A","92A","146B","187A","162B","160D",NA,"83C","NN155D"
"15061731","N77A","N82B","144B","186B","161B","160D",NA,"N79C",NA
"15061733","144A","N81C","146B","164C","187A","160C",NA,"N88C","NN155D"
"15061734","N77A","N81A","144A","187C",NA,"155A",NA,"N78A","NN155D"
"15061735","144A","N82B","144C","161B","184B","155B",NA,"N78A","NN155A"
"15062150","N77A","N88B","144A","N186B","160A","155A",NA,"N92C","NN155A"
"15062151","200A","N88B","144A","186A","162A","160D",NA,"N92C","NN155A"
"15061736","N77A","N81C","143C","160A","187A","160C",NA,"N92B","NN155A"
"15061737","N77A","N82A","144A","162C","187A","160D",NA,"N87C","NN155D"
"15062152","N77A","N81A","144A","N187A",NA,"155A",NA,"87B",NA
"15061738","N77A","N82A","144A","N187A","161A","160D",NA,"72A","NN155A"
"15061740","N77A","90A","143B","N186B",NA,"155A",NA,"N92C","NN155A"
"15062153","144A","N82A","144B","183C","161B","155A",NA,"N82A","NN155A"
"15061742","144A","N81B","146D","161A","181A","155A",NA,"N92C",NA
"15061744","144A","90B","N144A","164B","184A","155A",NA,"90C","NN155D"
"15061965","144A","155A","144B","N77B","174C","160D",NA,"N92C","NN155A"
"15061747","144A","155A","144A","183D","161C","160C",NA,"N92D",NA
"15061751","143C","N88C","147B","183D","164C","155A",NA,"90C","NN155A"
"15061752","137B","N81B","144B","N79A",NA,"160C",NA,"N92C","NN155D"
"15061753","200A","N82B","144B","186B","162C","155A","N77B","N79C","NN155D"
"15061754","144A","N88C","N144A","162A",NA,"160D",NA,"N78C","NN155A"
"15061755","144A","85A","146B","N186C",NA,"160C",NA,"N92D","NN155D"
"15061756","137C","N88C","144A","N186C",NA,"160C",NA,"90A","NN155D"
"15061757","N77A","N87B","143B","187B","N186A","160C",NA,"N92C",NA
"15061758","144A","86A","N144A","187A",NA,"160C",NA,"90A","NN155D"
"15061759","144A","N88A","N144A","163C","N186C","160C",NA,"90A","NN155D"
"15061760","N77A","N82C","144B","183D","165D","160C",NA,"90D","NN155D"
"15061761","144A","155A","144A","166B","N170D","160C",NA,"N92C",NA
"15061762","N77A","N89A","146B","N186C","161B","160D",NA,"N92C","NN155D"
"15061763","N77A","N87C","143A","N79A","186A","160C",NA,"N92C","NN155D"
"15061764","144A","83A","144B","161A","N186C","160C",NA,"N92C","NN155D"
"15061765","144A","155A","144B","N186B",NA,"160D","N79B","N92C","NN155A"
"15061766","144A","N88A","144B","162A","184A","160D",NA,"N92C",NA
"15061767","144A","92B","N144A","N187A","176B","160C",NA,"N92C","NN155A"
"15061768","144A","N82A","144B","183D","161B","155A",NA,"94A","NN155D"
"15061769","144A","N80C","144A","187C",NA,"155A","184B","N78A","NN155D"
"15061771","N77A","N82A","N144A","N186B","161B","160D","N79A","90A","NN155A"
"15061772","144A","91A",NA,"N186A","161A","160D",NA,"N92C","NN155D"
"15061773","N77A","N87D","144A","187B",NA,"160D","N79B","N92C","NN155D"
"15061966","N77A","N88B","144A","N186A","162B","160D",NA,"N92C","NN155D"
"15061776","144A","92A","144A","162A","182B","155A",NA,"N92D","NN155D"
"15061777","N77A","N82A","N144A","187A","161B","160C",NA,"N92C","NN155D"
"15061778","200A","N82A","144A","N186B","162B","160A","N79B","N82A","NN155D"
"15061784","N77A","N81A","144A","N186A","161B","160D",NA,"N92C","NN155D"
"15061785","144A","N88D","143A","161A","182B","155A",NA,"N82A","NN155D"
"15062359","144A","N88D","144A","162A","173A","160D",NA,"N92D","NN155A"
"15062370","144A","N88B","144A","N186A","161A","160C","N79A","N92C","NN155A"
"15061788","144A","90B","144A","N77A","N79B","155A",NA,"N92C",NA
"15061967","N77A","84A","144A","187A","162B","155A","N79B","N92C","NN155D"
"15061789","144A","N80C",NA,"162B","174B","155A",NA,"N80B","NN155A"
"15061790","144A","N81C","144B","161A","183B","155A",NA,"N81A","NN155A"
"15061968","144A","86C","146A","187A","162B","160D",NA,"N92B","NN155D"
"15061795","N77A","N82A","146B","N187A",NA,"160B","N79A","N92D","NN155D"
"15061797","N77A","N82B","144A","161A","N186C","160D",NA,"NN155A","N82A"
"15061798","144A","92A","143A","183A","160N","155A",NA,"92B","NN155D"
"15061799","N77A","N81B","146B","187C","N186A","160D",NA,"N92C",NA
"15061800","144A","90C","144A","160A","N79A","155A",NA,"N92D","NN155A"
"15062360","144A","92B","146A","162B","176A","155A",NA,"N87B","NN155A"
"15062361","144A","N82A","143B","187B",NA,"160C",NA,"N92D",NA
"15061801","144A","92C","144B","182B","160A","155A",NA,"71A","NN155A"
"15062371","144A","N82A",NA,"161A","183D","155A",NA,"83B","NN155D"
"15061969","144A","91B","146A","162B","182B","155A",NA,"N92D","NN155A"
"15061808","144A","N81C","144B","162C","182B","157A",NA,"71A","NN155A"
"15061811","144A","N88B",NA,"N77A","162C","160D",NA,"N92D","NN155A"
"15062362","144A","86B","144A","162A",NA,"160D",NA,"90B","NN155A"
"15061813","144A","N82A",NA,"160A","182A","160D",NA,"N87C","NN155A"
"15061814","N77A","N82A","144A","187B","160A","155A",NA,"N87B","NN155A"
"15061815","144A","N88C","144B","183A","161C","160D",NA,"N88B","NN155D"
"15062372","144A","92B","144A","N77A","161A","160C",NA,"N92B","NN155D"
"15061826","144A","N82C","144A","183B","162A","155C",NA,"71A","NN155A"
"15062373","144A","N81B","144A","176A","161A","160D",NA,"71A","NN155A"
"15062031","144A","N81B","144B","184A","162C","160D",NA,"71B","NN155A"
"15061893","144A","N81B",NA,"184A","162B","160C",NA,"90D","NN155A"
"15061894","144A","N81C","144A","176D","164C","160C",NA,"N78B","NN155D"
"15061247","144A","N87B","146B","183D","162C","155A",NA,"N88B","NN155D"
