"Registro","CTallo","CPFlor","CBaya","CPTuber","CSTuber","CPulpa","CSPulpa","CPBrote","CSBrote"
"15060320","144A","N81B","144B","160A","181B","160D",NA,"72A","NN155A"
"15060345","144A","83D","144C","160A","182A","160C",NA,"72B","NN155C"
"15062337","144A","N81A","144B","184A","160A","160D",NA,"N74C","NN155D"
"15062051","144A","N81A","144A","184A","162B","160C",NA,"N74C","NN155D"
"15062052","144A","N81A","N144A","182A","162B","160C",NA,"N79B","NN155C"
"15061917","144A","N82A","N144A","183B","160A","160D",NA,"NN74C","NN155D"
"15060383","144A","N82C","143A","161A","182B","160A",NA,"N74C","NN155D"
"15062338","144A","N81A","144A","181A","162A","160C",NA,"NN74C","NN155C"
"15062339","144A","N81A","N144A","162A","181A","160C",NA,"83B","NN155C"
"15060420","144A","N81C","143B","181A","161A","160D",NA,"NN74B","NN155C"
"15062053","144A","N81B","143A","184A","162B","155A",NA,"77B","NN155C"
"15062363","144A","N81A","144A","178A","162B","160D",NA,"NN74C","NN155D"
"15060467","144A","N81A","143A","183D","162A","160D",NA,"N92C","NN155C"
"15060536","144A","N82D","144A","162C","183d","160D",NA,"71C","NN155C"
"15060543","144A","N81C","144A","183C",NA,"160C",NA,"71C","NN155D"
"15060570","144A","83C","144A","162A","183C","160C",NA,"N82A","NN155D"
"15060797","144A","83B","144A","187A","162B","160B",NA,"82B","NN155D"
"15061918","144A","N81B",NA,"N77D","163D","155A",NA,"83A","NN155A"
"15060846","144A","N78C",NA,"183C","162C","155C",NA,"N92C","NN155A"
"15060907","N77A","N82A","144A","186B","162B","155A","N79B","93A","NN155C"
"15060909","144A","N82C","144A","160B","181A","155A",NA,"NN74C","NN155A"
"15060933","144A","N88B","144B","182A","162C","155B",NA,"71C","NN155D"
"15060964","144A","83B","143A","N77A","162A","162C",NA,"90B","NN155D"
"15061007","144A","N82A","144A","183D","161A","162C",NA,"90B","NN155D"
"15061011","144A","N88B","144A","160A","183D","160C",NA,"92C","NN155C"
"15061122","144A","N80A",NA,"183D","161A","155A",NA,"N87B","NN155D"
"15061204","144A","84A",NA,"N187A",NA,"160D",NA,"N92C",NA
"15061213","144A","N81A","146D","183B","161A","162D",NA,"71A","NN155A"
