,BA,BB
15061671,49.672,50.38
15061673,40.116,38.78
15061677,32.435,32.47
15061678,32.433,32.294
15061679,38.768,38.874
15061680,49.861,49.508
15061682,53.349,53.048
15061683,46.954,46.662
15061684,53.348,54.817
15061686,47.254,46.761
15061687,49.32,46.213
15061688,47.227,46.758
15061689,32.315,32.245
15061704,53.342,53.075
15061706,52.551,53.1
15061709,52.282,51.854
15061712,46.898,46.179
15061713,53.461,53.159
15061714,39.765,39.485
15061717,43.549,44.202
15061718,46.735,46.025
15061720,40.582,38.348
15061723,35.29,34.98
15061724,30.332,29.901
15061725,40.059,39.593
15061726,35.5,35.227
15061729,28.285,28.095
15061730,28.393,27.957
15061733,33.053,33.887
15061734,32.199,32.182
15061735,40.195,39.678
15061736,28.482,27.898
15061737,28.661,28.252
15061738,32.215,32.21
15061740,37.44,38.545
15061742,54.065,54.313
15061744,54.303,54.74
15061747,49.798,49.896
15061751,51.904,51.899
15061752,37.289,38.513
15061753,32.128,32.047
15061754,53.267,54.811
15061755,48.875,46.084
15061756,48.726,46.29
15061757,38.532,38.624
15061758,51.027,50.603
15061759,51.551,51.468
15061760,28.885,28.711
15061762,34.671,35.38
15061765,51.619,51.443
15061766,54.737,55.276
15061767,52.953,53.179
15061769,50.057,48.024
15061771,31.82,31.68
15061772,53.543,53.679
15061773,32.183,31.281
15061777,38.407,38.307
15061778,32.31,32.251
15061784,32.357,32.256
15061785,52.631,54.525
15061788,35.127,35.167
15061790,38.827,38.902
15061795,34.924,34.635
15061797,32.337,32.263
15061798,52.942,52.999
15061800,49.811,49.591
15061801,52.107,51.752
15061808,52.216,51.526
15061811,53.064,53.013
15061813,50.661,50.188
15061815,51.658,52.516
15061826,52.192,52.398
15061905,53.813,53.92
15061906,31.969,33.3
15061908,41.45,41.289
15061909,52.468,50.626
15061910,51.785,52.259
15061911,54.637,54.721
15061912,52.773,53.602
15061915,54.612,54.73
15061917,53.573,53.491
15061918,52.15,51.933
15061926,51.749,52.164
15061927,33.544,35.344
15061928,33.919,34.561
15061929,41.568,40.981
15061930,51.259,51.614
15061933,47.292,46.795
15061934,28.918,28.926
15061935,54.679,54.765
15061937,52.869,53.409
15061939,32.556,32.756
15061941,51.984,51.872
15061942,40.925,40.834
15061944,47.535,43.73
15061945,53.328,53.289
15061946,34.262,34.447
15061948,47.253,46.788
15061949,52.033,53.663
15061951,53.294,53.454
15061952,28.539,28.23
15061953,29.739,29.748
15061958,45.558,46.466
15061960,31.771,33.334
15061961,29.592,29.982
15061962,54.726,54.739
15061963,32.287,32.224
15061965,52.121,50.878
15061966,30.978,30.8
15061967,35.258,37.217
15061968,38.688,38.712
15062036,38.765,39.61
15062038,53.754,53.949
15062039,54.064,54.364
15062046,52.955,53.623
15062050,49.929,50.054
15062051,53.301,53.148
15062067,51.907,51.388
15062069,35.447,35.194
15062071,49.987,49.975
15062080,47.065,47.69
15062092,47.508,46.871
15062094,29.508,29.905
15062097,53.557,53.189
15062099,52.023,52.265
15062100,48.704,46.032
15062101,43.573,44.137
15062102,51.001,50.874
15062103,41.443,41.275
15062105,29.676,29.961
15062106,31.92,31.283
15062107,48.963,50.184
15062108,32.299,32.158
15062109,53.679,53.89
15062111,42.895,42.731
15062112,29.637,29.738
15062114,28.505,28.713
15062117,53.271,53.27
15062118,53.394,53.325
15062122,30.848,32.124
15062124,51.615,51.362
15062126,33.874,33.026
15062130,50.337,49.594
15062136,30.714,30.055
15062137,31.709,31.302
15062138,33.757,33.652
15062139,40.043,39.537
15062142,53.727,54.553
15062145,36.218,36.706
15062146,34.552,34.18
15062149,40.261,39.725
15062150,35.017,34.29
15062151,33.207,32.772
15062152,32.305,32.205
15062153,32.375,32.27
15062331,51.726,52.009
15062332,51.425,51.668
15062333,32.797,34.726
15062334,51.307,51.526
15062335,51.636,50.345
15062337,53.724,53.6
15062338,53.43,53.435
15062346,48.132,46.706
15062347,53.243,53.27
15062348,53.55,53.696
15062349,42.545,42.047
15062350,52.498,54.03
15062351,34.98,35.167
15062353,51.935,51.946
15062354,53.173,53.3
15062356,34.776,34.491
15062357,29.541,29.76
15062358,32.431,32.301
15062360,51.871,51.535
15062361,43.159,43.165
15062363,54.176,54.01
15062366,54.229,54.684
15062367,29.094,28.858
15062368,53.393,53.458
15062369,40.163,39.638
15062370,42.605,41.734
