,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15061560,59.441,59.439,59.37,59.449,59.141,59.461,59.36612,59.375,59.43,59.51,65.241,62.607
15061561,58.419,58.923,57.333,58.316,56.69,59.261,56.84807,58.31,59.43,59.223,54.764,56.272
15061564,58.736,58.761,58.49,58.759,58.415,59.239,58.5457,58.649,59.43,59.164,53.76,56.209
15061565,56.381,56.335,54.326,56.223,53.704,57.366,52.22964,55.131,59.43,57.301,45.943,48.036
15061566,59.165,59.368,58.912,59.148,58.83,59.486,58.89653,59.162,59.43,59.497,54.64,53.597
15061568,59.372,59.267,58.854,59.363,58.551,59.589,58.69167,59.318,59.43,59.57,54.762,56.168
15061571,61.151,61.151,62.521,61.296,63.056,60.279,62.92035,61.46,59.43,60.261,68.235,67.314
15061575,60.745,60.797,61.456,60.892,61.627,60.39,61.73437,61.433,59.43,60.24,65.237,64.868
15061576,58.667,58.746,58.47,58.665,58.431,58.662,58.26862,58.402,59.43,58.745,54.76,54.839
15061577,58.949,58.806,58.061,58.888,57.724,59.597,57.47264,58.262,59.43,59.44,53.684,54.012
15061578,58.921,58.707,57.979,58.864,57.663,59.569,57.45982,58.232,59.43,59.43,53.779,54
15061579,60.598,60.637,61.56,60.636,61.828,59.909,61.8724,61.176,59.43,59.936,71.238,68.357
15061580,58.953,59.084,58.514,58.963,58.425,59.212,58.36814,58.632,59.43,59.338,57.58,62.176
15061583,57.58,57.745,57.074,57.506,56.897,57.896,56.78065,57.123,59.43,57.913,54.76,55.165
15061584,59.331,59.368,60.014,59.336,60.068,58.989,61.32706,59.71,59.43,59.184,65.24,62.8
15061585,58.678,58.768,58.526,58.673,58.494,58.667,58.32835,58.459,59.43,58.751,54.764,56.005
15061586,58.689,58.759,58.531,58.691,58.493,58.678,58.42245,58.442,59.43,58.762,57.776,60.772
15061588,58.045,57.895,57.232,58.05,57.139,58.535,56.39222,57.065,59.43,58.452,53.235,53.971
15061600,58.789,58.951,58.619,58.78,58.353,59.244,58.4742,58.69,59.43,59.213,54.76,55.652
15061602,59.256,59.255,59.008,59.225,58.669,59.466,58.80284,59.159,59.43,59.468,53.763,56.149
15061603,59.162,59.368,58.915,59.149,58.834,59.487,58.87547,59.167,59.43,59.497,55.491,60.629
15061604,58.345,58.379,57.823,58.373,57.961,58.831,58.51077,58.544,59.43,58.687,58.761,58.972
15061605,58.882,58.863,59.247,58.864,59.486,58.696,60.93179,58.974,59.43,58.571,65.241,62.85
15061608,58.683,58.751,58.509,58.693,58.465,58.666,58.28645,58.43,59.43,58.756,54.371,54.753
15061609,59.184,59.37,58.946,59.155,58.863,59.506,58.9714,59.184,59.43,59.505,54.759,55.885
15061610,58.904,59.033,58.43,58.912,58.296,59.215,58.25917,58.596,59.43,59.326,54.947,60.051
15061612,59.74,59.985,59.749,59.769,59.803,59.715,59.46939,59.611,59.43,59.653,54.763,56.74
15061613,57.598,57.753,57.111,57.52,56.963,57.885,56.77755,57.108,59.43,57.914,57.235,57.672
15061619,59.366,59.49,59.175,59.394,59.185,59.525,59.12288,59.294,59.43,59.505,56.403,55.825
15061621,60.327,59.783,61.013,60.33,61.442,59.749,61.58632,60.591,59.43,59.717,67.844,64.658
15061622,60.086,60.085,60.152,60.06,60.113,59.92,59.98711,60.353,59.43,59.92,54.762,56.52
15061623,60.37,60.448,60.617,60.435,60.579,60.1,60.58377,60.613,59.43,60.102,59.2,61.179
15061624,59.175,59.377,58.943,59.137,58.82,59.527,58.92787,59.203,59.43,59.516,55.505,58.976
15061628,60.238,60.307,61.023,60.281,61.219,59.876,61.36716,60.729,59.43,59.793,65.912,65.115
15061631,58.715,58.822,58.364,58.741,58.065,59.206,58.18755,58.554,59.43,59.133,60.715,60.579
15061632,57.589,57.744,57.087,57.521,56.933,57.91,56.69644,57.109,59.43,57.917,54.76,54.44
15061637,60.362,60.454,60.611,60.426,60.544,60.112,60.52025,60.604,59.43,60.101,58.295,61.914
15061638,60.369,60.466,60.631,60.432,60.573,60.1,60.53689,60.619,59.43,60.104,58.069,57.628
15061639,58.041,58.14,57.52,58.017,57.689,58.217,57.6305,57.761,59.43,58.147,54.763,56.545
15061640,59.844,59.732,59.976,59.909,60.036,59.862,59.90211,60.193,59.43,59.83,54.762,58.928
15061642,60.388,60.474,60.655,60.457,60.613,60.113,60.61392,60.584,59.43,60.112,57.736,59.229
15061645,59.863,59.718,60.04,59.941,60.109,59.895,59.99849,60.214,59.43,59.836,61.444,64.154
15061646,59.216,59.445,59.07,59.211,58.927,59.507,59.12878,59.555,59.43,59.567,58.144,57.595
15061647,60.349,60.436,60.569,60.408,60.52,60.106,60.53468,60.585,59.43,60.099,58.222,57.623
15061648,59.168,59.363,58.87,59.183,58.8,59.519,59.3899,59.601,59.43,59.503,65.239,63.85
15061649,58.355,58.412,58.009,58.404,57.655,58.504,57.68694,58.222,59.43,58.544,58.398,58.424
15061650,59.569,59.667,60.358,59.57,60.85,59.235,62.24993,59.827,59.43,59.279,65.238,63.776
15061651,60.193,60.277,60.866,60.256,61.21,59.628,61.55303,60.887,59.43,59.788,67.113,67.008
15061653,61.129,61.055,61.865,61.192,61.971,60.623,62.04971,61.854,59.43,60.45,65.157,58.592
15061654,57.622,57.788,57.122,57.548,56.959,57.927,56.69355,57.077,59.43,57.951,53.235,54.097
15061655,59.226,59.146,59.845,59.287,60.322,59.043,61.96489,59.752,59.43,59.136,65.239,63.833
15061658,57.672,57.814,57.24,57.62,57.088,57.956,56.77601,57.149,59.43,57.964,54.762,54.988
15061659,58.658,58.75,58.451,58.645,58.362,58.68,58.25866,58.377,59.43,58.759,54.76,54.496
15061661,57.627,57.763,57.165,57.567,57.021,57.908,56.7124,57.118,59.43,57.93,53.76,53.895
15061662,59.293,59.291,59.608,59.312,59.658,59.374,59.85801,59.476,59.43,59.319,54.762,58.596
15061665,59.787,59.658,60.261,59.832,60.52,59.225,60.96184,59.896,59.43,59.359,55.112,58.37
15061668,59.791,59.665,60.278,59.842,60.528,59.216,61.06519,59.981,59.43,59.34,66.317,64.911
15061670,57.984,58.106,57.422,57.977,57.579,58.197,57.55048,57.724,59.43,58.119,53.763,56.388
15061671,59.168,59.363,58.849,59.179,58.78,59.513,59.36368,59.589,59.43,59.5,64.569,60.939
15061673,58.779,58.362,58.434,58.69,58.265,58.846,57.37792,58.144,59.43,58.818,50.764,53.008
15061677,59.399,59.512,59.255,59.432,59.279,59.543,59.22272,59.332,59.43,59.522,55.894,57.089
15061678,59.393,59.504,59.22,59.415,59.265,59.528,59.19563,59.322,59.43,59.51,57.684,64.525
15061679,60.032,60.086,60.297,60.056,60.376,59.8,60.40606,60.158,59.43,59.759,62.145,68.297
15061680,57.957,58.108,57.403,57.949,57.515,58.189,57.50023,57.734,59.43,58.11,57.723,60.786
15061682,60.36,60.44,60.6,60.426,60.563,60.097,60.5358,60.619,59.43,60.102,61.091,63.9
15061683,58.949,59.092,58.563,58.961,58.443,59.273,58.38889,58.713,59.43,59.353,58.657,64.084
15061684,57.666,57.809,56.65,57.723,56.034,58.209,55.06563,57.238,59.43,58.155,50.766,53.826
15061686,58.924,59.047,58.469,58.937,58.334,59.215,58.29371,58.615,59.43,59.333,54.603,55.663
15061687,59.138,59.125,58.492,59.168,58.253,59.511,58.53157,59.044,59.43,59.558,54.763,55.843
15061688,58.919,59.042,58.449,58.927,58.314,59.208,58.26448,58.585,59.43,59.33,54.382,54.008
15061689,59.37,59.488,59.189,59.401,59.205,59.524,59.13631,59.283,59.43,59.504,57.323,64.453
15061704,60.359,60.444,60.608,60.422,60.569,60.121,60.55746,60.607,59.43,60.108,59.377,66.181
15061706,58.305,58.555,58.026,58.249,57.661,58.514,56.54552,57.703,59.43,58.476,54.762,55.911
15061709,60.763,60.597,61.918,60.862,62.345,60.02,62.43765,61.377,59.43,59.993,68.235,67.058
15061712,59.31,59.313,59.669,59.332,59.696,59.366,59.89443,59.489,59.43,59.317,56.047,59.485
15061713,60.36,60.449,60.598,60.424,60.56,60.104,60.56367,60.59,59.43,60.102,58.078,56.208
15061714,58.765,58.773,58.203,58.767,58.104,59.245,57.74322,58.342,59.43,59.224,54.35,54.547
15061717,60.594,60.487,61.232,60.648,61.382,60.176,61.33731,60.746,59.43,60.121,59.376,59.13
15061718,59.304,59.29,59.646,59.32,59.663,59.367,59.91384,59.506,59.43,59.319,57.335,64.543
15061720,58.71,58.8,58.185,58.702,58.036,59.268,57.74503,58.263,59.43,59.22,57.237,58.33
15061723,60.294,59.737,60.921,60.285,61.345,59.722,61.51154,60.571,59.43,59.707,65.848,63.406
15061724,59.323,59.146,59.473,59.382,59.574,59.214,59.64272,59.501,59.43,59.359,68.238,63.766
15061725,58.753,58.776,58.177,58.746,58.066,59.248,57.79129,58.347,59.43,59.224,54.226,54.455
