,PREDICTED,ACTUAL
15061769,60.542,63
15061771,44.614,43
15061772,55.101,59
15061773,56.649,67
15061777,46.015,43
15061778,44.882,43
15061784,44.839,36
15061785,56.441,66
15061788,45.858,43
15061790,46.673,57
15061795,47.356,43
15061797,44.75,54
15061798,54.859,52
15061800,47.354,49
15061801,60.088,75
15061808,59.397,57
15061811,52.126,43
15061813,44.308,43
15061815,48.197,58
15061826,54.773,61
15061905,44.219,41
15061906,51.055,52
15061908,43.63,44
15061909,38.529,36
15061910,48.649,36
15061911,50.417,54
15061912,50.637,57
15061915,50.162,54
15061917,48.394,43
15061918,53.46,45
15061926,48.857,36
15061927,54.81,63
15061928,38.657,45
15061929,42.293,42
15061930,53.738,45
15061933,43.478,49
15061934,49.44,43
15061935,49.812,36
15061937,43.518,36
15061939,44.841,43
15061941,45.118,54
15061942,54.481,57
15061944,45.856,49
15061945,48.589,43
15061946,40.394,48
15061948,43.507,61
15061949,48.465,41
15061951,48.859,61
15061952,49.821,36
15061953,45.583,43
15061958,56.23,67
15061960,50.797,52
15061961,46.12,42
15061962,50.525,54
15061963,44.565,43
15061965,76.493,92
15061966,44.925,43
15061967,53.803,53
15061968,46.703,48
15062036,51.359,52
15062038,48.098,43
15062039,43.999,37
15062046,50.279,45
15062050,47.315,52
15062051,48.275,36
15062067,58.686,45
15062069,45.531,31
15062071,83.292,88
15062080,47.969,43
15062092,43.669,48
15062094,45.387,41
15062097,52.361,43
15062099,49.641,45
15062100,60.892,59
15062101,43.875,43
15062102,75.148,92
15062103,39.812,36
15062105,46.049,42
15062106,44.66,36
15062107,36.202,42
15062108,44.789,53
15062109,48.343,43
15062111,41.714,43
15062112,45.67,43
15062114,43.964,43
15062117,47.959,43
15062118,48.656,59
15062122,45.374,31
15062124,87.223,92
15062126,46.927,48
15062130,52.083,48
15062136,39.554,36
15062137,44.739,43
15062138,48.616,43
15062139,44.718,42
15062142,44.621,43
15062145,49.261,43
15062146,47.06,43
15062149,45.119,43
15062150,51.509,43
15062151,46.798,43
15062152,44.577,36
15062153,43.823,43
15062331,53.113,45
15062332,53.192,44
15062333,42.632,41
15062334,53.457,43
15062335,40.511,39
15062337,48.241,36
15062338,48.259,36
15062346,46.495,41
15062347,55.347,52
15062348,48.569,54
15062349,45.834,42
15062350,48.67,54
