Prefix,HCL_component,Traits,Models,Predictive_ability
CBaya,C,CBaya.C,GBLUP,0.006
CBaya,C,CBaya.C,GBLUP,0.212
CBaya,C,CBaya.C,GBLUP,0.141
CBaya,C,CBaya.C,GBLUP,0.104
CBaya,C,CBaya.C,EGBLUP,0.283
CBaya,C,CBaya.C,EGBLUP,0.176
CBaya,C,CBaya.C,EGBLUP,-0.008
CBaya,C,CBaya.C,EGBLUP,0.1
CBaya,C,CBaya.C,EGBLUP,0.212
CBaya,C,CBaya.C,EGBLUP,0.212
CBaya,C,CBaya.C,EGBLUP,0.079
CBaya,C,CBaya.C,EGBLUP,0.092
CBaya,C,CBaya.C,EGBLUP,0.308
CBaya,C,CBaya.C,EGBLUP,0.167
CBaya,C,CBaya.C,EGBLUP,0.186
CBaya,C,CBaya.C,EGBLUP,0.167
CBaya,C,CBaya.C,EGBLUP,-0.017
CBaya,C,CBaya.C,EGBLUP,0.165
CBaya,C,CBaya.C,EGBLUP,0.14
CBaya,C,CBaya.C,EGBLUP,0.132
CBaya,C,CBaya.C,EGBLUP,0.041
CBaya,C,CBaya.C,EGBLUP,0.203
CBaya,C,CBaya.C,EGBLUP,0.165
CBaya,C,CBaya.C,EGBLUP,0.078
CBaya,C,CBaya.C,EGBLUP,0.076
CBaya,C,CBaya.C,EGBLUP,0.059
CBaya,C,CBaya.C,EGBLUP,0.284
CBaya,C,CBaya.C,EGBLUP,-0.047
CBaya,C,CBaya.C,EGBLUP,0.143
CBaya,C,CBaya.C,RKHS,0.087
CBaya,C,CBaya.C,RKHS,0.236
CBaya,C,CBaya.C,RKHS,0.154
CBaya,C,CBaya.C,RKHS,0.084
CBaya,C,CBaya.C,RKHS,0.078
CBaya,C,CBaya.C,RKHS,0.285
CBaya,C,CBaya.C,RKHS,0.094
CBaya,C,CBaya.C,RKHS,0.097
CBaya,C,CBaya.C,RKHS,0.129
CBaya,C,CBaya.C,RKHS,-0.07
CBaya,C,CBaya.C,RKHS,0.109
CBaya,C,CBaya.C,RKHS,0.103
CBaya,C,CBaya.C,RKHS,0.218
CBaya,C,CBaya.C,RKHS,0.066
CBaya,C,CBaya.C,RKHS,0.167
CBaya,C,CBaya.C,RKHS,-0.122
CBaya,C,CBaya.C,RKHS,0.379
CBaya,C,CBaya.C,RKHS,0.116
CBaya,C,CBaya.C,RKHS,0.071
CBaya,C,CBaya.C,RKHS,0.081
CBaya,C,CBaya.C,RKHS,0.05
CBaya,C,CBaya.C,RKHS,0.225
CBaya,C,CBaya.C,RKHS,0.064
CBaya,C,CBaya.C,RKHS,0.253
CBaya,C,CBaya.C,RKHS,0.093
CBaya,C,CBaya.C,Lasso,NA
CBaya,C,CBaya.C,Lasso,0.089
CBaya,C,CBaya.C,Lasso,0.111
CBaya,C,CBaya.C,Lasso,0.054
CBaya,C,CBaya.C,Lasso,0.101
CBaya,C,CBaya.C,Lasso,-0.049
CBaya,C,CBaya.C,Lasso,0.218
CBaya,C,CBaya.C,Lasso,0.058
CBaya,C,CBaya.C,Lasso,0.324
CBaya,C,CBaya.C,Lasso,0.277
CBaya,C,CBaya.C,Lasso,0.188
CBaya,C,CBaya.C,Lasso,-0.028
CBaya,C,CBaya.C,Lasso,0.177
CBaya,C,CBaya.C,Lasso,NA
CBaya,C,CBaya.C,Lasso,0.124
CBaya,C,CBaya.C,Lasso,0.151
CBaya,C,CBaya.C,Lasso,NA
CBaya,C,CBaya.C,Lasso,0.148
CBaya,C,CBaya.C,Lasso,0.282
CBaya,C,CBaya.C,Lasso,0.071
CBaya,C,CBaya.C,Lasso,0.178
CBaya,C,CBaya.C,Lasso,0.252
CBaya,C,CBaya.C,Lasso,0.124
CBaya,C,CBaya.C,Lasso,0.159
CBaya,C,CBaya.C,Lasso,0.12
CBaya,C,CBaya.C,RR,0.024
CBaya,C,CBaya.C,RR,0.15
CBaya,C,CBaya.C,RR,0.332
CBaya,C,CBaya.C,RR,0.201
CBaya,C,CBaya.C,RR,0.063
CBaya,C,CBaya.C,RR,0.249
CBaya,C,CBaya.C,RR,0.189
CBaya,C,CBaya.C,RR,0.317
CBaya,C,CBaya.C,RR,-0.04
CBaya,C,CBaya.C,RR,0.013
CBaya,C,CBaya.C,RR,0.281
CBaya,C,CBaya.C,RR,0.203
CBaya,C,CBaya.C,RR,0.082
CBaya,C,CBaya.C,RR,0.267
CBaya,C,CBaya.C,RR,-0.081
CBaya,C,CBaya.C,RR,0.21
CBaya,C,CBaya.C,RR,0.205
CBaya,C,CBaya.C,RR,0.156
CBaya,C,CBaya.C,RR,0.053
CBaya,C,CBaya.C,RR,-0.05
CBaya,C,CBaya.C,RR,0.089
CBaya,C,CBaya.C,RR,0.212
CBaya,C,CBaya.C,RR,-0.063
CBaya,C,CBaya.C,RR,0.2
CBaya,C,CBaya.C,RR,0.253
CBaya,C,CBaya.C,SVM,0.057
CBaya,C,CBaya.C,SVM,0.114
CBaya,C,CBaya.C,SVM,0.055
CBaya,C,CBaya.C,SVM,0.238
CBaya,C,CBaya.C,SVM,-0.12
CBaya,C,CBaya.C,SVM,0.09
CBaya,C,CBaya.C,SVM,0.202
CBaya,C,CBaya.C,SVM,0.081
CBaya,C,CBaya.C,SVM,-0.011
CBaya,C,CBaya.C,SVM,0.104
CBaya,C,CBaya.C,SVM,0.089
CBaya,C,CBaya.C,SVM,-0.055
CBaya,C,CBaya.C,SVM,0.063
CBaya,C,CBaya.C,SVM,0.047
CBaya,C,CBaya.C,SVM,0.209
CBaya,C,CBaya.C,SVM,0.084
CBaya,C,CBaya.C,SVM,0.169
CBaya,C,CBaya.C,SVM,0.1
CBaya,C,CBaya.C,SVM,0.084
CBaya,C,CBaya.C,SVM,0.025
CBaya,C,CBaya.C,SVM,0.049
CBaya,C,CBaya.C,SVM,0.09
CBaya,C,CBaya.C,SVM,0.038
CBaya,C,CBaya.C,SVM,0.184
CBaya,C,CBaya.C,SVM,0.093
CBaya,C,CBaya.C,RF,0.017
CBaya,C,CBaya.C,RF,-0.035
CBaya,C,CBaya.C,RF,0.295
CBaya,C,CBaya.C,RF,0.03
CBaya,C,CBaya.C,RF,0.182
CBaya,C,CBaya.C,RF,0.066
CBaya,C,CBaya.C,RF,0.119
CBaya,C,CBaya.C,RF,0.273
CBaya,C,CBaya.C,RF,0.256
CBaya,C,CBaya.C,RF,0.205
CBaya,C,CBaya.C,RF,0.172
CBaya,C,CBaya.C,RF,0.182
CBaya,C,CBaya.C,RF,-0.007
CBaya,C,CBaya.C,RF,0.221
CBaya,C,CBaya.C,RF,-0.034
CBaya,C,CBaya.C,RF,0.152
CBaya,C,CBaya.C,RF,0.068
CBaya,C,CBaya.C,RF,0.12
CBaya,C,CBaya.C,RF,-0.059
CBaya,C,CBaya.C,RF,-0.015
CBaya,C,CBaya.C,RF,0.085
CBaya,C,CBaya.C,RF,0.076
CBaya,C,CBaya.C,RF,0.026
CBaya,C,CBaya.C,RF,0.157
CBaya,C,CBaya.C,RF,0.074
CBaya,H,CBaya.H,BA,-0.014
CBaya,H,CBaya.H,BA,0.117
CBaya,H,CBaya.H,BA,0.068
CBaya,H,CBaya.H,BA,0.15
CBaya,H,CBaya.H,BA,-0.093
CBaya,H,CBaya.H,BA,-0.009
CBaya,H,CBaya.H,BA,0.076
CBaya,H,CBaya.H,BA,0.047
CBaya,H,CBaya.H,BA,0.053
CBaya,H,CBaya.H,BA,0.051
CBaya,H,CBaya.H,BA,0.084
CBaya,H,CBaya.H,BA,0.116
CBaya,H,CBaya.H,BA,0.151
CBaya,H,CBaya.H,BA,0.102
CBaya,H,CBaya.H,BA,-0.049
CBaya,H,CBaya.H,BA,0.214
CBaya,H,CBaya.H,BA,-0.116
CBaya,H,CBaya.H,BA,0.058
CBaya,H,CBaya.H,BA,0.117
CBaya,H,CBaya.H,BA,0.039
CBaya,H,CBaya.H,BA,0.084
CBaya,H,CBaya.H,BA,-0.102
CBaya,H,CBaya.H,BA,0.159
CBaya,H,CBaya.H,BA,-0.081
CBaya,H,CBaya.H,BA,0.136
CBaya,H,CBaya.H,BB,0.152
CBaya,H,CBaya.H,BB,-0.025
CBaya,H,CBaya.H,BB,0.217
CBaya,H,CBaya.H,BB,0.106
CBaya,H,CBaya.H,BB,-0.039
CBaya,H,CBaya.H,BB,-0.109
CBaya,H,CBaya.H,BB,0.108
CBaya,H,CBaya.H,BB,-0.042
CBaya,H,CBaya.H,BB,0.057
CBaya,H,CBaya.H,BB,0.049
CBaya,H,CBaya.H,BB,0.073
CBaya,H,CBaya.H,BB,-0.098
CBaya,H,CBaya.H,BB,0.103
CBaya,H,CBaya.H,BB,0.162
CBaya,H,CBaya.H,BB,-0.039
CBaya,H,CBaya.H,BB,0.094
CBaya,H,CBaya.H,BB,0.131
CBaya,H,CBaya.H,BB,0.072
CBaya,H,CBaya.H,BB,0.002
CBaya,H,CBaya.H,BB,0.1
CBaya,H,CBaya.H,BB,0.11
CBaya,H,CBaya.H,BB,-0.07
CBaya,H,CBaya.H,BB,0.169
CBaya,H,CBaya.H,BB,0.149
CBaya,H,CBaya.H,BB,-0.003
CBaya,H,CBaya.H,BC,-0.069
CBaya,H,CBaya.H,BC,0.031
CBaya,H,CBaya.H,BC,0.19
CBaya,H,CBaya.H,BC,0.102
CBaya,H,CBaya.H,BC,-0.017
CBaya,H,CBaya.H,BC,0.169
CBaya,H,CBaya.H,BC,0.069
CBaya,H,CBaya.H,BC,-0.032
CBaya,H,CBaya.H,BC,0.263
CBaya,H,CBaya.H,BC,-0.01
CBaya,H,CBaya.H,BC,0.026
CBaya,H,CBaya.H,BC,0.185
CBaya,H,CBaya.H,BC,0.211
CBaya,H,CBaya.H,BC,0.033
CBaya,H,CBaya.H,BC,0.034
CBaya,H,CBaya.H,BC,0.06
CBaya,H,CBaya.H,BC,-0.029
CBaya,H,CBaya.H,BC,0.008
CBaya,H,CBaya.H,BC,0.008
CBaya,H,CBaya.H,BC,0.064
CBaya,H,CBaya.H,BC,0.18
CBaya,H,CBaya.H,BC,0.034
CBaya,H,CBaya.H,BC,-0.006
CBaya,H,CBaya.H,BC,0.12
CBaya,H,CBaya.H,BC,0.034
