"","nMarkers","HCLTraits","Traits","HCLs","Models","Means"
"90",100,"CPFlor.L","CPFlor","L","BL",0.64032
"91",100,"CPTuber.C","CPTuber","C","BC",0.54536
"92",100,"CPTuber.H","CPTuber","H","BC",0.44268
"93",100,"CPTuber.L","CPTuber","L","RKHS",0.5026
"94",100,"CPulpa.C","CPulpa","C","BL",0.44556
"95",100,"CPulpa.H","CPulpa","H","RKHS",0.33024
"96",100,"CPulpa.L","CPulpa","L","RKHS",0.43924
"97",100,"CSBrote.C","CSBrote","C","BC",0.24576
"98",100,"CSBrote.H","CSBrote","H","BC",0.18728
"99",100,"CSBrote.L","CSBrote","L","BA",0.29116
"100",100,"CSPulpa.C","CSPulpa","C","BA",0.2284
"101",100,"CSPulpa.H","CSPulpa","H","GBLUP",0.08216
"102",100,"CSPulpa.L","CSPulpa","L","GBLUP",0.34124
"103",100,"CSTuber.C","CSTuber","C","RKHS",0.18004
"104",100,"CSTuber.H","CSTuber","H","BC",0.13744
"105",100,"CSTuber.L","CSTuber","L","BC",0.36248
"106",100,"CTallo.C","CTallo","C","RKHS",0.67676
"107",100,"CTallo.H","CTallo","H","RKHS",0.4648
"108",100,"CTallo.L","CTallo","L","RKHS",0.7052
"109",20,"CBaya.C","CBaya","C","BL",0.15224
"110",20,"CBaya.H","CBaya","H","BC",0.0982
"111",20,"CBaya.L","CBaya","L","BRR",0.1192
"112",20,"CPBrote.C","CPBrote","C","RKHS",0.59216
"113",20,"CPBrote.H","CPBrote","H","BRR",0.3118
"114",20,"CPBrote.L","CPBrote","L","BRR",0.45688
"115",20,"CPFlor.C","CPFlor","C","BC",0.60844
"116",20,"CPFlor.H","CPFlor","H","RKHS",0.86396
"117",20,"CPFlor.L","CPFlor","L","RKHS",0.6298
"118",20,"CPTuber.C","CPTuber","C","BRR",0.5438
"119",20,"CPTuber.H","CPTuber","H","RKHS",0.45536
"120",20,"CPTuber.L","CPTuber","L","RKHS",0.50996
"121",20,"CPulpa.C","CPulpa","C","RKHS",0.46524
"122",20,"CPulpa.H","CPulpa","H","RKHS",0.33556
"123",20,"CPulpa.L","CPulpa","L","RKHS",0.46452
"124",20,"CSBrote.C","CSBrote","C","RKHS",0.2314
"125",20,"CSBrote.H","CSBrote","H","BC",0.19028
"126",20,"CSBrote.L","CSBrote","L","BL",0.2796
"127",20,"CSPulpa.C","CSPulpa","C","BRR",0.21104
"128",20,"CSPulpa.H","CSPulpa","H","BL",0.07936
"129",20,"CSPulpa.L","CSPulpa","L","BC",0.3518
"130",20,"CSTuber.C","CSTuber","C","RKHS",0.2076
"131",20,"CSTuber.H","CSTuber","H","BC",0.13184
"132",20,"CSTuber.L","CSTuber","L","RKHS",0.35128
"133",20,"CTallo.C","CTallo","C","BA",0.67592
"134",20,"CTallo.H","CTallo","H","RKHS",0.475
"135",20,"CTallo.L","CTallo","L","BC",0.72584
"136",30,"CBaya.C","CBaya","C","GBLUP",0.17156
"137",30,"CBaya.H","CBaya","H","GBLUP",0.1358
"138",30,"CBaya.L","CBaya","L","GBLUP",0.1812
"139",30,"CPBrote.C","CPBrote","C","BRR",0.6086
"140",30,"CPBrote.H","CPBrote","H","BRR",0.30568
"141",30,"CPBrote.L","CPBrote","L","RKHS",0.4602
"142",30,"CPFlor.C","CPFlor","C","BL",0.63732
"143",30,"CPFlor.H","CPFlor","H","RKHS",0.8808
"144",30,"CPFlor.L","CPFlor","L","BA",0.6538
"145",30,"CPTuber.C","CPTuber","C","RKHS",0.57768
"146",30,"CPTuber.H","CPTuber","H","RKHS",0.475
"147",30,"CPTuber.L","CPTuber","L","GBLUP",0.56504
"148",30,"CPulpa.C","CPulpa","C","GBLUP",0.49388
"149",30,"CPulpa.H","CPulpa","H","RKHS",0.36128
"150",30,"CPulpa.L","CPulpa","L","GBLUP",0.49544
"151",30,"CSBrote.C","CSBrote","C","RKHS",0.26424
"152",30,"CSBrote.H","CSBrote","H","GBLUP",0.23788
"153",30,"CSBrote.L","CSBrote","L","BC",0.30556
"154",30,"CSPulpa.C","CSPulpa","C","BL",0.21632
"155",30,"CSPulpa.H","CSPulpa","H","GBLUP",0.1124
"156",30,"CSPulpa.L","CSPulpa","L","BC",0.3464
"157",30,"CSTuber.C","CSTuber","C","GBLUP",0.25196
"158",30,"CSTuber.H","CSTuber","H","GBLUP",0.26724
"159",30,"CSTuber.L","CSTuber","L","GBLUP",0.38728
"160",30,"CTallo.C","CTallo","C","GBLUP",0.69464
"161",30,"CTallo.H","CTallo","H","GBLUP",0.50908
"162",30,"CTallo.L","CTallo","L","BL",0.72696
"163",40,"CBaya.C","CBaya","C","GBLUP",0.17788
"164",40,"CBaya.H","CBaya","H","GBLUP",0.12464
"165",40,"CBaya.L","CBaya","L","GBLUP",0.16928
"166",40,"CPBrote.C","CPBrote","C","RKHS",0.61232
"167",40,"CPBrote.H","CPBrote","H","RKHS",0.34964
"168",40,"CPBrote.L","CPBrote","L","GBLUP",0.47456
"169",40,"CPFlor.C","CPFlor","C","GBLUP",0.647
"170",40,"CPFlor.H","CPFlor","H","RKHS",0.8846
"171",40,"CPFlor.L","CPFlor","L","GBLUP",0.67524
"172",40,"CPTuber.C","CPTuber","C","GBLUP",0.59448
"173",40,"CPTuber.H","CPTuber","H","GBLUP",0.47428
"174",40,"CPTuber.L","CPTuber","L","GBLUP",0.57468
"175",40,"CPulpa.C","CPulpa","C","GBLUP",0.50652
"176",40,"CPulpa.H","CPulpa","H","GBLUP",0.41876
"177",40,"CPulpa.L","CPulpa","L","GBLUP",0.488
"178",40,"CSBrote.C","CSBrote","C","GBLUP",0.26368
"179",40,"CSBrote.H","CSBrote","H","GBLUP",0.2406
"180",40,"CSBrote.L","CSBrote","L","GBLUP",0.29176
"181",40,"CSPulpa.C","CSPulpa","C","GBLUP",0.2232
"182",40,"CSPulpa.H","CSPulpa","H","GBLUP",0.11412
"183",40,"CSPulpa.L","CSPulpa","L","GBLUP",0.36664
"184",40,"CSTuber.C","CSTuber","C","GBLUP",0.23344
"185",40,"CSTuber.H","CSTuber","H","GBLUP",0.24384
"186",40,"CSTuber.L","CSTuber","L","GBLUP",0.403
"187",40,"CTallo.C","CTallo","C","GBLUP",0.69276
"188",40,"CTallo.H","CTallo","H","GBLUP",0.50036
"189",40,"CTallo.L","CTallo","L","GBLUP",0.74144
"190",50,"CBaya.C","CBaya","C","GBLUP",0.1846
"191",50,"CBaya.H","CBaya","H","BRR",0.11624
"192",50,"CBaya.L","CBaya","L","GBLUP",0.14408
"193",50,"CPBrote.C","CPBrote","C","GBLUP",0.6086
"194",50,"CPBrote.H","CPBrote","H","RKHS",0.3474
"195",50,"CPBrote.L","CPBrote","L","RKHS",0.47832
"196",50,"CPFlor.C","CPFlor","C","BC",0.64536
"197",50,"CPFlor.H","CPFlor","H","GBLUP",0.8868
"198",50,"CPFlor.L","CPFlor","L","RKHS",0.65684
"199",50,"CPTuber.C","CPTuber","C","GBLUP",0.59376
"200",50,"CPTuber.H","CPTuber","H","BA",0.47764
"201",50,"CPTuber.L","CPTuber","L","GBLUP",0.5512
"202",50,"CPulpa.C","CPulpa","C","GBLUP",0.48712
"203",50,"CPulpa.H","CPulpa","H","GBLUP",0.38612
"204",50,"CPulpa.L","CPulpa","L","RKHS",0.4746
"205",50,"CSBrote.C","CSBrote","C","GBLUP",0.26284
"206",50,"CSBrote.H","CSBrote","H","GBLUP",0.23108
"207",50,"CSBrote.L","CSBrote","L","RKHS",0.30932
"208",50,"CSPulpa.C","CSPulpa","C","GBLUP",0.21872
"209",50,"CSPulpa.H","CSPulpa","H","GBLUP",0.12032
"210",50,"CSPulpa.L","CSPulpa","L","RKHS",0.34328
"211",50,"CSTuber.C","CSTuber","C","GBLUP",0.21356
"212",50,"CSTuber.H","CSTuber","H","GBLUP",0.23488
"213",50,"CSTuber.L","CSTuber","L","RKHS",0.40016
"214",50,"CTallo.C","CTallo","C","GBLUP",0.68664
"215",50,"CTallo.H","CTallo","H","GBLUP",0.49252
"216",50,"CTallo.L","CTallo","L","GBLUP",0.73524
"217",60,"CBaya.C","CBaya","C","GBLUP",0.17392
"218",60,"CBaya.H","CBaya","H","BRR",0.10016
"219",60,"CBaya.L","CBaya","L","GBLUP",0.15332
"220",60,"CPBrote.C","CPBrote","C","RKHS",0.6032
"221",60,"CPBrote.H","CPBrote","H","RKHS",0.3428
"222",60,"CPBrote.L","CPBrote","L","GBLUP",0.47096
