,PREDICTED,ACTUAL
15061769,94.946,8
15061771,218.337,318
15061772,252.424,313
15061773,113.173,7
15061777,54.427,5
15061778,217.574,318
15061784,215.773,313
15061785,111.453,83
15061788,238.369,359
15061790,51.746,83
15061795,236.541,328
15061797,215.886,83
15061798,86.872,21
15061800,106.873,96
15061801,88.694,17
15061808,89.079,84
15061811,97.863,359
15061813,84.28,96
15061815,190.71,21
15061826,98.578,17
15061905,44.753,22
15061906,215.99,313
15061908,133.568,17
15061909,235.879,318
15061910,191.944,342
15061911,55.583,21
15061912,102.746,86
15061915,60.076,85
15061917,53.838,17
15061918,175.086,342
15061926,190.218,359
15061927,206.746,313
15061928,194.877,328
15061929,113.091,83
15061930,175.793,342
15061933,107.938,359
15061934,62.242,86
15061935,57.655,18
15061937,119.552,359
15061939,217.002,96
15061941,95.355,83
15061942,129.301,9
15061944,90.947,96
15061945,53.685,83
15061946,135.094,344
15061948,109.993,45
15061949,146.671,313
15061951,51.979,18
15061952,60.89,21
15061953,184.279,359
15061958,109.604,85
15061960,220.797,313
15061961,183.99,5
15061962,62.961,83
15061963,218.468,318
15061965,146.443,346
15061966,169.075,313
15061967,165.505,5
15061968,51.263,5
15062036,177.885,342
15062038,49.752,22
15062039,40.585,83
15062046,106.357,86
15062050,59.408,83
15062051,52.387,16
15062067,91.585,96
15062069,239.399,318
15062071,149.867,41
15062080,135.284,85
15062092,108.459,17
15062094,183.124,313
15062097,94.658,27
15062099,268.426,344
15062100,130.708,96
15062101,60.319,12
15062102,94.846,83
15062103,181.777,85
15062105,179.678,3
15062106,216.527,328
15062107,208.421,342
15062108,214.75,313
15062109,52.846,22
15062111,143.032,349
15062112,181.592,0
15062114,91.047,85
15062117,53.266,14
15062118,52.729,14
15062122,204.552,313
15062124,225.612,318
15062126,201.922,328
15062130,96.005,16
15062136,65.068,7
15062137,218.006,3
15062138,182.309,313
15062139,64.512,7
15062142,85.59,86
15062145,200.778,318
15062146,238.288,0
15062149,66.299,17
15062150,206.44,318
15062151,157.727,0
15062152,215.391,328
15062153,215.124,14
15062331,185.346,342
15062332,181.285,346
15062333,59.566,3
15062334,170.715,84
15062335,80.885,16
15062337,53.251,16
15062338,53.125,18
15062346,79.552,96
15062347,254.552,359
15062348,49.704,17
15062349,220.625,318
15062350,147.199,3
15062351,137.726,344
15062353,94.373,85
15062354,52.008,83
15062356,238.188,313
15062357,183.501,3
15062358,217.249,318
15062360,93.262,86
15062361,142.434,7
15062363,43.816,22
15062366,113.608,345
15062367,90.828,83
15062368,50.356,22
15062369,68.714,21
15062370,219.173,313
