,BA,BB,BC,BL,BRR,GBLUP,EGBLUP,RKHS,LASSO,RR,SVM,RF
15061714,58.41,58.985,57.997,58.903,57.788,58.973,57.31716,58.094,57.74,59.287,53.847,55.015
15061718,58.221,58.78,57.902,58.786,57.849,58.626,57.58026,58.132,58.265,58.767,53.769,54.936
15061719,59.611,59.604,59.6,59.557,59.794,59.807,59.83149,59.802,59.141,59.81,58.644,64.107
15061720,58.427,59.036,58.095,58.921,57.969,59.048,57.42853,58.151,57.74,59.312,57.232,58.102
15061721,61.024,60.454,61.451,60.141,61.761,60.199,62.12453,61.227,60.371,59.915,68.232,65.949
15061722,60.149,59.786,60.308,59.739,60.685,59.749,60.76407,60.573,59.634,59.662,68.234,65.343
15061723,61.043,60.468,61.469,60.139,61.774,60.213,62.12823,61.186,60.371,59.919,66.765,64.446
15061724,60.111,59.983,60.334,59.766,60.559,59.828,60.56026,60.444,60.289,59.706,68.235,65.09
15061725,58.389,59.025,57.99,58.883,57.756,58.989,57.27637,58.104,58.26,59.29,53.794,54.891
15061726,55.492,56.216,54.5,56.923,54,56.282,53.17324,55.175,55.089,56.961,53.231,52.186
15061731,59.367,59.48,59.306,59.479,59.31,59.54,59.17176,59.321,59.542,59.555,56.37,62.899
15061733,59.364,59.47,59.327,59.477,59.318,59.549,59.1657,59.309,59.542,59.554,54.891,54.586
15061734,59.362,59.478,59.3,59.482,59.298,59.543,59.11757,59.314,59.542,59.557,54.834,56.679
15061735,58.377,58.953,57.969,58.881,57.787,58.929,57.30758,58.082,57.74,59.279,54.518,61.286
15061736,59.499,59.538,59.429,59.42,59.474,59.596,59.60168,59.734,59.644,59.566,59.204,59.477
15061738,59.385,59.481,59.314,59.493,59.325,59.533,59.13868,59.307,59.542,59.559,54.768,54.797
15061740,59.371,59.439,59.338,59.669,59.316,59.58,59.06835,59.404,57.247,59.714,58.642,59
15061742,63.003,62.087,63.877,61.617,64.398,62.091,64.22882,63.058,63.813,61.198,64.574,64.358
15061744,60.87,60.564,61.491,59.927,62.043,59.54,63.12649,60.683,62.248,59.553,68.233,65.441
15061747,59.601,59.597,59.574,59.551,59.74,59.812,59.78653,59.77,59.141,59.804,56.367,56.618
15061753,59.406,59.571,59.409,59.529,59.419,59.517,59.2216,59.339,59.584,59.567,57.429,62.696
15061754,61.028,60.623,61.705,60.207,61.973,60.5,62.17432,60.684,61.36,59.964,68.233,64.896
15061756,58.715,59.363,58.483,59.255,58.328,59.261,58.35566,58.74,58.518,59.4,54.767,56.18
15061758,61.31,61.14,61.848,60.382,62.378,60.651,62.55443,61.76,62.812,60.199,68.236,66.544
15061759,61.335,61.053,61.85,60.376,62.469,60.667,62.82249,61.744,62.787,60.185,68.233,66.017
15061760,59.501,59.53,59.437,59.454,59.535,59.582,59.68449,59.742,59.644,59.567,61.425,62.179
15061762,59.461,59.81,59.459,59.576,59.525,59.473,59.55669,59.573,59.985,59.579,53.72,54.367
