SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15060090,43.812,48,118.433,118,58.47604,66,32.816,20,34.348,26,36.08521,32,45.365,54
15061731,46.863,48,118.674,118,59.30387,66,37.218,41,42.445,35,36.07248,36,42.496,28
15061655,43.686,48,118.433,118,53.93019,66,28.375,55,37.493,36,33.5004,29,49.901,54
15061661,43.703,38,117.156,132,57.50533,53,36.44,40,37.493,38,33.48812,41,49.901,54
15061499,46.863,59,116.333,106,61.7444,69,31.911,26,33.88,33,33.48575,39,49.901,54
15061647,46.863,44,116.333,117,61.87956,54,34.044,28,38.444,27,33.49004,28,49.901,54
15061612,43.812,44,116.333,117,57.87,54,32.176,26,37.28,33,33.49922,33,45.365,28
15061742,46.863,32,116.333,111,61.83308,63,31.911,20,33.88,26,33.50651,37,49.901,54
15061710,40.652,59,118.433,106,58.65594,69,24.847,20,30.262,26,36.07204,41,43.334,28
15062372,43.703,44,117.156,117,56.76462,54,29.702,28,32.384,27,36.09177,35,42.496,54
15061583,43.703,44,117.156,117,57.45019,54,36.44,39,37.493,54,33.51849,18,49.901,54
15061767,46.863,59,115.51,106,61.7226,69,25.412,20,33.571,26,36.09644,25,42.496,54
15062130,46.863,59,115.51,106,60.6181,69,43.567,47,41.436,36,33.5019,35,49.901,54
15061637,46.863,59,116.333,106,61.84214,69,34.044,20,38.444,26,33.50633,33,49.901,53
15061337,43.703,44,116.333,117,56.8247,54,24.847,26,30.824,33,36.07452,35,45.365,54
15062104,43.703,45,118.674,128,59.33002,58,30.42,20,33.88,26,36.08482,32,45.058,54
15061579,43.703,45,115.51,115,58.03053,72,30.435,26,33.88,33,33.51371,42,45.058,28
15061932,46.863,45,115.993,128,58.49289,58,34.13,45,44.424,52,36.08293,28,42.496,54
15061603,46.863,48,116.333,118,59.63806,66,29.622,28,37.28,27,36.07489,42,42.496,54
15060025,46.863,48,116.333,118,61.88954,66,34.044,20,38.444,26,33.5305,19,49.901,54
15061704,46.863,75,116.333,107,61.82731,76,34.044,28,38.444,27,33.49242,47,49.901,54
15061334,43.703,48,117.398,118,58.5774,66,43.016,49,38.444,54,36.08779,47,45.365,54
15061631,40.652,48,118.433,118,58.59899,66,24.847,28,30.262,27,36.08629,47,43.334,28
15060964,40.652,38,115.51,132,53.92994,53,35.698,40,34.314,43,35.93634,47,49.901,54
15061778,46.863,44,118.674,117,59.29198,54,37.218,58,42.445,43,36.07835,41,42.496,28
