And_2,15060006,27(002),,,Phureja faltan,119,38,38,,2,64,15062336,1299(069),W.V.27-12,AND.
And_3,15060013,38(003),,,Tuberosum,67,67,67,,3,79,15060467,2261(085),BOLE,AND.
And_5,15060016,39(005),,,Guata/comerciales,93,84,92,,4,102,15061235,3810(109),MAHUAY,AND.
And_6,15060021,46.A(006),,,Plan semilla  faltan ,,,3,,5,103,15061236,3811(110),ALAKAY HUALAS,AND.
And_7,15060025,60(007),,,maria del socorro,,,1,,6,105,15061239,3856(113),CRIOLLA BLANCA,AND.
And_8,15060027,61(008),,,,,,242,FALTAN,7,106,15061244,4037(114),BADULAQUE,AND.
And_10,15060039,105(010),,,Phureja fata,119,38,83,36,8,107,15061247,4096,S.N.,AND.
And_12,15060042,107.A(012),,,Phureja fuera inventario y campo 2019,,,,23,9,112,15061255,4191(119),S.N.,AND.
And_698,15060045,109,,,,81,,,59,10,146,15061936,4235.9(153),S.N.,AND.
And_14,15060050,129(014),,,,83,,,172,11,154,15061280,4254(162),RUBI,AND.
And_15,15060056,140(015),,,,,,,144,12,160,15061940,4262(168),CARETA,AND.
And_17,15060063,156(017),,,,,,36,,13,162,15061284,4264(170),CHAUCHA GUATA,AND.
And_18,15060070,168(018),,,,,,,,14,163,15061285,4265(171),ARGENTINA,AND.
And_20,15060072,178(020),,,,,,164,,15,166,15061287,4269(174),MORENERA O MORTIÑA,AND.
Phu_2,15060077,193(49),,,,,,118,,16,171,15061292,4275(179),PADUANA BLANCA O CHAVA,AND.
And_23,15060081,203(023),,,,,,,,17,188,15061943,4305.A(195),CLAVELLINA,AND.
And_25,15060082,204.A(025),,,,,,,,18,193,15062088,"4315,1(201)",GUAÑUZA,AND.
And_28,15060085,214(028),,,,,,,,19,198,15061321,4323(207),EXTRANJERA,AND.
And_30,15060087,216.A(030),,,,,,,,20,224,15062091,4368(233),S.N.,AND.
And_31,15060090,224(031),,,,,,,,21,232,15061359,4374(241),EXTRANJERA PINTADA,AND.
And_32,15060097,255(032),,,,,,,,22,265,15061393,4421(275),BOGOTANA,AND.
And_34,15060101,263(034),,,,,,,,23,270,15061400,4431(281),PASTUSA BLANCA,AND.
And_35,15060102,268(035),,,,,,,,24,271,15061401,4432(282),MANZANA,AND.
And_37,15060110,305(038),,,,,,,,25,281,15061413,4449(292),TOCANA ROJA,AND.
And_38,15060112,308(039),,,,,,,,26,288,15061416,4460(299),PESTAÑUDA,AND.
And_39,15060114,310(040),,,,,,,,27,302,15062110,4480.A(313),ARBOLONA,AND.
And_40,15060117,357(041),,,,,,,,28,390,15061527,4642(403),# 16,AND.
And_41,15060120,404(042),,,,,,,,29,411,15061552,4668(424),GUATA,AND.
And_42,15060121,405(043),,,,,,,,30,413,15061554,4670(426),MALVACEÑA,AND.
And_43,15060122,407(044),,,,,,,,31,416,15061956,4673(429),CHAUCHA MAMBERA,AND.
And_45,15060133,484(047),,,,,,,,32,421,15061563,4685(434),AMAPOLA,AND.
And_46,15060138,560(048),,,,,,,,33,443,15062132,4728(456),ROSADA,AND.
And_700,15060142,809,,,,,,,,34,535,15061705,4901(551),CRIOLLA SILVIANA O CONCONA,AND.
And_49,15060155,943(052),,,,,,,,35,623,15061803,5078(77),CAICEDA,AND.
And_52,15060160,999.3(056),,,,,,,,36,624,15061806,5080(80),CARETA BLANCA,AND.
And_56,15060187,1204(061),,,,,,,,37,661,15062465,987,ESSEX,AND.
And_59,15060188,1208(064),,,,,,,,38,662,15062469,1242,LEONA,AND.
And_60,15060190,1208.A(065),,,,,,,,39,663,15062485,3387,MAR PLATENSE,AND.
And_61,15060191,1208.1(066),,,,,,,,40,664,15062486,4104,S.N.,AND.
Phu_3,15060204,1228(54),,,,,,,,41,665,15062491,4147,S.N.,AND.
Cha_1,15060205,CCC 1229,,,,,,,,42,2,15062242,,CALAVERA,Chaucha
And_62,15060214,1246(067),,,,,,,,43,6,15062245,,FLOR BLANCA,Chaucha
And_63,15060215,1247(068),,,,,,,,44,7,15062246,,CHURA,Chaucha
And_65,15060313,1450.1(070),,,,,,,,45,9,15062248,,YEMA DE HUEVO,Chaucha
And_66,15060320,1466(071),,,,,,,,46,10,15062249,,PIMANPEREÑA,Chaucha
And_67,15060345,1564(072),,,,,,,,47,11,15062250,,CRIOLLA,Chaucha
And_72,15060383,1890(078),,,,,,,,48,13,15062251,,PURA,Chaucha
And_110,15060383,1890(118),,,,,,,,49,14,15062252,,BOGOTANA,Chaucha
And_76,15060420,2158(082),,,,,,,,50,15,15062253,,PUENDA,Chaucha
And_80,15060536,2351(086),,,,,,,,51,19,15062254,,ROSQUILLA,Chaucha
And_81,15060543,2360(087),,,,,,,,52,20,15062255,,FLOR MORADA,Chaucha
And_82,15060570,2392(088),,,,,,,,53,24,15062258,,CORPOCHAUCHA 1/7,Chaucha
Cha_66,15060630,ND,,,,,,,,54,25,15062259,,CORPOCHAUCHA 2/97,Chaucha
And_83,15060667,2522(089),,,,,,,,55,27,15062261,,CORPOCHAUCHA 3/97,Chaucha
And_84,15060797,"2658,1(090)",,,,,,,,56,28,15062262,,MAMBERA,Chaucha
And_697,15060812,2673,,,,,,,,57,30,15062263,,RATONA COMUN,Chaucha
And_86,15060846,2706(092),,,,,,,,58,32,15062264,,CHAUCHA ALGODONA 1,Chaucha
And_87,15060907,2791(093),,,,,,,,59,33,15062265,,CHAUCHA ALGODONA 2,Chaucha
And_88,15060909,2794(094),,,,,,,,60,34,15062266,,AMARILLA,Chaucha
And_157,15060910,4260(166),,,,,,,,61,35,15062267,,CHAUCHA PURA 1,Chaucha
And_89,15060933,2821(095),,,,,,,,62,36,15062268,,CHAUCHA RATONA,Chaucha
And_90,15060964,2912(097),,,,,,,,63,39,15062270,,CHAUCHA AMARILLA 1,Chaucha
And_91,15061007,3003(098),,,,,,,,64,40,15062271,,CHAUCHA AMARILLA 2,Chaucha
And_92,15061011,3013(099),,,,,,,,65,41,15062272,,CHAUCHA AMARILLA 3,Chaucha
And_696,15061022,3044 A,,,,,,,,66,42,15062273,,MORCILLA,Chaucha
Phu_73,15061047,ND,,,,,,,,67,43,15062274,,CHAUCHA PURA 2,Chaucha
And_93,15061122,3187(100),,,,,,,,68,45,15062276,,CHAUCHA PLATANO,Chaucha
And_94,15061140,3235(101),,,,,,,,69,64,15062576,,BOTELLA ROJA,Chaucha
And_95,15061204,3364(102),,,,,,,,70,97,15062006,,ALGODONA,Phureja
And_96,15061213,3504(103),,,,,,,,71,113,15062180,,S.N,Phureja
And_97,15061215,3528(104),,,,,,,,72,114,15062181,,CHAUCHA OJONA,Phureja
And_98,15061216,3560(105),,,,,,,,73,119,15062585,,PEPINA  ,Phureja
And_99,15061225,3645(106),,,,,,,,74,120,15062586,,YEMA DE HUEVO No. 37,Phureja
And_100,15061226,3650(107),,,,,,,,75,121,15062587,,RIÑONA No. 30,Phureja
And_101,15061228,3704(108),,,,,,,,76,122,15062588,,S.N. No. 10,Phureja
And_104,15061237,3823(111),,,,,,,,77,123,15062589,,S.N. No. 7,Phureja
And_108,15061250,4157(116),,,,,,,,78,124,15062590,,CRIOLLA No. 11,Phureja
And_113,15061256,4193(121),,,,,,,,79,159,15060074,,CHAUCHA CURILLA REDONDA,Phureja
And_114,15061257,4194(122),,,,,,,,80,1,15060038,98,S.N.,Tuberosum
And_116,15061258,4196(124),,,,,,,,81,2,15060096,247,CARETA AMARILLA,Tuberosum
And_119,15061259,4201(127),,,,,,,,82,3,15060116,334,BRANCA CASCUDA,Tuberosum
And_131,15061260,4217(139),,,,,,,,83,4,15062442,334.A,BRANCA CASCUDA,Tuberosum
And_132,15061261,4218(140),,,,,,,,84,6,15062444,646,TABORKY,Tuberosum
And_133,15061262,4219(141),,,,,,,,85,7,15062445,647,RENETA,Tuberosum
And_135,15061263,4221(143),,,,,,,,86,9,15062447,753,S.N.,Tuberosum
And_137,15061264,4223(145),,,,,,,,87,10,15062448,754,S.N.,Tuberosum
And_139,15061265,4223.A(147),,,,,,,,88,11,15062449,798,ALPHA,Tuberosum
And_140,15061270,4231(148),,,,,,,,89,12,15062450,798.A,ALPHA,Tuberosum
And_144,15061271,4235(152),,,,,,,,90,13,15062451,798.1,ALPHA,Tuberosum
And_146,15061273,4237(154),,,,,,,,91,14,15062452,798.3,ALPHA ROJA,Tuberosum
And_147,15061274,4238(155),,,,,,,,92,15,15062453,800,INDUSTRIC,Tuberosum
And_149,15061277,4247(157),,,,,,,,93,16,15062454,801,VORAN,Tuberosum
And_152,15061279,4253(161),,,,,,,,94,18,15062456,855,MERKUR,Tuberosum
And_154,15061281,4255(163),,,,,,,,95,20,15062458,876.1,B-595-76 X B-922-3,Tuberosum
And_156,15061282,4258(165),,,,,,,,96,21,15062459,880,HLT-1 X B-929-32,Tuberosum
And_160,15061283,4263(169),,,,,,,,97,23,15062461,886,AC-25904,Tuberosum
And_164,15061286,4268(173),,,,,,,,98,24,15062462,823.1,S.N.,Tuberosum
And_166,15061288,4271(175),,,,,,,,99,25,15062463,962,ZALDI,Tuberosum
And_167,15061289,4272(176),,,,,,,,100,26,15062464,969,RMCP 3XX-1,Tuberosum
And_168,15061290,4273(177),,,,,,,,101,27,15060161,1020,COBBLER,Tuberosum
And_169,15061291,4274(178),,,,,,,,102,28,15060165,1111,CHOLA,Tuberosum
And_171,15061293,4278(180),,,,,,,,103,29,15062466,1113,HOLANDESA,Tuberosum
And_172,15061295,4283(181),,,,,,,,104,30,15060170,1120,S.N.,Tuberosum
And_174,15061296,4285(183),,,,,,,,105,31,15060175,1141,U.S. 42-23,Tuberosum
And_175,15061297,4286(184),,,,,,,,106,32,15062467,1144,U.S. 45-4,Tuberosum
And_177,15061298,4290(186),,,,,,,,107,33,15062468,1145,U.S.3802,Tuberosum
And_178,15061299,4293(187),,,,,,,,108,34,15060177,1146,HIANDA 32,Tuberosum
And_179,15061300,4294(188),,,,,,,,109,35,15060149,823,S.N.,Tuberosum
And_180,15061301,4295(189),,,,,,,,110,36,15062470,825,S.N.,Tuberosum
And_181,15061302,4296(190),,,,,,,,111,38,15062471,1255,1163-MEXICO,Tuberosum
And_182,15061303,4297(191),,,,,,,,112,39,15062472,1274,PROF. BROEKENA,Tuberosum
And_183,15061304,4298(192),,,,,,,,113,40,15062473,1275,REGENT,Tuberosum
And_184,15061305,4302(193),,,,,,,,114,41,15062474,1280,VORAN,Tuberosum
And_185,15061307,4304(194),,,,,,,,115,43,15062476,1284,PUNGO,Tuberosum
And_186,15061308,4305(195),,,,,,,,116,44,15062477,1286,PLYMOUTH,Tuberosum
And_188,15061312,4311(197),,,,,,,,117,47,15062479,1293.2,W.V. 14-17,Tuberosum
And_189,15061313,4311.A(198),,,,,,,,118,48,15062480,1295,W.V. 22-9,Tuberosum
And_190,15061314,4312(199),,,,,,,,119,49,15062481,1296,W.V. 24-1,Tuberosum
And_193,15061317,4318(203),,,,,,,,120,50,15060302,1418,CONCHITA,Tuberosum
And_194,15061318,4320(204),,,,,,,,121,51,15060303,1420,ELENITA,Tuberosum
And_195,15061319,4321(205),,,,,,,,122,52,15062482,1516,WRF-5283.4,Tuberosum
And_196,15061320,4322(206),,,,,,,,123,53,15062483,1829,PHIÑU,Tuberosum
And_198,15061323,4325(208),,,,,,,,124,54,15062484,1965,LAPACENSE,Tuberosum
And_199,15061324,4326(209),,,,,,,,125,55,15061202,3363,YANA MATAJ,Tuberosum
And_200,15061327,4332(210),,,,,,,,126,56,15062487,4113,S.N.,Tuberosum
And_201,15061329,4335(211),,,,,,,,127,57,15062488,4130,S.N.,Tuberosum
And_202,15061330,4336(212),,,,,,,,128,58,15062489,4143,S.N.,Tuberosum
And_203,15061331,4337(213),,,,,,,,129,60,15062492,4175,5566 ABC (2),Tuberosum
And_204,15061333,4342(214),,,,,,,,130,61,15062493,4178,PENTLAND IVORY (en),Tuberosum
And_205,15061334,4343(215),,,,,,,,131,62,15062494,4179,ROSLIN E BURV,Tuberosum
And_206,15061335,"4343,2(216)",,,,,,,,132,63,15062495,4180,PENTLAND CROWN,Tuberosum
And_207,15061336,4344(217),,,,,,,,133,66,15061802,5077,CAICEDA CARETA,Tuberosum
And_208,15061337,"4344,1(218)",,,,,,,,134,67,15061804,5078.A,CAICEDA,Tuberosum
And_209,15061338,4345(219),,,,,,,,135,68,15061805,5079,S.N.,Tuberosum
And_210,15061340,4350(220),,,,,,,,136,69,15062497,5081,S.N,Tuberosum
And_211,15061342,4352(221),,,,,,,,137,70,15062179,5081.A,S.N.,Tuberosum
And_212,15061344,4353(222),,,,,,,,138,71,15061807,5082,PAPA NEGRA,Tuberosum
And_213,15061345,4354(223),,,,,,,,139,72,15062499,5084,MONSERRATE,Tuberosum
And_215,15061346,4356(225),,,,,,,,140,73,15062500,(85),S.N.,Tuberosum
And_216,15061347,4357(226),,,,,,,,141,74,15062501,(86),S.N.,Tuberosum
And_217,15061348,4361(227),,,,,,,,142,75,15062502,(87),S.N.,Tuberosum
And_218,15061349,4362(228),,,,,,,,143,76,15062503,(88),S.N.,Tuberosum
And_219,15061350,4363(229),,,,,,,,144,77,15062504,,DECIREE,Tuberosum
And_220,15061352,4366(230),,,,,,,,145,78,15062505,,INTRODUCCION CHILENA S.N.,Tuberosum
And_221,15061353,4367(231),,,,,,,,146,79,15062506,,ROSADA CHILENA,Tuberosum
And_225,15061355,4370(235),,,,,,,,147,1,15062406,P6-OB-1,CORPOGUATA 1/97,Guata
And_227,15061356,4370.B(237),,,,,,,,148,2,15062407,P6-OB-2,TOCANA,Guata
And_228,15061357,4371(278),,,,,,,,149,3,15062408,P6-OB-4,RONCILLA,Guata
And_229,15061358,4372(239),,,,,,,,150,4,15062409,P6-OB-5,TOCANA ROJA,Guata
And_232,15061360,4375(242),,,,,,,,151,5,15062410,P6-OB-6,RUBI,Guata
And_233,15061361,4376(243),,,,,,,,152,6,15062411,P6-OB-7,VIOLETA,Guata
Phu_4,15061362,4380(63),,,,,,,,153,7,15062412,P6-OB-8,UVA,Guata
And_235,15061364,4382(245),,,,,,,,154,8,15062413,P6-OB-9,TOCANA BLANCA,Guata
And_236,15061365,4383(246),,,,,,,,155,9,15062414,P6-OB-10,BOLA DE SAL,Guata
And_237,15061367,4384(247),,,,,,,,156,10,15062415,P6-OB-11,TUQUERREÑA 1,Guata
And_239,15061368,4385(249),,,,,,,,157,11,15062416,P6-OB-12,CURIPAMBA,Guata
And_241,15061369,4387(251),,,,,,,,158,12,15062417,P6-OB-13,TUQUERREÑA 2,Guata
And_243,15061370,4390(253),,,,,,,,159,13,15062418,P6-OB-14,PAMBA ANTIGUA,Guata
And_250,15061376,4401(260),,,,,,,,160,14,15062419,P6-OB-15,CARRIZA,Guata
And_251,15061377,4403(261),,,,,,,,161,16,15062421,P6-OB-17,SABANERA,Guata
And_252,15061378,4404(262),,,,,,,,162,18,15062423,P6-OB-19,LEONA,Guata
And_253,15061380,4406(264),,,,,,,,163,19,15062424,P6-OB-20,COLOMBIANA,Guata
And_254,15061382,4408(265),,,,,,,,164,20,15062425,P6-OB-21,PESTAÑUDA,
And_255,15061383,4410(266),,,,,,,,165,21,15062426,P6-OB-22,PARDA PASTUSA,Guata
And_256,15061384,4411(267),,,,,,,,166,22,15062427,P6-OB-23,ICA MORITA,Guata
And_257,15061385,4412(268),,,,,,,,167,23,15062428,P6-OB-24,DIACOL CAPIRO,Guata
And_258,15061386,4413(269),,,,,,,,168,24,15062429,P6-OB-25,ICA ÚNICA,Guata
And_259,15061388,4415(270),,,,,,,,169,25,15062430,P6-OB-26,ICA NARIÑO,Guata
And_260,15061389,4416(271),,,,,,,,170,26,15062431,P6-OB-27,ROSADA,Guata
And_261,15061390,4417(272),,,,,,,,171,27,15062432,P6-OB-28,ICA SAN PEDRO,Guata
And_262,15061391,4418(273),,,,,,,,172,28,15062433,P6-OB-29,FORTUNA,Guata
And_263,15061392,4420(274),,,,,,,,173,29,15062434,P6-OB-30,ATZIMBA,Guata
And_265,15061394,4422.A(276),,,,,,,,174,30,15062435,P6-OB-33,TEQUENDAMA,Guata
And_266,15061396,4426(277),,,,,,,,175,31,15062436,P6-OB-34,ICA MONSERRATE,Guata
And_267,15061397,4427(278),,,,,,,,176,32,15062437,,BETINA,Guata
And_275,15061404,"4435,2(287)",,,,,,,,177,33,15062438,,CARRIZA OJO DE BUEY,Guata
And_276,15061405,4436(288),,,,,,,,178,34,15062439,,PASTUSA SUPREMA,Guata
And_277,15061406,4437(289),,,,,,,,179,35,15062440,,S.N.GUATA,Guata
And_278,15061410,4445(290),,,,,,,,180,36,15062441,,PESTAÑUDA,Guata
And_279,15061411,4446(291),,,,,,,,181,37,15062578,99020010,BOYACA,Guata
And_282,15061414,4452(294),,,,,,,,182,38,15062579,99020021,BOYACA,Guata
And_285,15061415,4456(297),,,,,,,,183,39,15062580,99020022,BOYACA,Guata
And_288,15061417,4462(300),,,,,,,,184,40,15062581,99020023,BOYACA,Guata
And_289,15061418,4463(301),,,,,,,,185,41,15062606,,TOCARREÑA No. 32,Guata
And_290,15061419,4465(302),,,,,,,,186,43,15062608,,S.N. Guata No. 35,Guata
And_291,15061420,4466(303),,,,,,,,187,44,15062398,,CAPIRO,Guata
And_292,15061421,4467(304),,,,,,,,188,45,15062427,,ICA MORITA,Guata
And_296,15061422,4471(308),,,,,,,,189,46,15062429,,ICA UNICA,Guata
And_297,15061423,4472(309),,,,,,,,190,47,15061288,,TOCANA ROSADA,Guata
And_298,15061424,4474(310),,,,,,,,191,48,15062574,,ANDIGENA CHAUCHA,Guata
And_299,15061425,4475(311),,,,,,,,192,49,15062393,,ICA SAN JORGE,Guata
And_304,15061428,4482(316),,,,,,,,193,50,,391691-96,PERLA NEGRA,Guata
And_307,15061430,4490(319),,,,,,,,194,51,15061970,,ICA PURACE,Guata
And_308,15061434,4500(320),,,,,,,,195,52,15061652,4827,DIACOL CAPIRO,Guata
And_309,15061434,4500(320),,,,,,,,196,53,15061970,657,ICA PURACE,Guata
And_310,15061435,4501(321),,,,,,,,197,54,15062311,658,DIACOL MONSERRATE,Guata
And_311,15061436,4502(322),,,,,,,,198,55,15062375,659,SN 4  (ICA),Guata
And_315,15061437,4505(326),,,,,,,,199,56,15061971,660,ICA NEVADA,Guata
And_316,15061438,4506(327),,,,,,,,200,57,15062157,662,ICA GUANTIVA,Guata
And_317,15061439,4507(328),,,,,,,,201,58,15062158,663,ICA SANTA CECILIA,Guata
And_318,15061441,4509(330),,,,,,,,202,59,15062160,666,ICA INGRUMA,Guata
And_319,15061442,4510(331),,,,,,,,203,60,15062313,667,ICA PAN DE AZUCAR,Guata
And_320,15061443,4511(332),,,,,,,,204,61,15062161,668,ICA SOTARA,Guata
And_322,15061444,4514(334),,,,,,,,205,62,15062162,669,ICA TENERIFE,Guata
And_323,15061445,4515(335),,,,,,,,206,63,15061972,670,ICA HUILA ,Guata
And_325,15061447,4519(337),,,,,,,,207,64,15062316,671,ICA PICACHO,Guata
And_326,15061449,4523(338),,,,,,,,208,65,15062164,672,ICA TEQUENDAMA,Guata
And_327,15061453,4527(339),,,,,,,,209,66,15062318,673,DIACOL SUMAPAZ,Guata
And_328,15061454,4528(340),,,,,,,,210,67,15062319,674,S.N.,Guata
Phu_5,15061456,4534(66),,,,,,,,211,68,15062166,676,ICA QUINDIO,Guata
And_331,15061458,4542(343),,,,,,,,212,70,15062168,678,LUPA,Guata
And_332,15061459,4545(344),,,,,,,,213,71,15062376,679,ICA NARIÑO,Guata
And_333,15061461,4547(345),,,,,,,,214,72,15061975,682,PARDA PASTUSA,Guata
And_336,15061462,4551(348),,,,,,,,215,73,15062324,683,S.N.,Guata
And_338,15061463,4553(350),,,,,,,,216,74,15061976,684,S.N.,Guata
And_339,15061469,4561(351),,,,,,,,217,75,15061977,685,S.N.,Guata
And_340,15061470,4562(352),,,,,,,,218,76,15062327,686,S.N.                       ,Guata
And_341,15061471,4563(353),,,,,,,,219,77,15062328,687,S.N.                        ,Guata
And_342,15061475,4567(354),,,,,,,,220,78,15061978,688,S.N.,Guata
And_343,15061476,4567.A(355),,,,,,,,221,79,15062378,,PARDA PASTUSA,Guata
And_344,15061477,4568(356),,,,,,,,222,80,15062388,,ICA HUILA PURPURA,Guata
And_345,15061478,4569(357),,,,,,,,223,81,15062393,,ICA SAN JORGE,Guata
