Prefix,HCL_component,Traits,Models,Predictive_ability
CBaya,L,CBaya.L,RF,-0.018
CPBrote,C,CPBrote.C,BA,0.55
CPBrote,C,CPBrote.C,BA,0.533
CPBrote,C,CPBrote.C,BA,0.484
CPBrote,C,CPBrote.C,BA,0.532
CPBrote,C,CPBrote.C,BB,0.569
CPBrote,C,CPBrote.C,BB,0.535
CPBrote,C,CPBrote.C,BB,0.553
CPBrote,C,CPBrote.C,BB,0.503
CPBrote,C,CPBrote.C,BC,0.545
CPBrote,C,CPBrote.C,BC,0.596
CPBrote,C,CPBrote.C,BC,0.502
CPBrote,C,CPBrote.C,BC,0.54
CPBrote,C,CPBrote.C,BL,0.528
CPBrote,C,CPBrote.C,BL,0.595
CPBrote,C,CPBrote.C,BL,0.524
CPBrote,C,CPBrote.C,BL,0.525
CPBrote,C,CPBrote.C,BRR,0.559
CPBrote,C,CPBrote.C,BRR,0.582
CPBrote,C,CPBrote.C,BRR,0.513
CPBrote,C,CPBrote.C,BRR,0.53
CPBrote,C,CPBrote.C,GBLUP,0.509
CPBrote,C,CPBrote.C,GBLUP,0.556
CPBrote,C,CPBrote.C,GBLUP,0.477
CPBrote,C,CPBrote.C,GBLUP,0.559
CPBrote,C,CPBrote.C,EGBLUP,0.55
CPBrote,C,CPBrote.C,EGBLUP,0.51
CPBrote,C,CPBrote.C,EGBLUP,0.545
CPBrote,C,CPBrote.C,EGBLUP,0.514
CPBrote,C,CPBrote.C,RKHS,0.543
CPBrote,C,CPBrote.C,RKHS,0.528
CPBrote,C,CPBrote.C,RKHS,0.54
CPBrote,C,CPBrote.C,RKHS,0.576
CPBrote,C,CPBrote.C,Lasso,0.437
CPBrote,C,CPBrote.C,Lasso,0.494
CPBrote,C,CPBrote.C,Lasso,0.541
CPBrote,C,CPBrote.C,Lasso,0.513
CPBrote,C,CPBrote.C,RR,0.517
CPBrote,C,CPBrote.C,RR,0.502
CPBrote,C,CPBrote.C,RR,0.547
CPBrote,C,CPBrote.C,RR,0.566
CPBrote,C,CPBrote.C,SVM,0.612
CPBrote,C,CPBrote.C,SVM,0.531
CPBrote,C,CPBrote.C,SVM,0.523
CPBrote,C,CPBrote.C,SVM,0.572
CPBrote,C,CPBrote.C,RF,0.58
CPBrote,C,CPBrote.C,RF,0.622
CPBrote,C,CPBrote.C,RF,0.471
CPBrote,C,CPBrote.C,RF,0.586
CPBrote,H,CPBrote.H,BA,0.621
CPBrote,H,CPBrote.H,BA,0.618
CPBrote,H,CPBrote.H,BA,0.659
CPBrote,H,CPBrote.H,BA,0.621
CPBrote,H,CPBrote.H,BB,0.672
CPBrote,H,CPBrote.H,BB,0.579
CPBrote,H,CPBrote.H,BB,0.653
CPBrote,H,CPBrote.H,BB,0.6
CPBrote,H,CPBrote.H,BC,0.626
CPBrote,H,CPBrote.H,BC,0.584
CPBrote,H,CPBrote.H,BC,0.58
CPBrote,H,CPBrote.H,BC,0.625
CPBrote,H,CPBrote.H,BL,0.626
CPBrote,H,CPBrote.H,BL,0.605
CPBrote,H,CPBrote.H,BL,0.655
CPBrote,H,CPBrote.H,BL,0.555
CPBrote,H,CPBrote.H,BRR,0.568
CPBrote,H,CPBrote.H,BRR,0.63
CPBrote,H,CPBrote.H,BRR,0.581
CPBrote,H,CPBrote.H,BRR,0.517
CPBrote,H,CPBrote.H,GBLUP,0.587
CPBrote,H,CPBrote.H,GBLUP,0.584
CPBrote,H,CPBrote.H,GBLUP,0.53
CPBrote,H,CPBrote.H,GBLUP,0.574
CPBrote,H,CPBrote.H,EGBLUP,0.62
CPBrote,H,CPBrote.H,EGBLUP,0.638
CPBrote,H,CPBrote.H,EGBLUP,0.603
CPBrote,H,CPBrote.H,EGBLUP,0.645
CPBrote,H,CPBrote.H,RKHS,0.569
CPBrote,H,CPBrote.H,RKHS,0.552
CPBrote,H,CPBrote.H,RKHS,0.574
CPBrote,H,CPBrote.H,RKHS,0.507
CPBrote,H,CPBrote.H,Lasso,0.609
CPBrote,H,CPBrote.H,Lasso,0.595
CPBrote,H,CPBrote.H,Lasso,0.546
CPBrote,H,CPBrote.H,Lasso,0.543
CPBrote,H,CPBrote.H,RR,0.64
CPBrote,H,CPBrote.H,RR,0.561
CPBrote,H,CPBrote.H,RR,0.616
CPBrote,H,CPBrote.H,RR,0.595
CPBrote,H,CPBrote.H,SVM,0.661
CPBrote,H,CPBrote.H,SVM,0.505
CPBrote,H,CPBrote.H,SVM,0.592
CPBrote,H,CPBrote.H,SVM,0.566
CPBrote,H,CPBrote.H,RF,0.581
CPBrote,H,CPBrote.H,RF,0.598
CPBrote,H,CPBrote.H,RF,0.541
CPBrote,H,CPBrote.H,RF,0.597
CPBrote,L,CPBrote.L,BA,0.398
CPBrote,L,CPBrote.L,BA,0.48
CPBrote,L,CPBrote.L,BA,0.563
CPBrote,L,CPBrote.L,BA,0.46
CPBrote,L,CPBrote.L,BB,0.469
CPBrote,L,CPBrote.L,BB,0.477
CPBrote,L,CPBrote.L,BB,0.457
CPBrote,L,CPBrote.L,BB,0.473
CPBrote,L,CPBrote.L,BC,0.454
CPBrote,L,CPBrote.L,BC,0.48
CPBrote,L,CPBrote.L,BC,0.56
CPBrote,L,CPBrote.L,BC,0.454
CPBrote,L,CPBrote.L,BL,0.515
CPBrote,L,CPBrote.L,BL,0.428
CPBrote,L,CPBrote.L,BL,0.525
CPBrote,L,CPBrote.L,BL,0.495
CPBrote,L,CPBrote.L,BRR,0.507
CPBrote,L,CPBrote.L,BRR,0.513
CPBrote,L,CPBrote.L,BRR,0.426
CPBrote,L,CPBrote.L,BRR,0.385
CPBrote,L,CPBrote.L,GBLUP,0.423
CPBrote,L,CPBrote.L,GBLUP,0.437
CPBrote,L,CPBrote.L,GBLUP,0.458
CPBrote,L,CPBrote.L,GBLUP,0.397
CPBrote,L,CPBrote.L,EGBLUP,0.48
CPBrote,L,CPBrote.L,EGBLUP,0.408
CPBrote,L,CPBrote.L,EGBLUP,0.465
CPBrote,L,CPBrote.L,EGBLUP,0.462
CPBrote,L,CPBrote.L,RKHS,0.508
CPBrote,L,CPBrote.L,RKHS,0.507
CPBrote,L,CPBrote.L,RKHS,0.391
CPBrote,L,CPBrote.L,RKHS,0.477
CPBrote,L,CPBrote.L,Lasso,0.456
CPBrote,L,CPBrote.L,Lasso,0.475
CPBrote,L,CPBrote.L,Lasso,0.468
CPBrote,L,CPBrote.L,Lasso,0.451
CPBrote,L,CPBrote.L,RR,0.49
CPBrote,L,CPBrote.L,RR,0.377
CPBrote,L,CPBrote.L,RR,0.474
CPBrote,L,CPBrote.L,RR,0.422
